S50.00XA@Contusion of unspecified elbow, initial encounter
S51.829A@Laceration with foreign body of unsp forearm, init encntr
S51.829D@Laceration with foreign body of unsp forearm, subs encntr
S51.829S@Laceration with foreign body of unspecified forearm, sequela
S51.831A@Puncture wound w/o foreign body of right forearm, init
S51.831D@Puncture wound w/o foreign body of right forearm, subs
S51.831S@Puncture wound w/o foreign body of right forearm, sequela
S51.832A@Puncture wound w/o foreign body of left forearm, init encntr
S51.832D@Puncture wound w/o foreign body of left forearm, subs encntr
S51.832S@Puncture wound without foreign body of left forearm, sequela
S51.839A@Puncture wound w/o foreign body of unsp forearm, init encntr
S51.839D@Puncture wound w/o foreign body of unsp forearm, subs encntr
S51.839S@Puncture wound without foreign body of unsp forearm, sequela
S51.841A@Puncture wound w foreign body of right forearm, init encntr
S51.841D@Puncture wound w foreign body of right forearm, subs encntr
S51.841S@Puncture wound with foreign body of right forearm, sequela
S51.842A@Puncture wound w foreign body of left forearm, init encntr
S51.842D@Puncture wound w foreign body of left forearm, subs encntr
S51.842S@Puncture wound with foreign body of left forearm, sequela
S51.849A@Puncture wound w foreign body of unsp forearm, init encntr
S51.849D@Puncture wound w foreign body of unsp forearm, subs encntr
S51.849S@Puncture wound with foreign body of unsp forearm, sequela
S51.851A@Open bite of right forearm, initial encounter
S51.851D@Open bite of right forearm, subsequent encounter
S51.851S@Open bite of right forearm, sequela
S51.852A@Open bite of left forearm, initial encounter
S51.852D@Open bite of left forearm, subsequent encounter
S51.852S@Open bite of left forearm, sequela
S51.859A@Open bite of unspecified forearm, initial encounter
S51.859D@Open bite of unspecified forearm, subsequent encounter
S51.859S@Open bite of unspecified forearm, sequela
S52.001A@Unsp fracture of upper end of right ulna, init for clos fx
S52.001B@Unsp fx upper end of right ulna, init for opn fx type I/2
S52.001C@Unsp fx upper end of right ulna, init for opn fx type 3A/B/C
S52.001D@Unsp fx upper end of r ulna, subs for clos fx w routn heal
S52.001E@Unsp fx upr end r ulna, 7thE
S52.001F@Unsp fx upr end r ulna, 7thF
S52.001G@Unsp fx upper end of r ulna, subs for clos fx w delay heal
S52.001H@Unsp fx upr end r ulna, 7thH
S52.001J@Unsp fx upr end r ulna, 7thJ
S52.001K@Unsp fx upper end of right ulna, subs for clos fx w nonunion
S52.001M@Unsp fx upr end r ulna, subs for opn fx type I/2 w nonunion
S52.001N@Unsp fx upr end r ulna, 7thN
S52.001P@Unsp fx upper end of right ulna, subs for clos fx w malunion
S52.001Q@Unsp fx upr end r ulna, subs for opn fx type I/2 w malunion
S52.001R@Unsp fx upr end r ulna, 7thR
S52.001S@Unspecified fracture of upper end of right ulna, sequela
S52.002A@Unsp fracture of upper end of left ulna, init for clos fx
S52.002B@Unsp fx upper end of left ulna, init for opn fx type I/2
S52.002C@Unsp fx upper end of left ulna, init for opn fx type 3A/B/C
S52.002D@Unsp fx upper end of l ulna, subs for clos fx w routn heal
S52.002E@Unsp fx upr end l ulna, 7thE
S52.002F@Unsp fx upr end l ulna, 7thF
S52.002G@Unsp fx upper end of l ulna, subs for clos fx w delay heal
S52.002H@Unsp fx upr end l ulna, 7thH
S52.002J@Unsp fx upr end l ulna, 7thJ
S52.002K@Unsp fx upper end of left ulna, subs for clos fx w nonunion
S52.002M@Unsp fx upr end l ulna, subs for opn fx type I/2 w nonunion
S52.002N@Unsp fx upr end l ulna, 7thN
S52.002P@Unsp fx upper end of left ulna, subs for clos fx w malunion
S52.002Q@Unsp fx upr end l ulna, subs for opn fx type I/2 w malunion
S52.002R@Unsp fx upr end l ulna, 7thR
S52.002S@Unspecified fracture of upper end of left ulna, sequela
S52.009A@Unsp fracture of upper end of unsp ulna, init for clos fx
S52.009B@Unsp fx upper end of unsp ulna, init for opn fx type I/2
S52.009C@Unsp fx upper end of unsp ulna, init for opn fx type 3A/B/C
S52.009D@Unsp fx upper end unsp ulna, subs for clos fx w routn heal
S52.009E@Unsp fx upr end unsp ulna, 7thE
S52.009F@Unsp fx upr end unsp ulna, 7thF
S52.009G@Unsp fx upper end unsp ulna, subs for clos fx w delay heal
S52.009H@Unsp fx upr end unsp ulna, 7thH
S52.009J@Unsp fx upr end unsp ulna, 7thJ
S52.009K@Unsp fx upper end of unsp ulna, subs for clos fx w nonunion
S52.009M@Unsp fx upr end unsp ulna, 7thM
S52.009N@Unsp fx upr end unsp ulna, 7thN
S52.009P@Unsp fx upper end of unsp ulna, subs for clos fx w malunion
S52.009Q@Unsp fx upr end unsp ulna, 7thQ
S52.009R@Unsp fx upr end unsp ulna, 7thR
S52.009S@Unsp fracture of upper end of unspecified ulna, sequela
S52.011A@Torus fracture of upper end of right ulna, init for clos fx
S52.011D@Torus fx upper end of right ulna, subs for fx w routn heal
S52.011G@Torus fx upper end of right ulna, subs for fx w delay heal
S52.011K@Torus fx upper end of right ulna, subs for fx w nonunion
S52.011P@Torus fx upper end of right ulna, subs for fx w malunion
S52.011S@Torus fracture of upper end of right ulna, sequela
S52.012A@Torus fracture of upper end of left ulna, init for clos fx
S52.012D@Torus fx upper end of left ulna, subs for fx w routn heal
S52.012G@Torus fx upper end of left ulna, subs for fx w delay heal
S52.012K@Torus fx upper end of left ulna, subs for fx w nonunion
S52.012P@Torus fx upper end of left ulna, subs for fx w malunion
S52.012S@Torus fracture of upper end of left ulna, sequela
S52.019A@Torus fracture of upper end of unsp ulna, init for clos fx
S52.019D@Torus fx upper end of unsp ulna, subs for fx w routn heal
S52.019G@Torus fx upper end of unsp ulna, subs for fx w delay heal
S52.019K@Torus fx upper end of unsp ulna, subs for fx w nonunion
S52.019P@Torus fx upper end of unsp ulna, subs for fx w malunion
S52.019S@Torus fracture of upper end of unspecified ulna, sequela
S52.021A@Disp fx of olecran pro w/o intartic extn right ulna, init
S52.021B@Disp fx of olecran pro w/o intartic extn r ulna, 7thB
S52.021C@Disp fx of olecran pro w/o intartic extn r ulna, 7thC
S52.021D@Disp fx of olecran pro w/o intartic extn r ulna, 7thD
S52.021E@Disp fx of olecran pro w/o intartic extn r ulna, 7thE
S52.021F@Disp fx of olecran pro w/o intartic extn r ulna, 7thF
S52.021G@Disp fx of olecran pro w/o intartic extn r ulna, 7thG
S52.021H@Disp fx of olecran pro w/o intartic extn r ulna, 7thH
S52.021J@Disp fx of olecran pro w/o intartic extn r ulna, 7thJ
S52.021K@Disp fx of olecran pro w/o intartic extn r ulna, 7thK
S52.021M@Disp fx of olecran pro w/o intartic extn r ulna, 7thM
S52.021N@Disp fx of olecran pro w/o intartic extn r ulna, 7thN
S52.021P@Disp fx of olecran pro w/o intartic extn r ulna, 7thP
S52.021Q@Disp fx of olecran pro w/o intartic extn r ulna, 7thQ
S52.021R@Disp fx of olecran pro w/o intartic extn r ulna, 7thR
S52.021S@Disp fx of olecran pro w/o intartic extn right ulna, sequela
S52.022A@Disp fx of olecran pro w/o intartic extn left ulna, init
S52.022B@Disp fx of olecran pro w/o intartic extn l ulna, 7thB
S52.022C@Disp fx of olecran pro w/o intartic extn l ulna, 7thC
S52.022D@Disp fx of olecran pro w/o intartic extn l ulna, 7thD
S52.022E@Disp fx of olecran pro w/o intartic extn l ulna, 7thE
S52.022F@Disp fx of olecran pro w/o intartic extn l ulna, 7thF
S52.022G@Disp fx of olecran pro w/o intartic extn l ulna, 7thG
S52.022H@Disp fx of olecran pro w/o intartic extn l ulna, 7thH
S52.022J@Disp fx of olecran pro w/o intartic extn l ulna, 7thJ
S52.022K@Disp fx of olecran pro w/o intartic extn l ulna, 7thK
S52.022M@Disp fx of olecran pro w/o intartic extn l ulna, 7thM
S52.022N@Disp fx of olecran pro w/o intartic extn l ulna, 7thN
S52.022P@Disp fx of olecran pro w/o intartic extn l ulna, 7thP
S52.022Q@Disp fx of olecran pro w/o intartic extn l ulna, 7thQ
S52.022R@Disp fx of olecran pro w/o intartic extn l ulna, 7thR
S52.022S@Disp fx of olecran pro w/o intartic extn left ulna, sequela
S52.023A@Disp fx of olecran pro w/o intartic extn unsp ulna, init
S52.023B@Disp fx of olecran pro w/o intartic extn unsp ulna, 7thB
S52.023C@Disp fx of olecran pro w/o intartic extn unsp ulna, 7thC
S52.023D@Disp fx of olecran pro w/o intartic extn unsp ulna, 7thD
S52.023E@Disp fx of olecran pro w/o intartic extn unsp ulna, 7thE
S52.023F@Disp fx of olecran pro w/o intartic extn unsp ulna, 7thF
S52.023G@Disp fx of olecran pro w/o intartic extn unsp ulna, 7thG
S52.023H@Disp fx of olecran pro w/o intartic extn unsp ulna, 7thH
S52.023J@Disp fx of olecran pro w/o intartic extn unsp ulna, 7thJ
S52.023K@Disp fx of olecran pro w/o intartic extn unsp ulna, 7thK
S52.023M@Disp fx of olecran pro w/o intartic extn unsp ulna, 7thM
S52.023N@Disp fx of olecran pro w/o intartic extn unsp ulna, 7thN
S52.023P@Disp fx of olecran pro w/o intartic extn unsp ulna, 7thP
S52.023Q@Disp fx of olecran pro w/o intartic extn unsp ulna, 7thQ
S52.023R@Disp fx of olecran pro w/o intartic extn unsp ulna, 7thR
S52.023S@Disp fx of olecran pro w/o intartic extn unsp ulna, sequela
S52.024A@Nondisp fx of olecran pro w/o intartic extn right ulna, init
S52.024B@Nondisp fx of olecran pro w/o intartic extn r ulna, 7thB
S52.024C@Nondisp fx of olecran pro w/o intartic extn r ulna, 7thC
S52.024D@Nondisp fx of olecran pro w/o intartic extn r ulna, 7thD
S52.024E@Nondisp fx of olecran pro w/o intartic extn r ulna, 7thE
S52.024F@Nondisp fx of olecran pro w/o intartic extn r ulna, 7thF
S52.024G@Nondisp fx of olecran pro w/o intartic extn r ulna, 7thG
S52.024H@Nondisp fx of olecran pro w/o intartic extn r ulna, 7thH
S52.024J@Nondisp fx of olecran pro w/o intartic extn r ulna, 7thJ
S52.024K@Nondisp fx of olecran pro w/o intartic extn r ulna, 7thK
S52.024M@Nondisp fx of olecran pro w/o intartic extn r ulna, 7thM
S52.024N@Nondisp fx of olecran pro w/o intartic extn r ulna, 7thN
S52.024P@Nondisp fx of olecran pro w/o intartic extn r ulna, 7thP
S52.024Q@Nondisp fx of olecran pro w/o intartic extn r ulna, 7thQ
S52.024R@Nondisp fx of olecran pro w/o intartic extn r ulna, 7thR
S52.024S@Nondisp fx of olecran pro w/o intartic extn r ulna, sequela
S52.025A@Nondisp fx of olecran pro w/o intartic extn left ulna, init
S52.025B@Nondisp fx of olecran pro w/o intartic extn l ulna, 7thB
S52.025C@Nondisp fx of olecran pro w/o intartic extn l ulna, 7thC
S52.025D@Nondisp fx of olecran pro w/o intartic extn l ulna, 7thD
S52.025E@Nondisp fx of olecran pro w/o intartic extn l ulna, 7thE
S52.025F@Nondisp fx of olecran pro w/o intartic extn l ulna, 7thF
S52.025G@Nondisp fx of olecran pro w/o intartic extn l ulna, 7thG
S52.025H@Nondisp fx of olecran pro w/o intartic extn l ulna, 7thH
S52.025J@Nondisp fx of olecran pro w/o intartic extn l ulna, 7thJ
S52.025K@Nondisp fx of olecran pro w/o intartic extn l ulna, 7thK
S52.025M@Nondisp fx of olecran pro w/o intartic extn l ulna, 7thM
S52.025N@Nondisp fx of olecran pro w/o intartic extn l ulna, 7thN
S52.025P@Nondisp fx of olecran pro w/o intartic extn l ulna, 7thP
S52.025Q@Nondisp fx of olecran pro w/o intartic extn l ulna, 7thQ
S52.025R@Nondisp fx of olecran pro w/o intartic extn l ulna, 7thR
S52.025S@Nondisp fx of olecran pro w/o intartic extn l ulna, sequela
S52.026A@Nondisp fx of olecran pro w/o intartic extn unsp ulna, init
S52.026B@Nondisp fx of olecran pro w/o intartic extn unsp ulna, 7thB
S52.026C@Nondisp fx of olecran pro w/o intartic extn unsp ulna, 7thC
S52.026D@Nondisp fx of olecran pro w/o intartic extn unsp ulna, 7thD
S52.026E@Nondisp fx of olecran pro w/o intartic extn unsp ulna, 7thE
S52.026F@Nondisp fx of olecran pro w/o intartic extn unsp ulna, 7thF
S52.026G@Nondisp fx of olecran pro w/o intartic extn unsp ulna, 7thG
S52.026H@Nondisp fx of olecran pro w/o intartic extn unsp ulna, 7thH
S52.026J@Nondisp fx of olecran pro w/o intartic extn unsp ulna, 7thJ
S52.026K@Nondisp fx of olecran pro w/o intartic extn unsp ulna, 7thK
S52.026M@Nondisp fx of olecran pro w/o intartic extn unsp ulna, 7thM
S52.026N@Nondisp fx of olecran pro w/o intartic extn unsp ulna, 7thN
S52.026P@Nondisp fx of olecran pro w/o intartic extn unsp ulna, 7thP
S52.026Q@Nondisp fx of olecran pro w/o intartic extn unsp ulna, 7thQ
S52.026R@Nondisp fx of olecran pro w/o intartic extn unsp ulna, 7thR
S52.026S@Nondisp fx of olecran pro w/o intartic extn unsp ulna, sqla
S52.031A@Disp fx of olecran pro w intartic extn right ulna, init
S52.031B@Disp fx of olecran pro w intartic extn r ulna, 7thB
S52.031C@Disp fx of olecran pro w intartic extn r ulna, 7thC
S52.031D@Disp fx of olecran pro w intartic extn r ulna, 7thD
S52.031E@Disp fx of olecran pro w intartic extn r ulna, 7thE
S52.031F@Disp fx of olecran pro w intartic extn r ulna, 7thF
S52.031G@Disp fx of olecran pro w intartic extn r ulna, 7thG
S52.031H@Disp fx of olecran pro w intartic extn r ulna, 7thH
S52.031J@Disp fx of olecran pro w intartic extn r ulna, 7thJ
S52.031K@Disp fx of olecran pro w intartic extn r ulna, 7thK
S52.031M@Disp fx of olecran pro w intartic extn r ulna, 7thM
S52.031N@Disp fx of olecran pro w intartic extn r ulna, 7thN
S52.031P@Disp fx of olecran pro w intartic extn r ulna, 7thP
S52.031Q@Disp fx of olecran pro w intartic extn r ulna, 7thQ
S52.031R@Disp fx of olecran pro w intartic extn r ulna, 7thR
S52.031S@Disp fx of olecran pro w intartic extn right ulna, sequela
S52.032A@Disp fx of olecran pro w intartic extn left ulna, init
S52.032B@Disp fx of olecran pro w intartic extn l ulna, 7thB
S52.032C@Disp fx of olecran pro w intartic extn l ulna, 7thC
S52.032D@Disp fx of olecran pro w intartic extn l ulna, 7thD
S52.032E@Disp fx of olecran pro w intartic extn l ulna, 7thE
S52.032F@Disp fx of olecran pro w intartic extn l ulna, 7thF
S52.032G@Disp fx of olecran pro w intartic extn l ulna, 7thG
S52.032H@Disp fx of olecran pro w intartic extn l ulna, 7thH
S52.032J@Disp fx of olecran pro w intartic extn l ulna, 7thJ
S52.032K@Disp fx of olecran pro w intartic extn l ulna, 7thK
S52.032M@Disp fx of olecran pro w intartic extn l ulna, 7thM
S52.032N@Disp fx of olecran pro w intartic extn l ulna, 7thN
S52.032P@Disp fx of olecran pro w intartic extn l ulna, 7thP
S52.032Q@Disp fx of olecran pro w intartic extn l ulna, 7thQ
S52.032R@Disp fx of olecran pro w intartic extn l ulna, 7thR
S52.032S@Disp fx of olecran pro w intartic extn left ulna, sequela
S52.033A@Disp fx of olecran pro w intartic extn unsp ulna, init
S52.033B@Disp fx of olecran pro w intartic extn unsp ulna, 7thB
S52.033C@Disp fx of olecran pro w intartic extn unsp ulna, 7thC
S52.033D@Disp fx of olecran pro w intartic extn unsp ulna, 7thD
S52.033E@Disp fx of olecran pro w intartic extn unsp ulna, 7thE
S52.033F@Disp fx of olecran pro w intartic extn unsp ulna, 7thF
S52.033G@Disp fx of olecran pro w intartic extn unsp ulna, 7thG
S52.033H@Disp fx of olecran pro w intartic extn unsp ulna, 7thH
S52.033J@Disp fx of olecran pro w intartic extn unsp ulna, 7thJ
S52.033K@Disp fx of olecran pro w intartic extn unsp ulna, 7thK
S52.033M@Disp fx of olecran pro w intartic extn unsp ulna, 7thM
S52.033N@Disp fx of olecran pro w intartic extn unsp ulna, 7thN
S52.033P@Disp fx of olecran pro w intartic extn unsp ulna, 7thP
S52.033Q@Disp fx of olecran pro w intartic extn unsp ulna, 7thQ
S52.033R@Disp fx of olecran pro w intartic extn unsp ulna, 7thR
S52.033S@Disp fx of olecran pro w intartic extn unsp ulna, sequela
S52.034A@Nondisp fx of olecran pro w intartic extn right ulna, init
S52.034B@Nondisp fx of olecran pro w intartic extn r ulna, 7thB
S52.034C@Nondisp fx of olecran pro w intartic extn r ulna, 7thC
S52.034D@Nondisp fx of olecran pro w intartic extn r ulna, 7thD
