S60.00XA@Contusion of unsp finger without damage to nail, init encntr
S60.112D@Contusion of left thumb with damage to nail, subs encntr
S60.112S@Contusion of left thumb with damage to nail, sequela
S60.119A@Contusion of unsp thumb with damage to nail, init encntr
S60.119D@Contusion of unsp thumb with damage to nail, subs encntr
S60.119S@Contusion of unspecified thumb with damage to nail, sequela
S60.121A@Contusion of right index finger w damage to nail, init
S60.121D@Contusion of right index finger w damage to nail, subs
S60.121S@Contusion of right index finger with damage to nail, sequela
S60.122A@Contusion of left index finger w damage to nail, init encntr
S60.122D@Contusion of left index finger w damage to nail, subs encntr
S60.122S@Contusion of left index finger with damage to nail, sequela
S60.129A@Contusion of unsp index finger w damage to nail, init encntr
S60.129D@Contusion of unsp index finger w damage to nail, subs encntr
S60.129S@Contusion of unsp index finger with damage to nail, sequela
S60.131A@Contusion of right middle finger w damage to nail, init
S60.131D@Contusion of right middle finger w damage to nail, subs
S60.131S@Contusion of right middle finger w damage to nail, sequela
S60.132A@Contusion of left middle finger w damage to nail, init
S60.132D@Contusion of left middle finger w damage to nail, subs
S60.132S@Contusion of left middle finger with damage to nail, sequela
S60.139A@Contusion of unsp middle finger w damage to nail, init
S60.139D@Contusion of unsp middle finger w damage to nail, subs
S60.139S@Contusion of unsp middle finger with damage to nail, sequela
S60.141A@Contusion of right ring finger w damage to nail, init encntr
S60.141D@Contusion of right ring finger w damage to nail, subs encntr
S60.141S@Contusion of right ring finger with damage to nail, sequela
S60.142A@Contusion of left ring finger w damage to nail, init encntr
S60.142D@Contusion of left ring finger w damage to nail, subs encntr
S60.142S@Contusion of left ring finger with damage to nail, sequela
S60.149A@Contusion of unsp ring finger w damage to nail, init encntr
S60.149D@Contusion of unsp ring finger w damage to nail, subs encntr
S60.149S@Contusion of unsp ring finger with damage to nail, sequela
S60.151A@Contusion of right little finger w damage to nail, init
S60.151D@Contusion of right little finger w damage to nail, subs
S60.151S@Contusion of right little finger w damage to nail, sequela
S60.152A@Contusion of left little finger w damage to nail, init
S60.152D@Contusion of left little finger w damage to nail, subs
S60.152S@Contusion of left little finger with damage to nail, sequela
S60.159A@Contusion of unsp little finger w damage to nail, init
S60.159D@Contusion of unsp little finger w damage to nail, subs
S60.159S@Contusion of unsp little finger with damage to nail, sequela
S60.211A@Contusion of right wrist, initial encounter
S60.211D@Contusion of right wrist, subsequent encounter
S60.211S@Contusion of right wrist, sequela
S60.212A@Contusion of left wrist, initial encounter
S60.212D@Contusion of left wrist, subsequent encounter
S60.212S@Contusion of left wrist, sequela
S60.219A@Contusion of unspecified wrist, initial encounter
S60.219D@Contusion of unspecified wrist, subsequent encounter
S60.219S@Contusion of unspecified wrist, sequela
S60.221A@Contusion of right hand, initial encounter
S60.221D@Contusion of right hand, subsequent encounter
S60.221S@Contusion of right hand, sequela
S60.222A@Contusion of left hand, initial encounter
S60.222D@Contusion of left hand, subsequent encounter
S60.222S@Contusion of left hand, sequela
S60.229A@Contusion of unspecified hand, initial encounter
S60.229D@Contusion of unspecified hand, subsequent encounter
S60.229S@Contusion of unspecified hand, sequela
S60.311A@Abrasion of right thumb, initial encounter
S60.311D@Abrasion of right thumb, subsequent encounter
S60.311S@Abrasion of right thumb, sequela
S60.312A@Abrasion of left thumb, initial encounter
S60.312D@Abrasion of left thumb, subsequent encounter
S60.312S@Abrasion of left thumb, sequela
S60.319A@Abrasion of unspecified thumb, initial encounter
S60.319D@Abrasion of unspecified thumb, subsequent encounter
S60.319S@Abrasion of unspecified thumb, sequela
S60.321A@Blister (nonthermal) of right thumb, initial encounter
S60.321D@Blister (nonthermal) of right thumb, subsequent encounter
S60.321S@Blister (nonthermal) of right thumb, sequela
S60.322A@Blister (nonthermal) of left thumb, initial encounter
S60.322D@Blister (nonthermal) of left thumb, subsequent encounter
S60.322S@Blister (nonthermal) of left thumb, sequela
S60.329A@Blister (nonthermal) of unspecified thumb, initial encounter
S60.329D@Blister (nonthermal) of unspecified thumb, subs encntr
S60.329S@Blister (nonthermal) of unspecified thumb, sequela
S60.341A@External constriction of right thumb, initial encounter
S60.341D@External constriction of right thumb, subsequent encounter
S60.341S@External constriction of right thumb, sequela
S60.342A@External constriction of left thumb, initial encounter
S60.342D@External constriction of left thumb, subsequent encounter
S60.342S@External constriction of left thumb, sequela
S60.349A@External constriction of unspecified thumb, init encntr
S60.349D@External constriction of unspecified thumb, subs encntr
S60.349S@External constriction of unspecified thumb, sequela
S60.351A@Superficial foreign body of right thumb, initial encounter
S60.351D@Superficial foreign body of right thumb, subs encntr
S60.351S@Superficial foreign body of right thumb, sequela
S60.352A@Superficial foreign body of left thumb, initial encounter
S60.352D@Superficial foreign body of left thumb, subsequent encounter
S60.352S@Superficial foreign body of left thumb, sequela
S60.359A@Superficial foreign body of unspecified thumb, init encntr
S60.359D@Superficial foreign body of unspecified thumb, subs encntr
S60.359S@Superficial foreign body of unspecified thumb, sequela
S60.361A@Insect bite (nonvenomous) of right thumb, initial encounter
S60.361D@Insect bite (nonvenomous) of right thumb, subs encntr
S60.361S@Insect bite (nonvenomous) of right thumb, sequela
S60.362A@Insect bite (nonvenomous) of left thumb, initial encounter
S60.362D@Insect bite (nonvenomous) of left thumb, subs encntr
S60.362S@Insect bite (nonvenomous) of left thumb, sequela
S60.369A@Insect bite (nonvenomous) of unspecified thumb, init encntr
S60.369D@Insect bite (nonvenomous) of unspecified thumb, subs encntr
S60.369S@Insect bite (nonvenomous) of unspecified thumb, sequela
S60.371A@Other superficial bite of right thumb, initial encounter
S60.371D@Other superficial bite of right thumb, subsequent encounter
S60.371S@Other superficial bite of right thumb, sequela
S60.372A@Other superficial bite of left thumb, initial encounter
S60.372D@Other superficial bite of left thumb, subsequent encounter
S60.372S@Other superficial bite of left thumb, sequela
S60.379A@Other superficial bite of unspecified thumb, init encntr
S60.379D@Other superficial bite of unspecified thumb, subs encntr
S60.379S@Other superficial bite of unspecified thumb, sequela
S60.391A@Other superficial injuries of right thumb, initial encounter
S60.391D@Other superficial injuries of right thumb, subs encntr
S60.391S@Other superficial injuries of right thumb, sequela
S60.392A@Other superficial injuries of left thumb, initial encounter
S60.392D@Other superficial injuries of left thumb, subs encntr
S60.392S@Other superficial injuries of left thumb, sequela
S60.399A@Other superficial injuries of unspecified thumb, init encntr
S60.399D@Other superficial injuries of unspecified thumb, subs encntr
S60.399S@Other superficial injuries of unspecified thumb, sequela
S60.410A@Abrasion of right index finger, initial encounter
S60.410D@Abrasion of right index finger, subsequent encounter
S60.410S@Abrasion of right index finger, sequela
S60.411A@Abrasion of left index finger, initial encounter
S60.411D@Abrasion of left index finger, subsequent encounter
S60.411S@Abrasion of left index finger, sequela
S60.412A@Abrasion of right middle finger, initial encounter
S60.412D@Abrasion of right middle finger, subsequent encounter
S60.412S@Abrasion of right middle finger, sequela
S60.413A@Abrasion of left middle finger, initial encounter
S60.413D@Abrasion of left middle finger, subsequent encounter
S60.413S@Abrasion of left middle finger, sequela
S60.414A@Abrasion of right ring finger, initial encounter
S60.414D@Abrasion of right ring finger, subsequent encounter
S60.414S@Abrasion of right ring finger, sequela
S60.415A@Abrasion of left ring finger, initial encounter
S60.415D@Abrasion of left ring finger, subsequent encounter
S60.415S@Abrasion of left ring finger, sequela
S60.416A@Abrasion of right little finger, initial encounter
S60.416D@Abrasion of right little finger, subsequent encounter
S60.416S@Abrasion of right little finger, sequela
S60.417A@Abrasion of left little finger, initial encounter
S60.417D@Abrasion of left little finger, subsequent encounter
S60.417S@Abrasion of left little finger, sequela
S60.418A@Abrasion of other finger, initial encounter
S60.418D@Abrasion of other finger, subsequent encounter
S60.418S@Abrasion of other finger, sequela
S60.419A@Abrasion of unspecified finger, initial encounter
S60.419D@Abrasion of unspecified finger, subsequent encounter
S60.419S@Abrasion of unspecified finger, sequela
S60.420A@Blister (nonthermal) of right index finger, init encntr
S60.420D@Blister (nonthermal) of right index finger, subs encntr
S60.420S@Blister (nonthermal) of right index finger, sequela
S60.421A@Blister (nonthermal) of left index finger, initial encounter
S60.421D@Blister (nonthermal) of left index finger, subs encntr
S60.421S@Blister (nonthermal) of left index finger, sequela
S60.422A@Blister (nonthermal) of right middle finger, init encntr
S60.422D@Blister (nonthermal) of right middle finger, subs encntr
S60.422S@Blister (nonthermal) of right middle finger, sequela
S60.423A@Blister (nonthermal) of left middle finger, init encntr
S60.423D@Blister (nonthermal) of left middle finger, subs encntr
S60.423S@Blister (nonthermal) of left middle finger, sequela
S60.424A@Blister (nonthermal) of right ring finger, initial encounter
S60.424D@Blister (nonthermal) of right ring finger, subs encntr
S60.424S@Blister (nonthermal) of right ring finger, sequela
S60.425A@Blister (nonthermal) of left ring finger, initial encounter
S60.425D@Blister (nonthermal) of left ring finger, subs encntr
S60.425S@Blister (nonthermal) of left ring finger, sequela
S60.426A@Blister (nonthermal) of right little finger, init encntr
S60.426D@Blister (nonthermal) of right little finger, subs encntr
S60.426S@Blister (nonthermal) of right little finger, sequela
S60.427A@Blister (nonthermal) of left little finger, init encntr
S60.427D@Blister (nonthermal) of left little finger, subs encntr
S60.427S@Blister (nonthermal) of left little finger, sequela
S60.428A@Blister (nonthermal) of other finger, initial encounter
S60.428D@Blister (nonthermal) of other finger, subsequent encounter
S60.428S@Blister (nonthermal) of other finger, sequela
S60.429A@Blister (nonthermal) of unspecified finger, init encntr
S60.429D@Blister (nonthermal) of unspecified finger, subs encntr
S60.429S@Blister (nonthermal) of unspecified finger, sequela
S60.440A@External constriction of right index finger, init encntr
S60.440D@External constriction of right index finger, subs encntr
S60.440S@External constriction of right index finger, sequela
S60.441A@External constriction of left index finger, init encntr
S60.441D@External constriction of left index finger, subs encntr
S60.441S@External constriction of left index finger, sequela
S60.442A@External constriction of right middle finger, init encntr
S60.442D@External constriction of right middle finger, subs encntr
S60.442S@External constriction of right middle finger, sequela
S60.443A@External constriction of left middle finger, init encntr
S60.443D@External constriction of left middle finger, subs encntr
S60.443S@External constriction of left middle finger, sequela
S60.444A@External constriction of right ring finger, init encntr
S60.444D@External constriction of right ring finger, subs encntr
S60.444S@External constriction of right ring finger, sequela
S60.445A@External constriction of left ring finger, initial encounter
S60.445D@External constriction of left ring finger, subs encntr
S60.445S@External constriction of left ring finger, sequela
S60.446A@External constriction of right little finger, init encntr
S60.446D@External constriction of right little finger, subs encntr
S60.446S@External constriction of right little finger, sequela
S60.447A@External constriction of left little finger, init encntr
S60.447D@External constriction of left little finger, subs encntr
S60.447S@External constriction of left little finger, sequela
S60.448A@External constriction of other finger, initial encounter
S60.448D@External constriction of other finger, subsequent encounter
S60.448S@External constriction of other finger, sequela
S60.449A@External constriction of unspecified finger, init encntr
S60.449D@External constriction of unspecified finger, subs encntr
S60.449S@External constriction of unspecified finger, sequela
S60.450A@Superficial foreign body of right index finger, init encntr
S60.450D@Superficial foreign body of right index finger, subs encntr
S60.450S@Superficial foreign body of right index finger, sequela
S60.451A@Superficial foreign body of left index finger, init encntr
S60.451D@Superficial foreign body of left index finger, subs encntr
S60.451S@Superficial foreign body of left index finger, sequela
S60.452A@Superficial foreign body of right middle finger, init encntr
S60.452D@Superficial foreign body of right middle finger, subs encntr
S60.452S@Superficial foreign body of right middle finger, sequela
S60.453A@Superficial foreign body of left middle finger, init encntr
S60.453D@Superficial foreign body of left middle finger, subs encntr
S60.453S@Superficial foreign body of left middle finger, sequela
S60.454A@Superficial foreign body of right ring finger, init encntr
S60.454D@Superficial foreign body of right ring finger, subs encntr
S60.454S@Superficial foreign body of right ring finger, sequela
S60.455A@Superficial foreign body of left ring finger, init encntr
S60.455D@Superficial foreign body of left ring finger, subs encntr
S60.455S@Superficial foreign body of left ring finger, sequela
S60.456A@Superficial foreign body of right little finger, init encntr
S60.456D@Superficial foreign body of right little finger, subs encntr
S60.456S@Superficial foreign body of right little finger, sequela
S60.457A@Superficial foreign body of left little finger, init encntr
S60.457D@Superficial foreign body of left little finger, subs encntr
S60.457S@Superficial foreign body of left little finger, sequela
S60.458A@Superficial foreign body of other finger, initial encounter
S60.458D@Superficial foreign body of other finger, subs encntr
S60.458S@Superficial foreign body of other finger, sequela
S60.459A@Superficial foreign body of unspecified finger, init encntr
S60.459D@Superficial foreign body of unspecified finger, subs encntr
S60.459S@Superficial foreign body of unspecified finger, sequela
S60.460A@Insect bite (nonvenomous) of right index finger, init encntr
S60.460D@Insect bite (nonvenomous) of right index finger, subs encntr
S60.460S@Insect bite (nonvenomous) of right index finger, sequela
S60.461A@Insect bite (nonvenomous) of left index finger, init encntr
S60.461D@Insect bite (nonvenomous) of left index finger, subs encntr
S60.461S@Insect bite (nonvenomous) of left index finger, sequela
S60.462A@Insect bite (nonvenomous) of right middle finger, init
S60.462D@Insect bite (nonvenomous) of right middle finger, subs
S60.462S@Insect bite (nonvenomous) of right middle finger, sequela
S60.463A@Insect bite (nonvenomous) of left middle finger, init encntr
S60.463D@Insect bite (nonvenomous) of left middle finger, subs encntr
S60.463S@Insect bite (nonvenomous) of left middle finger, sequela
S60.464A@Insect bite (nonvenomous) of right ring finger, init encntr
S60.464D@Insect bite (nonvenomous) of right ring finger, subs encntr
S60.464S@Insect bite (nonvenomous) of right ring finger, sequela
S60.465A@Insect bite (nonvenomous) of left ring finger, init encntr
S60.465D@Insect bite (nonvenomous) of left ring finger, subs encntr
S60.465S@Insect bite (nonvenomous) of left ring finger, sequela
S60.466A@Insect bite (nonvenomous) of right little finger, init
S60.466D@Insect bite (nonvenomous) of right little finger, subs
S60.466S@Insect bite (nonvenomous) of right little finger, sequela
S60.467A@Insect bite (nonvenomous) of left little finger, init encntr
S60.467D@Insect bite (nonvenomous) of left little finger, subs encntr
S60.467S@Insect bite (nonvenomous) of left little finger, sequela
S60.468A@Insect bite (nonvenomous) of other finger, initial encounter
S60.468D@Insect bite (nonvenomous) of other finger, subs encntr
S60.468S@Insect bite (nonvenomous) of other finger, sequela
S60.469A@Insect bite (nonvenomous) of unspecified finger, init encntr
S60.469D@Insect bite (nonvenomous) of unspecified finger, subs encntr
S60.469S@Insect bite (nonvenomous) of unspecified finger, sequela
S60.470A@Other superficial bite of right index finger, init encntr
S60.470D@Other superficial bite of right index finger, subs encntr
S60.470S@Other superficial bite of right index finger, sequela
S60.471A@Other superficial bite of left index finger, init encntr
S60.471D@Other superficial bite of left index finger, subs encntr
S60.471S@Other superficial bite of left index finger, sequela
S60.472A@Other superficial bite of right middle finger, init encntr
S60.472D@Other superficial bite of right middle finger, subs encntr
S60.472S@Other superficial bite of right middle finger, sequela
S60.473A@Other superficial bite of left middle finger, init encntr
S60.473D@Other superficial bite of left middle finger, subs encntr
S60.473S@Other superficial bite of left middle finger, sequela
S60.474A@Other superficial bite of right ring finger, init encntr
S60.474D@Other superficial bite of right ring finger, subs encntr
S60.474S@Other superficial bite of right ring finger, sequela
S60.475A@Other superficial bite of left ring finger, init encntr
S60.475D@Other superficial bite of left ring finger, subs encntr
S60.475S@Other superficial bite of left ring finger, sequela
S60.476A@Other superficial bite of right little finger, init encntr
S60.476D@Other superficial bite of right little finger, subs encntr
S60.476S@Other superficial bite of right little finger, sequela
S60.477A@Other superficial bite of left little finger, init encntr
S60.477D@Other superficial bite of left little finger, subs encntr
S60.477S@Other superficial bite of left little finger, sequela
S60.478A@Other superficial bite of other finger, initial encounter
S60.478D@Other superficial bite of other finger, subsequent encounter
S60.478S@Other superficial bite of other finger, sequela
S60.479A@Other superficial bite of unspecified finger, init encntr
S60.479D@Other superficial bite of unspecified finger, subs encntr
S60.479S@Other superficial bite of unspecified finger, sequela
S60.511A@Abrasion of right hand, initial encounter
S60.511D@Abrasion of right hand, subsequent encounter
S60.511S@Abrasion of right hand, sequela
S60.512A@Abrasion of left hand, initial encounter
S60.512D@Abrasion of left hand, subsequent encounter
S60.512S@Abrasion of left hand, sequela
S60.519A@Abrasion of unspecified hand, initial encounter
S60.519D@Abrasion of unspecified hand, subsequent encounter
S60.519S@Abrasion of unspecified hand, sequela
S60.521A@Blister (nonthermal) of right hand, initial encounter
S60.521D@Blister (nonthermal) of right hand, subsequent encounter
S60.521S@Blister (nonthermal) of right hand, sequela
S60.522A@Blister (nonthermal) of left hand, initial encounter
S60.522D@Blister (nonthermal) of left hand, subsequent encounter
S60.522S@Blister (nonthermal) of left hand, sequela
S60.529A@Blister (nonthermal) of unspecified hand, initial encounter
S60.529D@Blister (nonthermal) of unspecified hand, subs encntr
S60.529S@Blister (nonthermal) of unspecified hand, sequela
S60.541A@External constriction of right hand, initial encounter
S60.541D@External constriction of right hand, subsequent encounter
S60.541S@External constriction of right hand, sequela
S60.542A@External constriction of left hand, initial encounter
S60.542D@External constriction of left hand, subsequent encounter
S60.542S@External constriction of left hand, sequela
S60.549A@External constriction of unspecified hand, initial encounter
S60.549D@External constriction of unspecified hand, subs encntr
S60.549S@External constriction of unspecified hand, sequela
S60.551A@Superficial foreign body of right hand, initial encounter
S60.551D@Superficial foreign body of right hand, subsequent encounter
S60.551S@Superficial foreign body of right hand, sequela
S60.552A@Superficial foreign body of left hand, initial encounter
S60.552D@Superficial foreign body of left hand, subsequent encounter
S60.552S@Superficial foreign body of left hand, sequela
S60.559A@Superficial foreign body of unspecified hand, init encntr
S60.559D@Superficial foreign body of unspecified hand, subs encntr
S60.559S@Superficial foreign body of unspecified hand, sequela
S60.561A@Insect bite (nonvenomous) of right hand, initial encounter
S60.561D@Insect bite (nonvenomous) of right hand, subs encntr
S60.561S@Insect bite (nonvenomous) of right hand, sequela
S60.562A@Insect bite (nonvenomous) of left hand, initial encounter
S60.562D@Insect bite (nonvenomous) of left hand, subsequent encounter
S60.562S@Insect bite (nonvenomous) of left hand, sequela
S60.569A@Insect bite (nonvenomous) of unspecified hand, init encntr
S60.569D@Insect bite (nonvenomous) of unspecified hand, subs encntr
S60.569S@Insect bite (nonvenomous) of unspecified hand, sequela
S60.571A@Other superficial bite of hand of right hand, init encntr
S60.571D@Other superficial bite of hand of right hand, subs encntr
S60.571S@Other superficial bite of hand of right hand, sequela
S60.572A@Other superficial bite of hand of left hand, init encntr
S60.572D@Other superficial bite of hand of left hand, subs encntr
S60.572S@Other superficial bite of hand of left hand, sequela
S60.579A@Other superficial bite of hand of unsp hand, init encntr
S60.579D@Other superficial bite of hand of unsp hand, subs encntr
S60.579S@Other superficial bite of hand of unspecified hand, sequela
S60.811A@Abrasion of right wrist, initial encounter
S60.811D@Abrasion of right wrist, subsequent encounter
S60.811S@Abrasion of right wrist, sequela
S60.812A@Abrasion of left wrist, initial encounter
S60.812D@Abrasion of left wrist, subsequent encounter
S60.812S@Abrasion of left wrist, sequela
S60.819A@Abrasion of unspecified wrist, initial encounter
S60.819D@Abrasion of unspecified wrist, subsequent encounter
S60.819S@Abrasion of unspecified wrist, sequela
S60.821A@Blister (nonthermal) of right wrist, initial encounter
S60.821D@Blister (nonthermal) of right wrist, subsequent encounter
S60.821S@Blister (nonthermal) of right wrist, sequela
S60.822A@Blister (nonthermal) of left wrist, initial encounter
S60.822D@Blister (nonthermal) of left wrist, subsequent encounter
S60.822S@Blister (nonthermal) of left wrist, sequela
S60.829A@Blister (nonthermal) of unspecified wrist, initial encounter
S60.829D@Blister (nonthermal) of unspecified wrist, subs encntr
S60.829S@Blister (nonthermal) of unspecified wrist, sequela
S60.841A@External constriction of right wrist, initial encounter
S60.841D@External constriction of right wrist, subsequent encounter
S60.841S@External constriction of right wrist, sequela
S60.842A@External constriction of left wrist, initial encounter
S60.842D@External constriction of left wrist, subsequent encounter
S60.842S@External constriction of left wrist, sequela
S60.849A@External constriction of unspecified wrist, init encntr
S60.849D@External constriction of unspecified wrist, subs encntr
S60.849S@External constriction of unspecified wrist, sequela
S60.851A@Superficial foreign body of right wrist, initial encounter
S60.851D@Superficial foreign body of right wrist, subs encntr
S60.851S@Superficial foreign body of right wrist, sequela
S60.852A@Superficial foreign body of left wrist, initial encounter
S60.852D@Superficial foreign body of left wrist, subsequent encounter
S60.852S@Superficial foreign body of left wrist, sequela
S60.859A@Superficial foreign body of unspecified wrist, init encntr
S60.859D@Superficial foreign body of unspecified wrist, subs encntr
S60.859S@Superficial foreign body of unspecified wrist, sequela
S60.861A@Insect bite (nonvenomous) of right wrist, initial encounter
S60.861D@Insect bite (nonvenomous) of right wrist, subs encntr
S60.861S@Insect bite (nonvenomous) of right wrist, sequela
S60.862A@Insect bite (nonvenomous) of left wrist, initial encounter
S60.862D@Insect bite (nonvenomous) of left wrist, subs encntr
S60.862S@Insect bite (nonvenomous) of left wrist, sequela
S60.869A@Insect bite (nonvenomous) of unspecified wrist, init encntr
S60.869D@Insect bite (nonvenomous) of unspecified wrist, subs encntr
S60.869S@Insect bite (nonvenomous) of unspecified wrist, sequela
S60.871A@Other superficial bite of right wrist, initial encounter
S60.871D@Other superficial bite of right wrist, subsequent encounter
S60.871S@Other superficial bite of right wrist, sequela
S60.872A@Other superficial bite of left wrist, initial encounter
S60.872D@Other superficial bite of left wrist, subsequent encounter
S60.872S@Other superficial bite of left wrist, sequela
S60.879A@Other superficial bite of unspecified wrist, init encntr
S60.879D@Other superficial bite of unspecified wrist, subs encntr
S60.879S@Other superficial bite of unspecified wrist, sequela
S60.911A@Unspecified superficial injury of right wrist, init encntr
S60.911D@Unspecified superficial injury of right wrist, subs encntr
S60.911S@Unspecified superficial injury of right wrist, sequela
S60.912A@Unspecified superficial injury of left wrist, init encntr
S60.912D@Unspecified superficial injury of left wrist, subs encntr
S60.912S@Unspecified superficial injury of left wrist, sequela
S60.919A@Unsp superficial injury of unspecified wrist, init encntr
S60.919D@Unsp superficial injury of unspecified wrist, subs encntr
S60.919S@Unspecified superficial injury of unspecified wrist, sequela
S60.921A@Unspecified superficial injury of right hand, init encntr
S60.921D@Unspecified superficial injury of right hand, subs encntr
S60.921S@Unspecified superficial injury of right hand, sequela
S60.922A@Unspecified superficial injury of left hand, init encntr
S60.922D@Unspecified superficial injury of left hand, subs encntr
S60.922S@Unspecified superficial injury of left hand, sequela
S60.929A@Unsp superficial injury of unspecified hand, init encntr
S60.929D@Unsp superficial injury of unspecified hand, subs encntr
S60.929S@Unspecified superficial injury of unspecified hand, sequela
S60.931A@Unspecified superficial injury of right thumb, init encntr
S60.931D@Unspecified superficial injury of right thumb, subs encntr
S60.931S@Unspecified superficial injury of right thumb, sequela
S60.932A@Unspecified superficial injury of left thumb, init encntr
S60.932D@Unspecified superficial injury of left thumb, subs encntr
S60.932S@Unspecified superficial injury of left thumb, sequela
S60.939A@Unsp superficial injury of unspecified thumb, init encntr
S60.939D@Unsp superficial injury of unspecified thumb, subs encntr
S60.939S@Unspecified superficial injury of unspecified thumb, sequela
S60.940A@Unsp superficial injury of right index finger, init encntr
S60.940D@Unsp superficial injury of right index finger, subs encntr
S60.940S@Unsp superficial injury of right index finger, sequela
S60.941A@Unsp superficial injury of left index finger, init encntr
S60.941D@Unsp superficial injury of left index finger, subs encntr
S60.941S@Unspecified superficial injury of left index finger, sequela
S60.942A@Unsp superficial injury of right middle finger, init encntr
S60.942D@Unsp superficial injury of right middle finger, subs encntr
S60.942S@Unsp superficial injury of right middle finger, sequela
S60.943A@Unsp superficial injury of left middle finger, init encntr
S60.943D@Unsp superficial injury of left middle finger, subs encntr
S60.943S@Unsp superficial injury of left middle finger, sequela
S60.944A@Unsp superficial injury of right ring finger, init encntr
S60.944D@Unsp superficial injury of right ring finger, subs encntr
S60.944S@Unspecified superficial injury of right ring finger, sequela
S60.945A@Unsp superficial injury of left ring finger, init encntr
S60.945D@Unsp superficial injury of left ring finger, subs encntr
S60.945S@Unspecified superficial injury of left ring finger, sequela
S60.946A@Unsp superficial injury of right little finger, init encntr
S60.946D@Unsp superficial injury of right little finger, subs encntr
S60.946S@Unsp superficial injury of right little finger, sequela
S60.947A@Unsp superficial injury of left little finger, init encntr
S60.947D@Unsp superficial injury of left little finger, subs encntr
S60.947S@Unsp superficial injury of left little finger, sequela
S60.948A@Unspecified superficial injury of other finger, init encntr
S60.948D@Unspecified superficial injury of other finger, subs encntr
S60.948S@Unspecified superficial injury of other finger, sequela
S60.949A@Unsp superficial injury of unspecified finger, init encntr
S60.949D@Unsp superficial injury of unspecified finger, subs encntr
S60.949S@Unsp superficial injury of unspecified finger, sequela
S61.001A@Unsp open wound of right thumb w/o damage to nail, init
S61.001D@Unsp open wound of right thumb w/o damage to nail, subs
S61.001S@Unsp open wound of right thumb w/o damage to nail, sequela
S61.002A@Unsp open wound of left thumb w/o damage to nail, init
S61.002D@Unsp open wound of left thumb w/o damage to nail, subs
S61.002S@Unsp open wound of left thumb w/o damage to nail, sequela
S61.009A@Unsp open wound of unsp thumb w/o damage to nail, init
S61.009D@Unsp open wound of unsp thumb w/o damage to nail, subs
S61.009S@Unsp open wound of unsp thumb w/o damage to nail, sequela
