S10.0XXA@Contusion of throat, initial encounter
S11.023A@Puncture wound without foreign body of trachea, init encntr
S11.023D@Puncture wound without foreign body of trachea, subs encntr
S11.023S@Puncture wound without foreign body of trachea, sequela
S11.024A@Puncture wound with foreign body of trachea, init encntr
S11.024D@Puncture wound with foreign body of trachea, subs encntr
S11.024S@Puncture wound with foreign body of trachea, sequela
S11.025A@Open bite of trachea, initial encounter
S11.025D@Open bite of trachea, subsequent encounter
S11.025S@Open bite of trachea, sequela
S11.029A@Unspecified open wound of trachea, initial encounter
S11.029D@Unspecified open wound of trachea, subsequent encounter
S11.029S@Unspecified open wound of trachea, sequela
S11.031A@Laceration without foreign body of vocal cord, init encntr
S11.031D@Laceration without foreign body of vocal cord, subs encntr
S11.031S@Laceration without foreign body of vocal cord, sequela
S11.032A@Laceration with foreign body of vocal cord, init encntr
S11.032D@Laceration with foreign body of vocal cord, subs encntr
S11.032S@Laceration with foreign body of vocal cord, sequela
S11.033A@Puncture wound w/o foreign body of vocal cord, init encntr
S11.033D@Puncture wound w/o foreign body of vocal cord, subs encntr
S11.033S@Puncture wound without foreign body of vocal cord, sequela
S11.034A@Puncture wound with foreign body of vocal cord, init encntr
S11.034D@Puncture wound with foreign body of vocal cord, subs encntr
S11.034S@Puncture wound with foreign body of vocal cord, sequela
S11.035A@Open bite of vocal cord, initial encounter
S11.035D@Open bite of vocal cord, subsequent encounter
S11.035S@Open bite of vocal cord, sequela
S11.039A@Unspecified open wound of vocal cord, initial encounter
S11.039D@Unspecified open wound of vocal cord, subsequent encounter
S11.039S@Unspecified open wound of vocal cord, sequela
S11.10XA@Unspecified open wound of thyroid gland, initial encounter
S11.10XD@Unspecified open wound of thyroid gland, subs encntr
S11.10XS@Unspecified open wound of thyroid gland, sequela
S11.11XA@Laceration w/o foreign body of thyroid gland, init encntr
S11.11XD@Laceration w/o foreign body of thyroid gland, subs encntr
S11.11XS@Laceration without foreign body of thyroid gland, sequela
S11.12XA@Laceration with foreign body of thyroid gland, init encntr
S11.12XD@Laceration with foreign body of thyroid gland, subs encntr
S11.12XS@Laceration with foreign body of thyroid gland, sequela
S11.13XA@Puncture wound w/o foreign body of thyroid gland, init
S11.13XD@Puncture wound w/o foreign body of thyroid gland, subs
S11.13XS@Puncture wound w/o foreign body of thyroid gland, sequela
S11.14XA@Puncture wound w foreign body of thyroid gland, init encntr
S11.14XD@Puncture wound w foreign body of thyroid gland, subs encntr
S11.14XS@Puncture wound with foreign body of thyroid gland, sequela
S11.15XA@Open bite of thyroid gland, initial encounter
S11.15XD@Open bite of thyroid gland, subsequent encounter
S11.15XS@Open bite of thyroid gland, sequela
S11.20XA@Unsp open wound of pharynx and cervical esophagus, init
S11.20XD@Unsp open wound of pharynx and cervical esophagus, subs
S11.20XS@Unsp open wound of pharynx and cervical esophagus, sequela
S11.21XA@Laceration w/o fb of pharynx and cervical esophagus, init
S11.21XD@Laceration w/o fb of pharynx and cervical esophagus, subs
S11.21XS@Laceration w/o fb of pharynx and cervical esophagus, sequela
S11.22XA@Laceration w fb of pharynx and cervical esophagus, init
S11.22XD@Laceration w fb of pharynx and cervical esophagus, subs
S11.22XS@Laceration w fb of pharynx and cervical esophagus, sequela
S11.23XA@Pnctr w/o fb of pharynx and cervical esophagus, init
S11.23XD@Pnctr w/o fb of pharynx and cervical esophagus, subs
S11.23XS@Pnctr w/o fb of pharynx and cervical esophagus, sequela
S11.24XA@Pnctr w foreign body of pharynx and cervical esophagus, init
S11.24XD@Pnctr w foreign body of pharynx and cervical esophagus, subs
S11.24XS@Pnctr w fb of pharynx and cervical esophagus, sequela
S11.25XA@Open bite of pharynx and cervical esophagus, init encntr
S11.25XD@Open bite of pharynx and cervical esophagus, subs encntr
S11.25XS@Open bite of pharynx and cervical esophagus, sequela
S11.80XA@Unspecified open wound of oth part of neck, init encntr
S11.80XD@Unspecified open wound of oth part of neck, subs encntr
S11.80XS@Unspecified open wound of oth part of neck, sequela
S11.81XA@Laceration w/o foreign body of oth part of neck, init encntr
S11.81XD@Laceration w/o foreign body of oth part of neck, subs encntr
S11.81XS@Laceration without foreign body of oth part of neck, sequela
S11.82XA@Laceration w foreign body of oth part of neck, init encntr
S11.82XD@Laceration w foreign body of oth part of neck, subs encntr
S11.82XS@Laceration with foreign body of oth part of neck, sequela
S11.83XA@Puncture wound w/o foreign body oth prt neck, init encntr
S11.83XD@Puncture wound w/o foreign body oth prt neck, subs encntr
S11.83XS@Puncture wound w/o foreign body of oth part of neck, sequela
S11.84XA@Puncture wound w foreign body oth prt neck, init encntr
S11.84XD@Puncture wound w foreign body oth prt neck, subs encntr
S11.84XS@Puncture wound w foreign body of oth part of neck, sequela
S11.85XA@Open bite of other specified part of neck, initial encounter
S11.85XD@Open bite of other specified part of neck, subs encntr
S11.85XS@Open bite of other specified part of neck, sequela
S11.89XA@Other open wound of oth part of neck, init encntr
S11.89XD@Other open wound of oth part of neck, subs encntr
S11.89XS@Other open wound of other specified part of neck, sequela
S11.90XA@Unsp open wound of unspecified part of neck, init encntr
S11.90XD@Unsp open wound of unspecified part of neck, subs encntr
S11.90XS@Unspecified open wound of unspecified part of neck, sequela
S11.91XA@Laceration w/o foreign body of unsp part of neck, init
S11.91XD@Laceration w/o foreign body of unsp part of neck, subs
S11.91XS@Laceration w/o foreign body of unsp part of neck, sequela
S11.92XA@Laceration w foreign body of unsp part of neck, init encntr
S11.92XD@Laceration w foreign body of unsp part of neck, subs encntr
S11.92XS@Laceration with foreign body of unsp part of neck, sequela
S11.93XA@Puncture wound w/o foreign body of unsp part of neck, init
S11.93XD@Puncture wound w/o foreign body of unsp part of neck, subs
S11.93XS@Pnctr w/o foreign body of unsp part of neck, sequela
S11.94XA@Puncture wound w foreign body of unsp part of neck, init
S11.94XD@Puncture wound w foreign body of unsp part of neck, subs
S11.94XS@Puncture wound w foreign body of unsp part of neck, sequela
S11.95XA@Open bite of unspecified part of neck, initial encounter
S11.95XD@Open bite of unspecified part of neck, subsequent encounter
S11.95XS@Open bite of unspecified part of neck, sequela
S12.000A@Unsp disp fx of first cervical vertebra, init for clos fx
S12.000B@Unsp disp fx of first cervical vertebra, init for opn fx
S12.000D@Unsp disp fx of first cervcal vert, subs for fx w routn heal
S12.000G@Unsp disp fx of first cervcal vert, subs for fx w delay heal
S12.000K@Unsp disp fx of first cervcal vert, subs for fx w nonunion
S12.000S@Unspecified disp fx of first cervical vertebra, sequela
S12.001A@Unsp nondisp fx of first cervical vertebra, init for clos fx
S12.001B@Unsp nondisp fx of first cervical vertebra, init for opn fx
S12.001D@Unsp nondisp fx of 1st cervcal vert, 7thD
S12.001G@Unsp nondisp fx of 1st cervcal vert, 7thG
S12.001K@Unsp nondisp fx of 1st cervcal vert, subs for fx w nonunion
S12.001S@Unspecified nondisp fx of first cervical vertebra, sequela
S12.01XA@Stable burst fracture of first cervical vertebra, init
S12.01XB@Stable burst fx first cervcal vertebra, init for opn fx
S12.01XD@Stable burst fx first cervcal vert, subs for fx w routn heal
S12.01XG@Stable burst fx first cervcal vert, subs for fx w delay heal
S12.01XK@Stable burst fx first cervcal vert, subs for fx w nonunion
S12.01XS@Stable burst fracture of first cervical vertebra, sequela
S12.02XA@Unstable burst fracture of first cervical vertebra, init
S12.02XB@Unstable burst fx first cervcal vertebra, init for opn fx
S12.02XD@Unstbl burst fx first cervcal vert, subs for fx w routn heal
S12.02XG@Unstbl burst fx first cervcal vert, subs for fx w delay heal
S12.02XK@Unstbl burst fx first cervcal vert, subs for fx w nonunion
S12.02XS@Unstable burst fracture of first cervical vertebra, sequela
S12.030A@Displaced posterior arch fx first cervcal vertebra, init
S12.030B@Displ post arch fx first cervcal vertebra, init for opn fx
S12.030D@Displ post arch fx 1st cervcal vert, 7thD
S12.030G@Displ post arch fx 1st cervcal vert, 7thG
S12.030K@Displ post arch fx 1st cervcal vert, subs for fx w nonunion
S12.030S@Displaced posterior arch fx first cervcal vertebra, sequela
S12.031A@Nondisp posterior arch fx first cervcal vertebra, init
S12.031B@Nondisp post arch fx first cervcal vertebra, init for opn fx
S12.031D@Nondisp post arch fx 1st cervcal vert, 7thD
S12.031G@Nondisp post arch fx 1st cervcal vert, 7thG
S12.031K@Nondisp post arch fx 1st cervcal vert, 7thK
S12.031S@Nondisp posterior arch fx first cervcal vertebra, sequela
S12.040A@Displaced lateral mass fx first cervcal vertebra, init
S12.040B@Displ lateral mass fx first cervcal vert, init for opn fx
S12.040D@Displ lateral mass fx 1st cervcal vert, 7thD
S12.040G@Displ lateral mass fx 1st cervcal vert, 7thG
S12.040K@Displ lateral mass fx 1st cervcal vert, 7thK
S12.040S@Displaced lateral mass fx first cervcal vertebra, sequela
S12.041A@Nondisp lateral mass fx first cervcal vertebra, init
S12.041B@Nondisp lateral mass fx first cervcal vert, init for opn fx
S12.041D@Nondisp lateral mass fx 1st cervcal vert, 7thD
S12.041G@Nondisp lateral mass fx 1st cervcal vert, 7thG
S12.041K@Nondisp lateral mass fx 1st cervcal vert, 7thK
S12.041S@Nondisp lateral mass fx first cervcal vertebra, sequela
S12.090A@Oth disp fx of first cervical vertebra, init for clos fx
S12.090B@Oth disp fx of first cervical vertebra, init for opn fx
S12.090D@Oth disp fx of first cervcal vert, subs for fx w routn heal
S12.090G@Oth disp fx of first cervcal vert, subs for fx w delay heal
S12.090K@Oth disp fx of first cervcal vert, subs for fx w nonunion
S12.090S@Other displaced fracture of first cervical vertebra, sequela
S12.091A@Oth nondisp fx of first cervical vertebra, init for clos fx
S12.091B@Oth nondisp fx of first cervical vertebra, init for opn fx
S12.091D@Oth nondisp fx of 1st cervcal vert, subs for fx w routn heal
S12.091G@Oth nondisp fx of 1st cervcal vert, subs for fx w delay heal
S12.091K@Oth nondisp fx of first cervcal vert, subs for fx w nonunion
S12.091S@Other nondisp fx of first cervical vertebra, sequela
S12.100A@Unsp disp fx of second cervical vertebra, init for clos fx
S12.100B@Unsp disp fx of second cervical vertebra, init for opn fx
S12.100D@Unsp disp fx of 2nd cervcal vert, subs for fx w routn heal
S12.100G@Unsp disp fx of 2nd cervcal vert, subs for fx w delay heal
S12.100K@Unsp disp fx of second cervcal vert, subs for fx w nonunion
S12.100S@Unspecified disp fx of second cervical vertebra, sequela
S12.101A@Unsp nondisp fx of second cervical vertebra, init
S12.101B@Unsp nondisp fx of second cervical vertebra, init for opn fx
S12.101D@Unsp nondisp fx of 2nd cervcal vert, 7thD
S12.101G@Unsp nondisp fx of 2nd cervcal vert, 7thG
S12.101K@Unsp nondisp fx of 2nd cervcal vert, subs for fx w nonunion
S12.101S@Unspecified nondisp fx of second cervical vertebra, sequela
S12.110A@Anterior displaced Type II dens fracture, init for clos fx
S12.110B@Anterior displaced Type II dens fracture, init for opn fx
S12.110D@Ant displ Type II dens fracture, subs for fx w routn heal
S12.110G@Ant displ Type II dens fracture, subs for fx w delay heal
S12.110K@Anterior displ Type II dens fracture, subs for fx w nonunion
S12.110S@Anterior displaced Type II dens fracture, sequela
S12.111A@Posterior displaced Type II dens fracture, init for clos fx
S12.111B@Posterior displaced Type II dens fracture, init for opn fx
S12.111D@Post displ Type II dens fracture, subs for fx w routn heal
S12.111G@Post displ Type II dens fracture, subs for fx w delay heal
S12.111K@Post displ Type II dens fracture, subs for fx w nonunion
S12.111S@Posterior displaced Type II dens fracture, sequela
S12.112A@Nondisplaced Type II dens fracture, init for clos fx
S12.112B@Nondisplaced Type II dens fracture, init for opn fx
S12.112D@Nondisplaced Type II dens fracture, subs for fx w routn heal
S12.112G@Nondisplaced Type II dens fracture, subs for fx w delay heal
S12.112K@Nondisplaced Type II dens fracture, subs for fx w nonunion
S12.112S@Nondisplaced Type II dens fracture, sequela
S12.120A@Oth displaced dens fracture, init encntr for closed fracture
S12.120B@Other displaced dens fracture, init encntr for open fracture
S12.120D@Oth displaced dens fracture, subs for fx w routn heal
S12.120G@Oth displaced dens fracture, subs for fx w delay heal
S12.120K@Oth displaced dens fracture, subs for fx w nonunion
S12.120S@Other displaced dens fracture, sequela
S12.121A@Oth nondisplaced dens fracture, init for clos fx
S12.121B@Oth nondisplaced dens fracture, init for opn fx
S12.121D@Oth nondisplaced dens fracture, subs for fx w routn heal
S12.121G@Oth nondisplaced dens fracture, subs for fx w delay heal
S12.121K@Oth nondisplaced dens fracture, subs for fx w nonunion
S12.121S@Other nondisplaced dens fracture, sequela
S12.130A@Unsp traum displ spondylolysis of second cervcal vert, init
S12.130B@Unsp traum displ spondylolysis of 2nd cervcal vert, 7thB
S12.130D@Unsp traum displ spondylolysis of 2nd cervcal vert, 7thD
S12.130G@Unsp traum displ spondylolysis of 2nd cervcal vert, 7thG
S12.130K@Unsp traum displ spondylolysis of 2nd cervcal vert, 7thK
S12.130S@Unsp traum displ spondylolysis of second cervcal vert, sqla
S12.131A@Unsp traum nondisp spondylolysis of 2nd cervcal vert, init
S12.131B@Unsp traum nondisp spondylolysis of 2nd cervcal vert, 7thB
S12.131D@Unsp traum nondisp spondylolysis of 2nd cervcal vert, 7thD
S12.131G@Unsp traum nondisp spondylolysis of 2nd cervcal vert, 7thG
S12.131K@Unsp traum nondisp spondylolysis of 2nd cervcal vert, 7thK
S12.131S@Unsp traum nondisp spondylolysis of 2nd cervcal vert, sqla
S12.14XA@Type III traum spondylolysis of second cervcal vert, init
S12.14XB@Type III traum spondylolysis of 2nd cervcal vert, 7thB
S12.14XD@Type III traum spondylolysis of 2nd cervcal vert, 7thD
S12.14XG@Type III traum spondylolysis of 2nd cervcal vert, 7thG
S12.14XK@Type III traum spondylolysis of 2nd cervcal vert, 7thK
S12.14XS@Type III traum spondylolysis of second cervcal vert, sequela
S12.150A@Oth traum displ spondylolysis of second cervcal vert, init
S12.150B@Oth traum displ spondylolysis of 2nd cervcal vert, 7thB
S12.150D@Oth traum displ spondylolysis of 2nd cervcal vert, 7thD
S12.150G@Oth traum displ spondylolysis of 2nd cervcal vert, 7thG
S12.150K@Oth traum displ spondylolysis of 2nd cervcal vert, 7thK
S12.150S@Oth traum displ spondylolysis of second cervcal vert, sqla
S12.151A@Oth traum nondisp spondylolysis of second cervcal vert, init
S12.151B@Oth traum nondisp spondylolysis of 2nd cervcal vert, 7thB
S12.151D@Oth traum nondisp spondylolysis of 2nd cervcal vert, 7thD
S12.151G@Oth traum nondisp spondylolysis of 2nd cervcal vert, 7thG
S12.151K@Oth traum nondisp spondylolysis of 2nd cervcal vert, 7thK
S12.151S@Oth traum nondisp spondylolysis of second cervcal vert, sqla
S12.190A@Oth disp fx of second cervical vertebra, init for clos fx
S12.190B@Oth disp fx of second cervical vertebra, init for opn fx
S12.190D@Oth disp fx of second cervcal vert, subs for fx w routn heal
S12.190G@Oth disp fx of second cervcal vert, subs for fx w delay heal
S12.190K@Oth disp fx of second cervcal vert, subs for fx w nonunion
S12.190S@Other disp fx of second cervical vertebra, sequela
S12.191A@Oth nondisp fx of second cervical vertebra, init for clos fx
S12.191B@Oth nondisp fx of second cervical vertebra, init for opn fx
S12.191D@Oth nondisp fx of 2nd cervcal vert, subs for fx w routn heal
S12.191G@Oth nondisp fx of 2nd cervcal vert, subs for fx w delay heal
S12.191K@Oth nondisp fx of 2nd cervcal vert, subs for fx w nonunion
S12.191S@Other nondisp fx of second cervical vertebra, sequela
S12.200A@Unsp disp fx of third cervical vertebra, init for clos fx
S12.200B@Unsp disp fx of third cervical vertebra, init for opn fx
S12.200D@Unsp disp fx of third cervcal vert, subs for fx w routn heal
S12.200G@Unsp disp fx of third cervcal vert, subs for fx w delay heal
S12.200K@Unsp disp fx of third cervcal vert, subs for fx w nonunion
S12.200S@Unspecified disp fx of third cervical vertebra, sequela
S12.201A@Unsp nondisp fx of third cervical vertebra, init for clos fx
S12.201B@Unsp nondisp fx of third cervical vertebra, init for opn fx
S12.201D@Unsp nondisp fx of 3rd cervcal vert, 7thD
S12.201G@Unsp nondisp fx of 3rd cervcal vert, 7thG
S12.201K@Unsp nondisp fx of 3rd cervcal vert, subs for fx w nonunion
S12.201S@Unspecified nondisp fx of third cervical vertebra, sequela
S12.230A@Unsp traum displ spondylolysis of third cervcal vert, init
S12.230B@Unsp traum displ spondylolysis of 3rd cervcal vert, 7thB
S12.230D@Unsp traum displ spondylolysis of 3rd cervcal vert, 7thD
S12.230G@Unsp traum displ spondylolysis of 3rd cervcal vert, 7thG
S12.230K@Unsp traum displ spondylolysis of 3rd cervcal vert, 7thK
S12.230S@Unsp traum displ spondylolysis of third cervcal vert, sqla
S12.231A@Unsp traum nondisp spondylolysis of third cervcal vert, init
S12.231B@Unsp traum nondisp spondylolysis of 3rd cervcal vert, 7thB
S12.231D@Unsp traum nondisp spondylolysis of 3rd cervcal vert, 7thD
S12.231G@Unsp traum nondisp spondylolysis of 3rd cervcal vert, 7thG
S12.231K@Unsp traum nondisp spondylolysis of 3rd cervcal vert, 7thK
S12.231S@Unsp traum nondisp spondylolysis of third cervcal vert, sqla
S12.24XA@Type III traum spondylolysis of third cervcal vertebra, init
S12.24XB@Type III traum spondylolysis of 3rd cervcal vert, 7thB
S12.24XD@Type III traum spondylolysis of 3rd cervcal vert, 7thD
S12.24XG@Type III traum spondylolysis of 3rd cervcal vert, 7thG
S12.24XK@Type III traum spondylolysis of 3rd cervcal vert, 7thK
S12.24XS@Type III traum spondylolysis of third cervcal vert, sequela
S12.250A@Oth traum displ spondylolysis of third cervcal vert, init
S12.250B@Oth traum displ spondylolysis of 3rd cervcal vert, 7thB
S12.250D@Oth traum displ spondylolysis of 3rd cervcal vert, 7thD
S12.250G@Oth traum displ spondylolysis of 3rd cervcal vert, 7thG
S12.250K@Oth traum displ spondylolysis of 3rd cervcal vert, 7thK
S12.250S@Oth traum displ spondylolysis of third cervcal vert, sequela
S12.251A@Oth traum nondisp spondylolysis of third cervcal vert, init
S12.251B@Oth traum nondisp spondylolysis of 3rd cervcal vert, 7thB
S12.251D@Oth traum nondisp spondylolysis of 3rd cervcal vert, 7thD
S12.251G@Oth traum nondisp spondylolysis of 3rd cervcal vert, 7thG
S12.251K@Oth traum nondisp spondylolysis of 3rd cervcal vert, 7thK
S12.251S@Oth traum nondisp spondylolysis of third cervcal vert, sqla
S12.290A@Oth disp fx of third cervical vertebra, init for clos fx
S12.290B@Oth disp fx of third cervical vertebra, init for opn fx
S12.290D@Oth disp fx of third cervcal vert, subs for fx w routn heal
S12.290G@Oth disp fx of third cervcal vert, subs for fx w delay heal
S12.290K@Oth disp fx of third cervcal vert, subs for fx w nonunion
S12.290S@Other displaced fracture of third cervical vertebra, sequela
S12.291A@Oth nondisp fx of third cervical vertebra, init for clos fx
S12.291B@Oth nondisp fx of third cervical vertebra, init for opn fx
S12.291D@Oth nondisp fx of 3rd cervcal vert, subs for fx w routn heal
S12.291G@Oth nondisp fx of 3rd cervcal vert, subs for fx w delay heal
S12.291K@Oth nondisp fx of third cervcal vert, subs for fx w nonunion
S12.291S@Other nondisp fx of third cervical vertebra, sequela
S12.300A@Unsp disp fx of fourth cervical vertebra, init for clos fx
S12.300B@Unsp disp fx of fourth cervical vertebra, init for opn fx
S12.300D@Unsp disp fx of 4th cervcal vert, subs for fx w routn heal
S12.300G@Unsp disp fx of 4th cervcal vert, subs for fx w delay heal
S12.300K@Unsp disp fx of fourth cervcal vert, subs for fx w nonunion
S12.300S@Unspecified disp fx of fourth cervical vertebra, sequela
S12.301A@Unsp nondisp fx of fourth cervical vertebra, init
S12.301B@Unsp nondisp fx of fourth cervical vertebra, init for opn fx
S12.301D@Unsp nondisp fx of 4th cervcal vert, 7thD
S12.301G@Unsp nondisp fx of 4th cervcal vert, 7thG
S12.301K@Unsp nondisp fx of 4th cervcal vert, subs for fx w nonunion
S12.301S@Unspecified nondisp fx of fourth cervical vertebra, sequela
S12.330A@Unsp traum displ spondylolysis of fourth cervcal vert, init
S12.330B@Unsp traum displ spondylolysis of 4th cervcal vert, 7thB
S12.330D@Unsp traum displ spondylolysis of 4th cervcal vert, 7thD
S12.330G@Unsp traum displ spondylolysis of 4th cervcal vert, 7thG
S12.330K@Unsp traum displ spondylolysis of 4th cervcal vert, 7thK
S12.330S@Unsp traum displ spondylolysis of fourth cervcal vert, sqla
S12.331A@Unsp traum nondisp spondylolysis of 4th cervcal vert, init
S12.331B@Unsp traum nondisp spondylolysis of 4th cervcal vert, 7thB
S12.331D@Unsp traum nondisp spondylolysis of 4th cervcal vert, 7thD
S12.331G@Unsp traum nondisp spondylolysis of 4th cervcal vert, 7thG
S12.331K@Unsp traum nondisp spondylolysis of 4th cervcal vert, 7thK
S12.331S@Unsp traum nondisp spondylolysis of 4th cervcal vert, sqla
S12.34XA@Type III traum spondylolysis of fourth cervcal vert, init
S12.34XB@Type III traum spondylolysis of 4th cervcal vert, 7thB
S12.34XD@Type III traum spondylolysis of 4th cervcal vert, 7thD
S12.34XG@Type III traum spondylolysis of 4th cervcal vert, 7thG
S12.34XK@Type III traum spondylolysis of 4th cervcal vert, 7thK
S12.34XS@Type III traum spondylolysis of fourth cervcal vert, sequela
S12.350A@Oth traum displ spondylolysis of fourth cervcal vert, init
S12.350B@Oth traum displ spondylolysis of 4th cervcal vert, 7thB
S12.350D@Oth traum displ spondylolysis of 4th cervcal vert, 7thD
S12.350G@Oth traum displ spondylolysis of 4th cervcal vert, 7thG
S12.350K@Oth traum displ spondylolysis of 4th cervcal vert, 7thK
S12.350S@Oth traum displ spondylolysis of fourth cervcal vert, sqla
S12.351A@Oth traum nondisp spondylolysis of fourth cervcal vert, init
S12.351B@Oth traum nondisp spondylolysis of 4th cervcal vert, 7thB
S12.351D@Oth traum nondisp spondylolysis of 4th cervcal vert, 7thD
S12.351G@Oth traum nondisp spondylolysis of 4th cervcal vert, 7thG
S12.351K@Oth traum nondisp spondylolysis of 4th cervcal vert, 7thK
S12.351S@Oth traum nondisp spondylolysis of fourth cervcal vert, sqla
S12.390A@Oth disp fx of fourth cervical vertebra, init for clos fx
S12.390B@Oth disp fx of fourth cervical vertebra, init for opn fx
S12.390D@Oth disp fx of fourth cervcal vert, subs for fx w routn heal
S12.390G@Oth disp fx of fourth cervcal vert, subs for fx w delay heal
S12.390K@Oth disp fx of fourth cervcal vert, subs for fx w nonunion
S12.390S@Other disp fx of fourth cervical vertebra, sequela
S12.391A@Oth nondisp fx of fourth cervical vertebra, init for clos fx
S12.391B@Oth nondisp fx of fourth cervical vertebra, init for opn fx
S12.391D@Oth nondisp fx of 4th cervcal vert, subs for fx w routn heal
S12.391G@Oth nondisp fx of 4th cervcal vert, subs for fx w delay heal
S12.391K@Oth nondisp fx of 4th cervcal vert, subs for fx w nonunion
S12.391S@Other nondisp fx of fourth cervical vertebra, sequela
S12.400A@Unsp disp fx of fifth cervical vertebra, init for clos fx
