S40.011A@Contusion of right shoulder, initial encounter
S40.812S@Abrasion of left upper arm, sequela
S40.819A@Abrasion of unspecified upper arm, initial encounter
S40.819D@Abrasion of unspecified upper arm, subsequent encounter
S40.819S@Abrasion of unspecified upper arm, sequela
S40.821A@Blister (nonthermal) of right upper arm, initial encounter
S40.821D@Blister (nonthermal) of right upper arm, subs encntr
S40.821S@Blister (nonthermal) of right upper arm, sequela
S40.822A@Blister (nonthermal) of left upper arm, initial encounter
S40.822D@Blister (nonthermal) of left upper arm, subsequent encounter
S40.822S@Blister (nonthermal) of left upper arm, sequela
S40.829A@Blister (nonthermal) of unspecified upper arm, init encntr
S40.829D@Blister (nonthermal) of unspecified upper arm, subs encntr
S40.829S@Blister (nonthermal) of unspecified upper arm, sequela
S40.841A@External constriction of right upper arm, initial encounter
S40.841D@External constriction of right upper arm, subs encntr
S40.841S@External constriction of right upper arm, sequela
S40.842A@External constriction of left upper arm, initial encounter
S40.842D@External constriction of left upper arm, subs encntr
S40.842S@External constriction of left upper arm, sequela
S40.849A@External constriction of unspecified upper arm, init encntr
S40.849D@External constriction of unspecified upper arm, subs encntr
S40.849S@External constriction of unspecified upper arm, sequela
S40.851A@Superficial foreign body of right upper arm, init encntr
S40.851D@Superficial foreign body of right upper arm, subs encntr
S40.851S@Superficial foreign body of right upper arm, sequela
S40.852A@Superficial foreign body of left upper arm, init encntr
S40.852D@Superficial foreign body of left upper arm, subs encntr
S40.852S@Superficial foreign body of left upper arm, sequela
S40.859A@Superficial foreign body of unsp upper arm, init encntr
S40.859D@Superficial foreign body of unsp upper arm, subs encntr
S40.859S@Superficial foreign body of unspecified upper arm, sequela
S40.861A@Insect bite (nonvenomous) of right upper arm, init encntr
S40.861D@Insect bite (nonvenomous) of right upper arm, subs encntr
S40.861S@Insect bite (nonvenomous) of right upper arm, sequela
S40.862A@Insect bite (nonvenomous) of left upper arm, init encntr
S40.862D@Insect bite (nonvenomous) of left upper arm, subs encntr
S40.862S@Insect bite (nonvenomous) of left upper arm, sequela
S40.869A@Insect bite (nonvenomous) of unsp upper arm, init encntr
S40.869D@Insect bite (nonvenomous) of unsp upper arm, subs encntr
S40.869S@Insect bite (nonvenomous) of unspecified upper arm, sequela
S40.871A@Other superficial bite of right upper arm, initial encounter
S40.871D@Other superficial bite of right upper arm, subs encntr
S40.871S@Other superficial bite of right upper arm, sequela
S40.872A@Other superficial bite of left upper arm, initial encounter
S40.872D@Other superficial bite of left upper arm, subs encntr
S40.872S@Other superficial bite of left upper arm, sequela
S40.879A@Other superficial bite of unspecified upper arm, init encntr
S40.879D@Other superficial bite of unspecified upper arm, subs encntr
S40.879S@Other superficial bite of unspecified upper arm, sequela
S40.911A@Unsp superficial injury of right shoulder, init encntr
S40.911D@Unsp superficial injury of right shoulder, subs encntr
S40.911S@Unspecified superficial injury of right shoulder, sequela
S40.912A@Unspecified superficial injury of left shoulder, init encntr
S40.912D@Unspecified superficial injury of left shoulder, subs encntr
S40.912S@Unspecified superficial injury of left shoulder, sequela
S40.919A@Unsp superficial injury of unspecified shoulder, init encntr
S40.919D@Unsp superficial injury of unspecified shoulder, subs encntr
S40.919S@Unsp superficial injury of unspecified shoulder, sequela
S40.921A@Unsp superficial injury of right upper arm, init encntr
S40.921D@Unsp superficial injury of right upper arm, subs encntr
S40.921S@Unspecified superficial injury of right upper arm, sequela
S40.922A@Unsp superficial injury of left upper arm, init encntr
S40.922D@Unsp superficial injury of left upper arm, subs encntr
S40.922S@Unspecified superficial injury of left upper arm, sequela
S40.929A@Unsp superficial injury of unsp upper arm, init encntr
S40.929D@Unsp superficial injury of unsp upper arm, subs encntr
S40.929S@Unsp superficial injury of unspecified upper arm, sequela
S41.001A@Unspecified open wound of right shoulder, initial encounter
S41.001D@Unspecified open wound of right shoulder, subs encntr
S41.001S@Unspecified open wound of right shoulder, sequela
S41.002A@Unspecified open wound of left shoulder, initial encounter
S41.002D@Unspecified open wound of left shoulder, subs encntr
S41.002S@Unspecified open wound of left shoulder, sequela
S41.009A@Unspecified open wound of unspecified shoulder, init encntr
S41.009D@Unspecified open wound of unspecified shoulder, subs encntr
S41.009S@Unspecified open wound of unspecified shoulder, sequela
S41.011A@Laceration w/o foreign body of right shoulder, init encntr
S41.011D@Laceration w/o foreign body of right shoulder, subs encntr
S41.011S@Laceration without foreign body of right shoulder, sequela
S41.012A@Laceration w/o foreign body of left shoulder, init encntr
S41.012D@Laceration w/o foreign body of left shoulder, subs encntr
S41.012S@Laceration without foreign body of left shoulder, sequela
S41.019A@Laceration w/o foreign body of unsp shoulder, init encntr
S41.019D@Laceration w/o foreign body of unsp shoulder, subs encntr
S41.019S@Laceration without foreign body of unsp shoulder, sequela
S41.021A@Laceration with foreign body of right shoulder, init encntr
S41.021D@Laceration with foreign body of right shoulder, subs encntr
S41.021S@Laceration with foreign body of right shoulder, sequela
S41.022A@Laceration with foreign body of left shoulder, init encntr
S41.022D@Laceration with foreign body of left shoulder, subs encntr
S41.022S@Laceration with foreign body of left shoulder, sequela
S41.029A@Laceration with foreign body of unsp shoulder, init encntr
S41.029D@Laceration with foreign body of unsp shoulder, subs encntr
S41.029S@Laceration with foreign body of unsp shoulder, sequela
S41.031A@Puncture wound w/o foreign body of right shoulder, init
S41.031D@Puncture wound w/o foreign body of right shoulder, subs
S41.031S@Puncture wound w/o foreign body of right shoulder, sequela
S41.032A@Puncture wound w/o foreign body of left shoulder, init
S41.032D@Puncture wound w/o foreign body of left shoulder, subs
S41.032S@Puncture wound w/o foreign body of left shoulder, sequela
S41.039A@Puncture wound w/o foreign body of unsp shoulder, init
S41.039D@Puncture wound w/o foreign body of unsp shoulder, subs
S41.039S@Puncture wound w/o foreign body of unsp shoulder, sequela
S41.041A@Puncture wound w foreign body of right shoulder, init encntr
S41.041D@Puncture wound w foreign body of right shoulder, subs encntr
S41.041S@Puncture wound with foreign body of right shoulder, sequela
S41.042A@Puncture wound w foreign body of left shoulder, init encntr
S41.042D@Puncture wound w foreign body of left shoulder, subs encntr
S41.042S@Puncture wound with foreign body of left shoulder, sequela
S41.049A@Puncture wound w foreign body of unsp shoulder, init encntr
S41.049D@Puncture wound w foreign body of unsp shoulder, subs encntr
S41.049S@Puncture wound with foreign body of unsp shoulder, sequela
S41.051A@Open bite of right shoulder, initial encounter
S41.051D@Open bite of right shoulder, subsequent encounter
S41.051S@Open bite of right shoulder, sequela
S41.052A@Open bite of left shoulder, initial encounter
S41.052D@Open bite of left shoulder, subsequent encounter
S41.052S@Open bite of left shoulder, sequela
S41.059A@Open bite of unspecified shoulder, initial encounter
S41.059D@Open bite of unspecified shoulder, subsequent encounter
S41.059S@Open bite of unspecified shoulder, sequela
S41.101A@Unspecified open wound of right upper arm, initial encounter
S41.101D@Unspecified open wound of right upper arm, subs encntr
S41.101S@Unspecified open wound of right upper arm, sequela
S41.102A@Unspecified open wound of left upper arm, initial encounter
S41.102D@Unspecified open wound of left upper arm, subs encntr
S41.102S@Unspecified open wound of left upper arm, sequela
S41.109A@Unspecified open wound of unspecified upper arm, init encntr
S41.109D@Unspecified open wound of unspecified upper arm, subs encntr
S41.109S@Unspecified open wound of unspecified upper arm, sequela
S41.111A@Laceration w/o foreign body of right upper arm, init encntr
S41.111D@Laceration w/o foreign body of right upper arm, subs encntr
S41.111S@Laceration without foreign body of right upper arm, sequela
S41.112A@Laceration w/o foreign body of left upper arm, init encntr
S41.112D@Laceration w/o foreign body of left upper arm, subs encntr
S41.112S@Laceration without foreign body of left upper arm, sequela
S41.119A@Laceration w/o foreign body of unsp upper arm, init encntr
S41.119D@Laceration w/o foreign body of unsp upper arm, subs encntr
S41.119S@Laceration without foreign body of unsp upper arm, sequela
S41.121A@Laceration with foreign body of right upper arm, init encntr
S41.121D@Laceration with foreign body of right upper arm, subs encntr
S41.121S@Laceration with foreign body of right upper arm, sequela
S41.122A@Laceration with foreign body of left upper arm, init encntr
S41.122D@Laceration with foreign body of left upper arm, subs encntr
S41.122S@Laceration with foreign body of left upper arm, sequela
S41.129A@Laceration with foreign body of unsp upper arm, init encntr
S41.129D@Laceration with foreign body of unsp upper arm, subs encntr
S41.129S@Laceration with foreign body of unsp upper arm, sequela
S41.131A@Puncture wound w/o foreign body of right upper arm, init
S41.131D@Puncture wound w/o foreign body of right upper arm, subs
S41.131S@Puncture wound w/o foreign body of right upper arm, sequela
S41.132A@Puncture wound w/o foreign body of left upper arm, init
S41.132D@Puncture wound w/o foreign body of left upper arm, subs
S41.132S@Puncture wound w/o foreign body of left upper arm, sequela
S41.139A@Puncture wound w/o foreign body of unsp upper arm, init
S41.139D@Puncture wound w/o foreign body of unsp upper arm, subs
S41.139S@Puncture wound w/o foreign body of unsp upper arm, sequela
S41.141A@Puncture wound w foreign body of right upper arm, init
S41.141D@Puncture wound w foreign body of right upper arm, subs
S41.141S@Puncture wound with foreign body of right upper arm, sequela
S41.142A@Puncture wound w foreign body of left upper arm, init encntr
S41.142D@Puncture wound w foreign body of left upper arm, subs encntr
S41.142S@Puncture wound with foreign body of left upper arm, sequela
S41.149A@Puncture wound w foreign body of unsp upper arm, init encntr
S41.149D@Puncture wound w foreign body of unsp upper arm, subs encntr
S41.149S@Puncture wound with foreign body of unsp upper arm, sequela
S41.151A@Open bite of right upper arm, initial encounter
S41.151D@Open bite of right upper arm, subsequent encounter
S41.151S@Open bite of right upper arm, sequela
S41.152A@Open bite of left upper arm, initial encounter
S41.152D@Open bite of left upper arm, subsequent encounter
S41.152S@Open bite of left upper arm, sequela
S41.159A@Open bite of unspecified upper arm, initial encounter
S41.159D@Open bite of unspecified upper arm, subsequent encounter
S41.159S@Open bite of unspecified upper arm, sequela
S42.001A@Fracture of unsp part of right clavicle, init for clos fx
S42.001B@Fracture of unsp part of right clavicle, init for opn fx
S42.001D@Fx unsp part of r clavicle, subs for fx w routn heal
S42.001G@Fx unsp part of r clavicle, subs for fx w delay heal
S42.001K@Fracture of unsp part of r clavicle, subs for fx w nonunion
S42.001P@Fracture of unsp part of r clavicle, subs for fx w malunion
S42.001S@Fracture of unspecified part of right clavicle, sequela
S42.002A@Fracture of unsp part of left clavicle, init for clos fx
S42.002B@Fracture of unsp part of left clavicle, init for opn fx
S42.002D@Fx unsp part of l clavicle, subs for fx w routn heal
S42.002G@Fx unsp part of l clavicle, subs for fx w delay heal
S42.002K@Fracture of unsp part of l clavicle, subs for fx w nonunion
S42.002P@Fracture of unsp part of l clavicle, subs for fx w malunion
S42.002S@Fracture of unspecified part of left clavicle, sequela
S42.009A@Fracture of unsp part of unsp clavicle, init for clos fx
S42.009B@Fracture of unsp part of unsp clavicle, init for opn fx
S42.009D@Fx unsp part of unsp clavicle, subs for fx w routn heal
S42.009G@Fx unsp part of unsp clavicle, subs for fx w delay heal
S42.009K@Fx unsp part of unsp clavicle, subs for fx w nonunion
S42.009P@Fx unsp part of unsp clavicle, subs for fx w malunion
S42.009S@Fracture of unsp part of unspecified clavicle, sequela
S42.011A@Anterior disp fx of sternal end of right clavicle, init
S42.011B@Ant disp fx of sternal end of r clavicle, init for opn fx
S42.011D@Ant disp fx of sternal end r clavicle, 7thD
S42.011G@Ant disp fx of sternal end r clavicle, 7thG
S42.011K@Ant disp fx of sternal end r clavicle, 7thK
S42.011P@Ant disp fx of sternal end r clavicle, 7thP
S42.011S@Anterior disp fx of sternal end of right clavicle, sequela
S42.012A@Anterior disp fx of sternal end of left clavicle, init
S42.012B@Ant disp fx of sternal end of l clavicle, init for opn fx
S42.012D@Ant disp fx of sternal end l clavicle, 7thD
S42.012G@Ant disp fx of sternal end l clavicle, 7thG
S42.012K@Ant disp fx of sternal end l clavicle, 7thK
S42.012P@Ant disp fx of sternal end l clavicle, 7thP
S42.012S@Anterior disp fx of sternal end of left clavicle, sequela
S42.013A@Anterior disp fx of sternal end of unsp clavicle, init
S42.013B@Ant disp fx of sternal end of unsp clavicle, init for opn fx
S42.013D@Ant disp fx of sternal end unsp clavicle, 7thD
S42.013G@Ant disp fx of sternal end unsp clavicle, 7thG
S42.013K@Ant disp fx of sternal end unsp clavicle, 7thK
S42.013P@Ant disp fx of sternal end unsp clavicle, 7thP
S42.013S@Anterior disp fx of sternal end of unsp clavicle, sequela
S42.014A@Posterior disp fx of sternal end of right clavicle, init
S42.014B@Post disp fx of sternal end of r clavicle, init for opn fx
S42.014D@Post disp fx of sternal end r clavicle, 7thD
S42.014G@Post disp fx of sternal end r clavicle, 7thG
S42.014K@Post disp fx of sternal end r clavicle, 7thK
S42.014P@Post disp fx of sternal end r clavicle, 7thP
S42.014S@Posterior disp fx of sternal end of right clavicle, sequela
S42.015A@Posterior disp fx of sternal end of left clavicle, init
S42.015B@Post disp fx of sternal end of l clavicle, init for opn fx
S42.015D@Post disp fx of sternal end l clavicle, 7thD
S42.015G@Post disp fx of sternal end l clavicle, 7thG
S42.015K@Post disp fx of sternal end l clavicle, 7thK
S42.015P@Post disp fx of sternal end l clavicle, 7thP
S42.015S@Posterior disp fx of sternal end of left clavicle, sequela
S42.016A@Posterior disp fx of sternal end of unsp clavicle, init
S42.016B@Post disp fx of sternal end unsp clavicle, init for opn fx
S42.016D@Post disp fx of sternal end unsp clavicle, 7thD
S42.016G@Post disp fx of sternal end unsp clavicle, 7thG
S42.016K@Post disp fx of sternal end unsp clavicle, 7thK
S42.016P@Post disp fx of sternal end unsp clavicle, 7thP
S42.016S@Posterior disp fx of sternal end of unsp clavicle, sequela
S42.017A@Nondisp fx of sternal end of right clavicle, init
S42.017B@Nondisp fx of sternal end of right clavicle, init for opn fx
S42.017D@Nondisp fx of sternal end r clavicle, 7thD
S42.017G@Nondisp fx of sternal end r clavicle, 7thG
S42.017K@Nondisp fx of sternal end r clavicle, subs for fx w nonunion
S42.017P@Nondisp fx of sternal end r clavicle, subs for fx w malunion
S42.017S@Nondisp fx of sternal end of right clavicle, sequela
S42.018A@Nondisp fx of sternal end of left clavicle, init for clos fx
S42.018B@Nondisp fx of sternal end of left clavicle, init for opn fx
S42.018D@Nondisp fx of sternal end l clavicle, 7thD
S42.018G@Nondisp fx of sternal end l clavicle, 7thG
S42.018K@Nondisp fx of sternal end l clavicle, subs for fx w nonunion
S42.018P@Nondisp fx of sternal end l clavicle, subs for fx w malunion
S42.018S@Nondisp fx of sternal end of left clavicle, sequela
S42.019A@Nondisp fx of sternal end of unsp clavicle, init for clos fx
S42.019B@Nondisp fx of sternal end of unsp clavicle, init for opn fx
S42.019D@Nondisp fx of sternal end unsp clavicle, 7thD
S42.019G@Nondisp fx of sternal end unsp clavicle, 7thG
S42.019K@Nondisp fx of sternal end unsp clavicle, 7thK
S42.019P@Nondisp fx of sternal end unsp clavicle, 7thP
S42.019S@Nondisp fx of sternal end of unspecified clavicle, sequela
S42.021A@Disp fx of shaft of right clavicle, init for clos fx
S42.021B@Disp fx of shaft of right clavicle, init for opn fx
S42.021D@Disp fx of shaft of right clavicle, subs for fx w routn heal
S42.021G@Disp fx of shaft of right clavicle, subs for fx w delay heal
S42.021K@Disp fx of shaft of right clavicle, subs for fx w nonunion
S42.021P@Disp fx of shaft of right clavicle, subs for fx w malunion
S42.021S@Displaced fracture of shaft of right clavicle, sequela
S42.022A@Disp fx of shaft of left clavicle, init for clos fx
S42.022B@Disp fx of shaft of left clavicle, init for opn fx
S42.022D@Disp fx of shaft of left clavicle, subs for fx w routn heal
S42.022G@Disp fx of shaft of left clavicle, subs for fx w delay heal
S42.022K@Disp fx of shaft of left clavicle, subs for fx w nonunion
S42.022P@Disp fx of shaft of left clavicle, subs for fx w malunion
S42.022S@Displaced fracture of shaft of left clavicle, sequela
S42.023A@Disp fx of shaft of unsp clavicle, init for clos fx
S42.023B@Disp fx of shaft of unsp clavicle, init for opn fx
S42.023D@Disp fx of shaft of unsp clavicle, subs for fx w routn heal
S42.023G@Disp fx of shaft of unsp clavicle, subs for fx w delay heal
S42.023K@Disp fx of shaft of unsp clavicle, subs for fx w nonunion
S42.023P@Disp fx of shaft of unsp clavicle, subs for fx w malunion
S42.023S@Displaced fracture of shaft of unspecified clavicle, sequela
S42.024A@Nondisp fx of shaft of right clavicle, init for clos fx
S42.024B@Nondisp fx of shaft of right clavicle, init for opn fx
S42.024D@Nondisp fx of shaft of r clavicle, subs for fx w routn heal
S42.024G@Nondisp fx of shaft of r clavicle, subs for fx w delay heal
S42.024K@Nondisp fx of shaft of r clavicle, subs for fx w nonunion
S42.024P@Nondisp fx of shaft of r clavicle, subs for fx w malunion
S42.024S@Nondisplaced fracture of shaft of right clavicle, sequela
S42.025A@Nondisp fx of shaft of left clavicle, init for clos fx
S42.025B@Nondisp fx of shaft of left clavicle, init for opn fx
S42.025D@Nondisp fx of shaft of l clavicle, subs for fx w routn heal
S42.025G@Nondisp fx of shaft of l clavicle, subs for fx w delay heal
S42.025K@Nondisp fx of shaft of left clavicle, subs for fx w nonunion
S42.025P@Nondisp fx of shaft of left clavicle, subs for fx w malunion
S42.025S@Nondisplaced fracture of shaft of left clavicle, sequela
S42.026A@Nondisp fx of shaft of unsp clavicle, init for clos fx
S42.026B@Nondisp fx of shaft of unsp clavicle, init for opn fx
S42.026D@Nondisp fx of shaft of unsp clavicle, 7thD
S42.026G@Nondisp fx of shaft of unsp clavicle, 7thG
S42.026K@Nondisp fx of shaft of unsp clavicle, subs for fx w nonunion
S42.026P@Nondisp fx of shaft of unsp clavicle, subs for fx w malunion
S42.026S@Nondisp fx of shaft of unspecified clavicle, sequela
S42.031A@Disp fx of lateral end of right clavicle, init for clos fx
S42.031B@Disp fx of lateral end of right clavicle, init for opn fx
S42.031D@Disp fx of lateral end r clavicle, subs for fx w routn heal
S42.031G@Disp fx of lateral end r clavicle, subs for fx w delay heal
S42.031K@Disp fx of lateral end of r clavicle, subs for fx w nonunion
S42.031P@Disp fx of lateral end of r clavicle, subs for fx w malunion
S42.031S@Displaced fracture of lateral end of right clavicle, sequela
S42.032A@Disp fx of lateral end of left clavicle, init for clos fx
S42.032B@Disp fx of lateral end of left clavicle, init for opn fx
S42.032D@Disp fx of lateral end l clavicle, subs for fx w routn heal
S42.032G@Disp fx of lateral end l clavicle, subs for fx w delay heal
S42.032K@Disp fx of lateral end of l clavicle, subs for fx w nonunion
S42.032P@Disp fx of lateral end of l clavicle, subs for fx w malunion
S42.032S@Displaced fracture of lateral end of left clavicle, sequela
S42.033A@Disp fx of lateral end of unsp clavicle, init for clos fx
S42.033B@Disp fx of lateral end of unsp clavicle, init for opn fx
S42.033D@Disp fx of lateral end unsp clavicle, 7thD
S42.033G@Disp fx of lateral end unsp clavicle, 7thG
S42.033K@Disp fx of lateral end unsp clavicle, subs for fx w nonunion
S42.033P@Disp fx of lateral end unsp clavicle, subs for fx w malunion
S42.033S@Disp fx of lateral end of unspecified clavicle, sequela
S42.034A@Nondisp fx of lateral end of right clavicle, init
S42.034B@Nondisp fx of lateral end of right clavicle, init for opn fx
S42.034D@Nondisp fx of lateral end r clavicle, 7thD
S42.034G@Nondisp fx of lateral end r clavicle, 7thG
S42.034K@Nondisp fx of lateral end r clavicle, subs for fx w nonunion
S42.034P@Nondisp fx of lateral end r clavicle, subs for fx w malunion
S42.034S@Nondisp fx of lateral end of right clavicle, sequela
S42.035A@Nondisp fx of lateral end of left clavicle, init for clos fx
S42.035B@Nondisp fx of lateral end of left clavicle, init for opn fx
S42.035D@Nondisp fx of lateral end l clavicle, 7thD
S42.035G@Nondisp fx of lateral end l clavicle, 7thG
S42.035K@Nondisp fx of lateral end l clavicle, subs for fx w nonunion
S42.035P@Nondisp fx of lateral end l clavicle, subs for fx w malunion
S42.035S@Nondisp fx of lateral end of left clavicle, sequela
S42.036A@Nondisp fx of lateral end of unsp clavicle, init for clos fx
S42.036B@Nondisp fx of lateral end of unsp clavicle, init for opn fx
S42.036D@Nondisp fx of lateral end unsp clavicle, 7thD
S42.036G@Nondisp fx of lateral end unsp clavicle, 7thG
S42.036K@Nondisp fx of lateral end unsp clavicle, 7thK
S42.036P@Nondisp fx of lateral end unsp clavicle, 7thP
S42.036S@Nondisp fx of lateral end of unspecified clavicle, sequela
S42.101A@Fracture of unsp part of scapula, right shoulder, init
S42.101B@Fx unsp part of scapula, r shoulder, init for opn fx
S42.101D@Fx unsp part of scapula, r shldr, subs for fx w routn heal
S42.101G@Fx unsp part of scapula, r shldr, subs for fx w delay heal
S42.101K@Fx unsp part of scapula, r shoulder, subs for fx w nonunion
S42.101P@Fx unsp part of scapula, r shoulder, subs for fx w malunion
S42.101S@Fracture of unsp part of scapula, right shoulder, sequela
S42.102A@Fracture of unsp part of scapula, left shoulder, init
S42.102B@Fx unsp part of scapula, l shoulder, init for opn fx
S42.102D@Fx unsp part of scapula, l shldr, subs for fx w routn heal
S42.102G@Fx unsp part of scapula, l shldr, subs for fx w delay heal
S42.102K@Fx unsp part of scapula, l shoulder, subs for fx w nonunion
S42.102P@Fx unsp part of scapula, l shoulder, subs for fx w malunion
S42.102S@Fracture of unsp part of scapula, left shoulder, sequela
S42.109A@Fracture of unsp part of scapula, unsp shoulder, init
S42.109B@Fx unsp part of scapula, unsp shoulder, init for opn fx
S42.109D@Fx unsp prt of scapula, unsp shldr, subs for fx w routn heal
S42.109G@Fx unsp prt of scapula, unsp shldr, subs for fx w delay heal
S42.109K@Fx unsp part of scapula, unsp shldr, subs for fx w nonunion
S42.109P@Fx unsp part of scapula, unsp shldr, subs for fx w malunion
S42.109S@Fracture of unsp part of scapula, unsp shoulder, sequela
S42.111A@Disp fx of body of scapula, right shoulder, init for clos fx
S42.111B@Disp fx of body of scapula, right shoulder, init for opn fx
S42.111D@Disp fx of body of scapula, r shldr, 7thD
S42.111G@Disp fx of body of scapula, r shldr, 7thG
S42.111K@Disp fx of body of scapula, r shldr, subs for fx w nonunion
S42.111P@Disp fx of body of scapula, r shldr, subs for fx w malunion
S42.111S@Disp fx of body of scapula, right shoulder, sequela
S42.112A@Disp fx of body of scapula, left shoulder, init for clos fx
S42.112B@Disp fx of body of scapula, left shoulder, init for opn fx
S42.112D@Disp fx of body of scapula, l shldr, 7thD
S42.112G@Disp fx of body of scapula, l shldr, 7thG
S42.112K@Disp fx of body of scapula, l shldr, subs for fx w nonunion
S42.112P@Disp fx of body of scapula, l shldr, subs for fx w malunion
S42.112S@Disp fx of body of scapula, left shoulder, sequela
S42.113A@Disp fx of body of scapula, unsp shoulder, init for clos fx
S42.113B@Disp fx of body of scapula, unsp shoulder, init for opn fx
S42.113D@Disp fx of body of scapula, unsp shldr, 7thD
S42.113G@Disp fx of body of scapula, unsp shldr, 7thG
S42.113K@Disp fx of body of scapula, unsp shldr, 7thK
S42.113P@Disp fx of body of scapula, unsp shldr, 7thP
S42.113S@Disp fx of body of scapula, unspecified shoulder, sequela
S42.114A@Nondisp fx of body of scapula, right shoulder, init
S42.114B@Nondisp fx of body of scapula, r shoulder, init for opn fx
S42.114D@Nondisp fx of body of scapula, r shldr, 7thD
S42.114G@Nondisp fx of body of scapula, r shldr, 7thG
S42.114K@Nondisp fx of body of scapula, r shldr, 7thK
S42.114P@Nondisp fx of body of scapula, r shldr, 7thP
S42.114S@Nondisp fx of body of scapula, right shoulder, sequela
S42.115A@Nondisp fx of body of scapula, left shoulder, init
S42.115B@Nondisp fx of body of scapula, l shoulder, init for opn fx
S42.115D@Nondisp fx of body of scapula, l shldr, 7thD
S42.115G@Nondisp fx of body of scapula, l shldr, 7thG
S42.115K@Nondisp fx of body of scapula, l shldr, 7thK
S42.115P@Nondisp fx of body of scapula, l shldr, 7thP
S42.115S@Nondisp fx of body of scapula, left shoulder, sequela
S42.116A@Nondisp fx of body of scapula, unsp shoulder, init
S42.116B@Nondisp fx of body of scapula, unsp shldr, init for opn fx
S42.116D@Nondisp fx of body of scapula, unsp shldr, 7thD
