S90.00XA@Contusion of unspecified ankle, initial encounter
S90.00XD@Contusion of unspecified ankle, subsequent encounter
S90.00XS@Contusion of unspecified ankle, sequela
S90.01XA@Contusion of right ankle, initial encounter
S90.01XD@Contusion of right ankle, subsequent encounter
S90.01XS@Contusion of right ankle, sequela
S90.02XA@Contusion of left ankle, initial encounter
S90.02XD@Contusion of left ankle, subsequent encounter
S90.02XS@Contusion of left ankle, sequela
S90.111A@Contusion of right great toe w/o damage to nail, init encntr
S90.111D@Contusion of right great toe w/o damage to nail, subs encntr
S90.111S@Contusion of right great toe without damage to nail, sequela
S90.112A@Contusion of left great toe w/o damage to nail, init encntr
S90.112D@Contusion of left great toe w/o damage to nail, subs encntr
S90.112S@Contusion of left great toe without damage to nail, sequela
S90.119A@Contusion of unsp great toe w/o damage to nail, init encntr
S90.119D@Contusion of unsp great toe w/o damage to nail, subs encntr
S90.119S@Contusion of unsp great toe without damage to nail, sequela
S90.121A@Contusion of right lesser toe(s) w/o damage to nail, init
S90.121D@Contusion of right lesser toe(s) w/o damage to nail, subs
S90.121S@Contusion of right lesser toe(s) w/o damage to nail, sequela
S90.122A@Contusion of left lesser toe(s) w/o damage to nail, init
S90.122D@Contusion of left lesser toe(s) w/o damage to nail, subs
S90.122S@Contusion of left lesser toe(s) w/o damage to nail, sequela
S90.129A@Contusion of unsp lesser toe(s) w/o damage to nail, init
S90.129D@Contusion of unsp lesser toe(s) w/o damage to nail, subs
S90.129S@Contusion of unsp lesser toe(s) w/o damage to nail, sequela
S90.211A@Contusion of right great toe w damage to nail, init encntr
S90.211D@Contusion of right great toe w damage to nail, subs encntr
S90.211S@Contusion of right great toe with damage to nail, sequela
S90.212A@Contusion of left great toe with damage to nail, init encntr
S90.212D@Contusion of left great toe with damage to nail, subs encntr
S90.212S@Contusion of left great toe with damage to nail, sequela
S90.219A@Contusion of unsp great toe with damage to nail, init encntr
S90.219D@Contusion of unsp great toe with damage to nail, subs encntr
S90.219S@Contusion of unsp great toe with damage to nail, sequela
S90.221A@Contusion of right lesser toe(s) w damage to nail, init
S90.221D@Contusion of right lesser toe(s) w damage to nail, subs
S90.221S@Contusion of right lesser toe(s) w damage to nail, sequela
S90.222A@Contusion of left lesser toe(s) w damage to nail, init
S90.222D@Contusion of left lesser toe(s) w damage to nail, subs
S90.222S@Contusion of left lesser toe(s) with damage to nail, sequela
S90.229A@Contusion of unsp lesser toe(s) w damage to nail, init
S90.229D@Contusion of unsp lesser toe(s) w damage to nail, subs
S90.229S@Contusion of unsp lesser toe(s) with damage to nail, sequela
S90.30XA@Contusion of unspecified foot, initial encounter
S90.30XD@Contusion of unspecified foot, subsequent encounter
S90.30XS@Contusion of unspecified foot, sequela
S90.31XA@Contusion of right foot, initial encounter
S90.31XD@Contusion of right foot, subsequent encounter
S90.31XS@Contusion of right foot, sequela
S90.32XA@Contusion of left foot, initial encounter
S90.32XD@Contusion of left foot, subsequent encounter
S90.32XS@Contusion of left foot, sequela
S90.451S@Superficial foreign body, right great toe, sequela
S90.452A@Superficial foreign body, left great toe, initial encounter
S90.452D@Superficial foreign body, left great toe, subs encntr
S90.452S@Superficial foreign body, left great toe, sequela
S90.453A@Superficial foreign body, unspecified great toe, init encntr
S90.453D@Superficial foreign body, unspecified great toe, subs encntr
S90.453S@Superficial foreign body, unspecified great toe, sequela
S90.454A@Superficial foreign body, right lesser toe(s), init encntr
S90.454D@Superficial foreign body, right lesser toe(s), subs encntr
S90.454S@Superficial foreign body, right lesser toe(s), sequela
S90.455A@Superficial foreign body, left lesser toe(s), init encntr
S90.455D@Superficial foreign body, left lesser toe(s), subs encntr
S90.455S@Superficial foreign body, left lesser toe(s), sequela
S90.456A@Superficial foreign body, unsp lesser toe(s), init encntr
S90.456D@Superficial foreign body, unsp lesser toe(s), subs encntr
S90.456S@Superficial foreign body, unspecified lesser toe(s), sequela
S90.461A@Insect bite (nonvenomous), right great toe, init encntr
S90.461D@Insect bite (nonvenomous), right great toe, subs encntr
S90.461S@Insect bite (nonvenomous), right great toe, sequela
S90.462A@Insect bite (nonvenomous), left great toe, initial encounter
S90.462D@Insect bite (nonvenomous), left great toe, subs encntr
S90.462S@Insect bite (nonvenomous), left great toe, sequela
S90.463A@Insect bite (nonvenomous), unsp great toe, init encntr
S90.463D@Insect bite (nonvenomous), unsp great toe, subs encntr
S90.463S@Insect bite (nonvenomous), unspecified great toe, sequela
S90.464A@Insect bite (nonvenomous), right lesser toe(s), init encntr
S90.464D@Insect bite (nonvenomous), right lesser toe(s), subs encntr
S90.464S@Insect bite (nonvenomous), right lesser toe(s), sequela
S90.465A@Insect bite (nonvenomous), left lesser toe(s), init encntr
S90.465D@Insect bite (nonvenomous), left lesser toe(s), subs encntr
S90.465S@Insect bite (nonvenomous), left lesser toe(s), sequela
S90.466A@Insect bite (nonvenomous), unsp lesser toe(s), init encntr
S90.466D@Insect bite (nonvenomous), unsp lesser toe(s), subs encntr
S90.466S@Insect bite (nonvenomous), unsp lesser toe(s), sequela
S90.471A@Other superficial bite of right great toe, initial encounter
S90.471D@Other superficial bite of right great toe, subs encntr
S90.471S@Other superficial bite of right great toe, sequela
S90.472A@Other superficial bite of left great toe, initial encounter
S90.472D@Other superficial bite of left great toe, subs encntr
S90.472S@Other superficial bite of left great toe, sequela
S90.473A@Other superficial bite of unspecified great toe, init encntr
S90.473D@Other superficial bite of unspecified great toe, subs encntr
S90.473S@Other superficial bite of unspecified great toe, sequela
S90.474A@Other superficial bite of right lesser toe(s), init encntr
S90.474D@Other superficial bite of right lesser toe(s), subs encntr
S90.474S@Other superficial bite of right lesser toe(s), sequela
S90.475A@Other superficial bite of left lesser toe(s), init encntr
S90.475D@Other superficial bite of left lesser toe(s), subs encntr
S90.475S@Other superficial bite of left lesser toe(s), sequela
S90.476A@Other superficial bite of unsp lesser toe(s), init encntr
S90.476D@Other superficial bite of unsp lesser toe(s), subs encntr
S90.476S@Other superficial bite of unspecified lesser toe(s), sequela
S90.511A@Abrasion, right ankle, initial encounter
S90.511D@Abrasion, right ankle, subsequent encounter
S90.511S@Abrasion, right ankle, sequela
S90.512A@Abrasion, left ankle, initial encounter
S90.512D@Abrasion, left ankle, subsequent encounter
S90.512S@Abrasion, left ankle, sequela
S90.519A@Abrasion, unspecified ankle, initial encounter
S90.519D@Abrasion, unspecified ankle, subsequent encounter
S90.519S@Abrasion, unspecified ankle, sequela
S90.521A@Blister (nonthermal), right ankle, initial encounter
S90.521D@Blister (nonthermal), right ankle, subsequent encounter
S90.521S@Blister (nonthermal), right ankle, sequela
S90.522A@Blister (nonthermal), left ankle, initial encounter
S90.522D@Blister (nonthermal), left ankle, subsequent encounter
S90.522S@Blister (nonthermal), left ankle, sequela
S90.529A@Blister (nonthermal), unspecified ankle, initial encounter
S90.529D@Blister (nonthermal), unspecified ankle, subs encntr
S90.529S@Blister (nonthermal), unspecified ankle, sequela
S90.541A@External constriction, right ankle, initial encounter
S90.541D@External constriction, right ankle, subsequent encounter
S90.541S@External constriction, right ankle, sequela
S90.542A@External constriction, left ankle, initial encounter
S90.542D@External constriction, left ankle, subsequent encounter
S90.542S@External constriction, left ankle, sequela
S90.549A@External constriction, unspecified ankle, initial encounter
S90.549D@External constriction, unspecified ankle, subs encntr
S90.549S@External constriction, unspecified ankle, sequela
S90.551A@Superficial foreign body, right ankle, initial encounter
S90.551D@Superficial foreign body, right ankle, subsequent encounter
S90.551S@Superficial foreign body, right ankle, sequela
S90.552A@Superficial foreign body, left ankle, initial encounter
S90.552D@Superficial foreign body, left ankle, subsequent encounter
S90.552S@Superficial foreign body, left ankle, sequela
S90.559A@Superficial foreign body, unspecified ankle, init encntr
S90.559D@Superficial foreign body, unspecified ankle, subs encntr
S90.559S@Superficial foreign body, unspecified ankle, sequela
S90.561A@Insect bite (nonvenomous), right ankle, initial encounter
S90.561D@Insect bite (nonvenomous), right ankle, subsequent encounter
S90.561S@Insect bite (nonvenomous), right ankle, sequela
S90.562A@Insect bite (nonvenomous), left ankle, initial encounter
S90.562D@Insect bite (nonvenomous), left ankle, subsequent encounter
S90.562S@Insect bite (nonvenomous), left ankle, sequela
S90.569A@Insect bite (nonvenomous), unspecified ankle, init encntr
S90.569D@Insect bite (nonvenomous), unspecified ankle, subs encntr
S90.569S@Insect bite (nonvenomous), unspecified ankle, sequela
S90.571A@Other superficial bite of ankle, right ankle, init encntr
S90.571D@Other superficial bite of ankle, right ankle, subs encntr
S90.571S@Other superficial bite of ankle, right ankle, sequela
S90.572A@Other superficial bite of ankle, left ankle, init encntr
S90.572D@Other superficial bite of ankle, left ankle, subs encntr
S90.572S@Other superficial bite of ankle, left ankle, sequela
S90.579A@Other superficial bite of ankle, unsp ankle, init encntr
S90.579D@Other superficial bite of ankle, unsp ankle, subs encntr
S90.579S@Other superficial bite of ankle, unspecified ankle, sequela
S90.811A@Abrasion, right foot, initial encounter
S90.811D@Abrasion, right foot, subsequent encounter
S90.811S@Abrasion, right foot, sequela
S90.812A@Abrasion, left foot, initial encounter
S90.812D@Abrasion, left foot, subsequent encounter
S90.812S@Abrasion, left foot, sequela
S90.819A@Abrasion, unspecified foot, initial encounter
S90.819D@Abrasion, unspecified foot, subsequent encounter
S90.819S@Abrasion, unspecified foot, sequela
S90.821A@Blister (nonthermal), right foot, initial encounter
S90.821D@Blister (nonthermal), right foot, subsequent encounter
S90.821S@Blister (nonthermal), right foot, sequela
S90.822A@Blister (nonthermal), left foot, initial encounter
S90.822D@Blister (nonthermal), left foot, subsequent encounter
S90.822S@Blister (nonthermal), left foot, sequela
S90.829A@Blister (nonthermal), unspecified foot, initial encounter
S90.829D@Blister (nonthermal), unspecified foot, subsequent encounter
S90.829S@Blister (nonthermal), unspecified foot, sequela
S90.841A@External constriction, right foot, initial encounter
S90.841D@External constriction, right foot, subsequent encounter
S90.841S@External constriction, right foot, sequela
S90.842A@External constriction, left foot, initial encounter
S90.842D@External constriction, left foot, subsequent encounter
S90.842S@External constriction, left foot, sequela
S90.849A@External constriction, unspecified foot, initial encounter
S90.849D@External constriction, unspecified foot, subs encntr
S90.849S@External constriction, unspecified foot, sequela
S90.851A@Superficial foreign body, right foot, initial encounter
S90.851D@Superficial foreign body, right foot, subsequent encounter
S90.851S@Superficial foreign body, right foot, sequela
S90.852A@Superficial foreign body, left foot, initial encounter
S90.852D@Superficial foreign body, left foot, subsequent encounter
S90.852S@Superficial foreign body, left foot, sequela
S90.859A@Superficial foreign body, unspecified foot, init encntr
S90.859D@Superficial foreign body, unspecified foot, subs encntr
S90.859S@Superficial foreign body, unspecified foot, sequela
S90.861A@Insect bite (nonvenomous), right foot, initial encounter
S90.861D@Insect bite (nonvenomous), right foot, subsequent encounter
S90.861S@Insect bite (nonvenomous), right foot, sequela
S90.862A@Insect bite (nonvenomous), left foot, initial encounter
S90.862D@Insect bite (nonvenomous), left foot, subsequent encounter
S90.862S@Insect bite (nonvenomous), left foot, sequela
S90.869A@Insect bite (nonvenomous), unspecified foot, init encntr
S90.869D@Insect bite (nonvenomous), unspecified foot, subs encntr
S90.869S@Insect bite (nonvenomous), unspecified foot, sequela
S90.871A@Other superficial bite of right foot, initial encounter
S90.871D@Other superficial bite of right foot, subsequent encounter
S90.871S@Other superficial bite of right foot, sequela
S90.872A@Other superficial bite of left foot, initial encounter
S90.872D@Other superficial bite of left foot, subsequent encounter
S90.872S@Other superficial bite of left foot, sequela
S90.879A@Other superficial bite of unspecified foot, init encntr
S90.879D@Other superficial bite of unspecified foot, subs encntr
S90.879S@Other superficial bite of unspecified foot, sequela
S90.911A@Unspecified superficial injury of right ankle, init encntr
S90.911D@Unspecified superficial injury of right ankle, subs encntr
S90.911S@Unspecified superficial injury of right ankle, sequela
S90.912A@Unspecified superficial injury of left ankle, init encntr
S90.912D@Unspecified superficial injury of left ankle, subs encntr
S90.912S@Unspecified superficial injury of left ankle, sequela
S90.919A@Unsp superficial injury of unspecified ankle, init encntr
S90.919D@Unsp superficial injury of unspecified ankle, subs encntr
S90.919S@Unspecified superficial injury of unspecified ankle, sequela
S90.921A@Unspecified superficial injury of right foot, init encntr
S90.921D@Unspecified superficial injury of right foot, subs encntr
S90.921S@Unspecified superficial injury of right foot, sequela
S90.922A@Unspecified superficial injury of left foot, init encntr
S90.922D@Unspecified superficial injury of left foot, subs encntr
S90.922S@Unspecified superficial injury of left foot, sequela
S90.929A@Unsp superficial injury of unspecified foot, init encntr
S90.929D@Unsp superficial injury of unspecified foot, subs encntr
S90.929S@Unspecified superficial injury of unspecified foot, sequela
S90.931A@Unsp superficial injury of right great toe, init encntr
S90.931D@Unsp superficial injury of right great toe, subs encntr
S90.931S@Unspecified superficial injury of right great toe, sequela
S90.932A@Unsp superficial injury of left great toe, init encntr
S90.932D@Unsp superficial injury of left great toe, subs encntr
S90.932S@Unspecified superficial injury of left great toe, sequela
S90.933A@Unsp superficial injury of unsp great toe, init encntr
S90.933D@Unsp superficial injury of unsp great toe, subs encntr
S90.933S@Unsp superficial injury of unspecified great toe, sequela
S90.934A@Unsp superficial injury of right lesser toe(s), init encntr
S90.934D@Unsp superficial injury of right lesser toe(s), subs encntr
S90.934S@Unsp superficial injury of right lesser toe(s), sequela
S90.935A@Unsp superficial injury of left lesser toe(s), init encntr
S90.935D@Unsp superficial injury of left lesser toe(s), subs encntr
S90.935S@Unsp superficial injury of left lesser toe(s), sequela
S90.936A@Unsp superficial injury of unsp lesser toe(s), init encntr
S90.936D@Unsp superficial injury of unsp lesser toe(s), subs encntr
S90.936S@Unsp superficial injury of unsp lesser toe(s), sequela
S91.001A@Unspecified open wound, right ankle, initial encounter
S91.001D@Unspecified open wound, right ankle, subsequent encounter
S91.001S@Unspecified open wound, right ankle, sequela
S91.002A@Unspecified open wound, left ankle, initial encounter
S91.002D@Unspecified open wound, left ankle, subsequent encounter
S91.002S@Unspecified open wound, left ankle, sequela
S91.009A@Unspecified open wound, unspecified ankle, initial encounter
S91.009D@Unspecified open wound, unspecified ankle, subs encntr
S91.009S@Unspecified open wound, unspecified ankle, sequela
S91.011A@Laceration without foreign body, right ankle, init encntr
S91.011D@Laceration without foreign body, right ankle, subs encntr
S91.011S@Laceration without foreign body, right ankle, sequela
S91.012A@Laceration without foreign body, left ankle, init encntr
S91.012D@Laceration without foreign body, left ankle, subs encntr
S91.012S@Laceration without foreign body, left ankle, sequela
S91.019A@Laceration without foreign body, unsp ankle, init encntr
S91.019D@Laceration without foreign body, unsp ankle, subs encntr
S91.019S@Laceration without foreign body, unspecified ankle, sequela
S91.021A@Laceration with foreign body, right ankle, initial encounter
S91.021D@Laceration with foreign body, right ankle, subs encntr
S91.021S@Laceration with foreign body, right ankle, sequela
S91.022A@Laceration with foreign body, left ankle, initial encounter
S91.022D@Laceration with foreign body, left ankle, subs encntr
S91.022S@Laceration with foreign body, left ankle, sequela
S91.029A@Laceration with foreign body, unspecified ankle, init encntr
S91.029D@Laceration with foreign body, unspecified ankle, subs encntr
S91.029S@Laceration with foreign body, unspecified ankle, sequela
S91.031A@Puncture wound w/o foreign body, right ankle, init encntr
S91.031D@Puncture wound w/o foreign body, right ankle, subs encntr
S91.031S@Puncture wound without foreign body, right ankle, sequela
S91.032A@Puncture wound without foreign body, left ankle, init encntr
S91.032D@Puncture wound without foreign body, left ankle, subs encntr
S91.032S@Puncture wound without foreign body, left ankle, sequela
S91.039A@Puncture wound without foreign body, unsp ankle, init encntr
S91.039D@Puncture wound without foreign body, unsp ankle, subs encntr
S91.039S@Puncture wound without foreign body, unsp ankle, sequela
S91.041A@Puncture wound with foreign body, right ankle, init encntr
S91.041D@Puncture wound with foreign body, right ankle, subs encntr
S91.041S@Puncture wound with foreign body, right ankle, sequela
S91.042A@Puncture wound with foreign body, left ankle, init encntr
S91.042D@Puncture wound with foreign body, left ankle, subs encntr
S91.042S@Puncture wound with foreign body, left ankle, sequela
S91.049A@Puncture wound with foreign body, unsp ankle, init encntr
S91.049D@Puncture wound with foreign body, unsp ankle, subs encntr
S91.049S@Puncture wound with foreign body, unspecified ankle, sequela
S91.051A@Open bite, right ankle, initial encounter
S91.051D@Open bite, right ankle, subsequent encounter
S91.051S@Open bite, right ankle, sequela
S91.052A@Open bite, left ankle, initial encounter
S91.052D@Open bite, left ankle, subsequent encounter
S91.052S@Open bite, left ankle, sequela
S91.059A@Open bite, unspecified ankle, initial encounter
S91.059D@Open bite, unspecified ankle, subsequent encounter
S91.059S@Open bite, unspecified ankle, sequela
S91.101A@Unsp open wound of right great toe w/o damage to nail, init
S91.101D@Unsp open wound of right great toe w/o damage to nail, subs
S91.101S@Unsp opn wnd right great toe w/o damage to nail, sequela
S91.102A@Unsp open wound of left great toe w/o damage to nail, init
S91.102D@Unsp open wound of left great toe w/o damage to nail, subs
S91.102S@Unsp opn wnd left great toe w/o damage to nail, sequela
S91.103A@Unsp open wound of unsp great toe w/o damage to nail, init
S91.103D@Unsp open wound of unsp great toe w/o damage to nail, subs
S91.103S@Unsp opn wnd unsp great toe w/o damage to nail, sequela
S91.104A@Unsp opn wnd right lesser toe(s) w/o damage to nail, init
S91.104D@Unsp opn wnd right lesser toe(s) w/o damage to nail, subs
S91.104S@Unsp opn wnd right lesser toe(s) w/o damage to nail, sequela
S91.105A@Unsp opn wnd left lesser toe(s) w/o damage to nail, init
S91.105D@Unsp opn wnd left lesser toe(s) w/o damage to nail, subs
S91.105S@Unsp opn wnd left lesser toe(s) w/o damage to nail, sequela
S91.106A@Unsp opn wnd unsp lesser toe(s) w/o damage to nail, init
S91.106D@Unsp opn wnd unsp lesser toe(s) w/o damage to nail, subs
S91.106S@Unsp opn wnd unsp lesser toe(s) w/o damage to nail, sequela
S91.109A@Unsp open wound of unsp toe(s) w/o damage to nail, init
S91.109D@Unsp open wound of unsp toe(s) w/o damage to nail, subs
S91.109S@Unsp open wound of unsp toe(s) w/o damage to nail, sequela
S91.111A@Lac w/o fb of right great toe w/o damage to nail, init
S91.111D@Lac w/o fb of right great toe w/o damage to nail, subs
S91.111S@Lac w/o fb of right great toe w/o damage to nail, sequela
S91.112A@Laceration w/o fb of left great toe w/o damage to nail, init
S91.112D@Laceration w/o fb of left great toe w/o damage to nail, subs
S91.112S@Lac w/o fb of left great toe w/o damage to nail, sequela
S91.113A@Laceration w/o fb of unsp great toe w/o damage to nail, init
S91.113D@Laceration w/o fb of unsp great toe w/o damage to nail, subs
S91.113S@Lac w/o fb of unsp great toe w/o damage to nail, sequela
S91.114A@Lac w/o fb of right lesser toe(s) w/o damage to nail, init
S91.114D@Lac w/o fb of right lesser toe(s) w/o damage to nail, subs
S91.114S@Lac w/o fb of right lesser toe(s) w/o damage to nail, sqla
S91.115A@Lac w/o fb of left lesser toe(s) w/o damage to nail, init
S91.115D@Lac w/o fb of left lesser toe(s) w/o damage to nail, subs
S91.115S@Lac w/o fb of left lesser toe(s) w/o damage to nail, sequela
S91.116A@Lac w/o fb of unsp lesser toe(s) w/o damage to nail, init
S91.116D@Lac w/o fb of unsp lesser toe(s) w/o damage to nail, subs
S91.116S@Lac w/o fb of unsp lesser toe(s) w/o damage to nail, sequela
S91.119A@Laceration w/o fb of unsp toe w/o damage to nail, init
S91.119D@Laceration w/o fb of unsp toe w/o damage to nail, subs
S91.119S@Laceration w/o fb of unsp toe w/o damage to nail, sequela
S91.121A@Laceration w fb of right great toe w/o damage to nail, init
S91.121D@Laceration w fb of right great toe w/o damage to nail, subs
S91.121S@Lac w fb of right great toe w/o damage to nail, sequela
S91.122A@Laceration w fb of left great toe w/o damage to nail, init
S91.122D@Laceration w fb of left great toe w/o damage to nail, subs
S91.122S@Lac w fb of left great toe w/o damage to nail, sequela
S91.123A@Laceration w fb of unsp great toe w/o damage to nail, init
S91.123D@Laceration w fb of unsp great toe w/o damage to nail, subs
S91.123S@Lac w fb of unsp great toe w/o damage to nail, sequela
S91.124A@Lac w fb of right lesser toe(s) w/o damage to nail, init
S91.124D@Lac w fb of right lesser toe(s) w/o damage to nail, subs
S91.124S@Lac w fb of right lesser toe(s) w/o damage to nail, sequela
S91.125A@Lac w fb of left lesser toe(s) w/o damage to nail, init
S91.125D@Lac w fb of left lesser toe(s) w/o damage to nail, subs
S91.125S@Lac w fb of left lesser toe(s) w/o damage to nail, sequela
S91.126A@Lac w fb of unsp lesser toe(s) w/o damage to nail, init
S91.126D@Lac w fb of unsp lesser toe(s) w/o damage to nail, subs
S91.126S@Lac w fb of unsp lesser toe(s) w/o damage to nail, sequela
S91.129A@Laceration w fb of unsp toe(s) w/o damage to nail, init
S91.129D@Laceration w fb of unsp toe(s) w/o damage to nail, subs
S91.129S@Laceration w fb of unsp toe(s) w/o damage to nail, sequela
S91.131A@Pnctr w/o fb of right great toe w/o damage to nail, init
S91.131D@Pnctr w/o fb of right great toe w/o damage to nail, subs
S91.131S@Pnctr w/o fb of right great toe w/o damage to nail, sequela
S91.132A@Pnctr w/o fb of left great toe w/o damage to nail, init
S91.132D@Pnctr w/o fb of left great toe w/o damage to nail, subs
S91.132S@Pnctr w/o fb of left great toe w/o damage to nail, sequela
S91.133A@Pnctr w/o fb of unsp great toe w/o damage to nail, init
S91.133D@Pnctr w/o fb of unsp great toe w/o damage to nail, subs
S91.133S@Pnctr w/o fb of unsp great toe w/o damage to nail, sequela
S91.134A@Pnctr w/o fb of right lesser toe(s) w/o damage to nail, init
S91.134D@Pnctr w/o fb of right lesser toe(s) w/o damage to nail, subs
S91.134S@Pnctr w/o fb of right lesser toe(s) w/o damage to nail, sqla
S91.135A@Pnctr w/o fb of left lesser toe(s) w/o damage to nail, init
S91.135D@Pnctr w/o fb of left lesser toe(s) w/o damage to nail, subs
S91.135S@Pnctr w/o fb of left lesser toe(s) w/o damage to nail, sqla
S91.136A@Pnctr w/o fb of unsp lesser toe(s) w/o damage to nail, init
