T51.0X1A@Toxic effect of ethanol, accidental (unintentional), init
T61.784S@Other shellfish poisoning, undetermined, sequela
T61.8X1A@Toxic effect of seafood, accidental (unintentional), init
T61.8X1D@Toxic effect of seafood, accidental (unintentional), subs
T61.8X1S@Toxic effect of seafood, accidental (unintentional), sequela
T61.8X2A@Toxic effect of oth seafood, intentional self-harm, init
T61.8X2D@Toxic effect of oth seafood, intentional self-harm, subs
T61.8X2S@Toxic effect of oth seafood, intentional self-harm, sequela
T61.8X3A@Toxic effect of other seafood, assault, initial encounter
T61.8X3D@Toxic effect of other seafood, assault, subsequent encounter
T61.8X3S@Toxic effect of other seafood, assault, sequela
T61.8X4A@Toxic effect of other seafood, undetermined, init encntr
T61.8X4D@Toxic effect of other seafood, undetermined, subs encntr
T61.8X4S@Toxic effect of other seafood, undetermined, sequela
T61.91XA@Toxic effect of unsp seafood, accidental, init
T61.91XD@Toxic effect of unsp seafood, accidental, subs
T61.91XS@Toxic effect of unsp seafood, accidental, sequela
T61.92XA@Toxic effect of unsp seafood, intentional self-harm, init
T61.92XD@Toxic effect of unsp seafood, intentional self-harm, subs
T61.92XS@Toxic effect of unsp seafood, intentional self-harm, sequela
T61.93XA@Toxic effect of unspecified seafood, assault, init encntr
T61.93XD@Toxic effect of unspecified seafood, assault, subs encntr
T61.93XS@Toxic effect of unspecified seafood, assault, sequela
T61.94XA@Toxic effect of unsp seafood, undetermined, init encntr
T61.94XD@Toxic effect of unsp seafood, undetermined, subs encntr
T61.94XS@Toxic effect of unspecified seafood, undetermined, sequela
T62.0X1A@Toxic effect of ingested mushrooms, accidental, init
T62.0X1D@Toxic effect of ingested mushrooms, accidental, subs
T62.0X1S@Toxic effect of ingested mushrooms, accidental, sequela
T62.0X2A@Toxic effect of ingested mushrooms, self-harm, init
T62.0X2D@Toxic effect of ingested mushrooms, self-harm, subs
T62.0X2S@Toxic effect of ingested mushrooms, self-harm, sequela
T62.0X3A@Toxic effect of ingested mushrooms, assault, init encntr
T62.0X3D@Toxic effect of ingested mushrooms, assault, subs encntr
T62.0X3S@Toxic effect of ingested mushrooms, assault, sequela
T62.0X4A@Toxic effect of ingested mushrooms, undetermined, init
T62.0X4D@Toxic effect of ingested mushrooms, undetermined, subs
T62.0X4S@Toxic effect of ingested mushrooms, undetermined, sequela
T62.1X1A@Toxic effect of ingested berries, accidental, init
T62.1X1D@Toxic effect of ingested berries, accidental, subs
T62.1X1S@Toxic effect of ingested berries, accidental, sequela
T62.1X2A@Toxic effect of ingested berries, self-harm, init
T62.1X2D@Toxic effect of ingested berries, self-harm, subs
T62.1X2S@Toxic effect of ingested berries, self-harm, sequela
T62.1X3A@Toxic effect of ingested berries, assault, initial encounter
T62.1X3D@Toxic effect of ingested berries, assault, subs encntr
T62.1X3S@Toxic effect of ingested berries, assault, sequela
T62.1X4A@Toxic effect of ingested berries, undetermined, init encntr
T62.1X4D@Toxic effect of ingested berries, undetermined, subs encntr
T62.1X4S@Toxic effect of ingested berries, undetermined, sequela
T62.2X1A@Toxic effect of ingested (parts of) plant(s), acc, init
T62.2X1D@Toxic effect of ingested (parts of) plant(s), acc, subs
T62.2X1S@Toxic effect of ingested (parts of) plant(s), acc, sequela
T62.2X2A@Toxic effect of ingested (parts of) plant(s), slf-hrm, init
T62.2X2D@Toxic effect of ingested (parts of) plant(s), slf-hrm, subs
T62.2X2S@Toxic effect of ingest (parts of) plant(s), slf-hrm, sequela
T62.2X3A@Toxic effect of ingested (parts of) plant(s), assault, init
T62.2X3D@Toxic effect of ingested (parts of) plant(s), assault, subs
T62.2X3S@Toxic effect of ingest (parts of) plant(s), assault, sequela
T62.2X4A@Toxic effect of ingested (parts of) plant(s), undet, init
T62.2X4D@Toxic effect of ingested (parts of) plant(s), undet, subs
T62.2X4S@Toxic effect of ingested (parts of) plant(s), undet, sequela
T62.8X1A@Toxic effect of noxious substances eaten as food, acc, init
T62.8X1D@Toxic effect of noxious substances eaten as food, acc, subs
T62.8X1S@Toxic effect of noxious substnc eaten as food, acc, sequela
T62.8X2A@Toxic effect of noxious substnc eaten as food, slf-hrm, init
T62.8X2D@Toxic effect of noxious substnc eaten as food, slf-hrm, subs
T62.8X2S@Toxic effect of noxious substnc eaten as food, slf-hrm, sqla
T62.8X3A@Toxic effect of noxious substnc eaten as food, assault, init
T62.8X3D@Toxic effect of noxious substnc eaten as food, assault, subs
T62.8X3S@Toxic effect of noxious substnc eaten as food, asslt, sqla
T62.8X4A@Toxic effect of noxious substnc eaten as food, undet, init
T62.8X4D@Toxic effect of noxious substnc eaten as food, undet, subs
T62.8X4S@Toxic effect of noxious substnc eaten as food, undet, sqla
T62.91XA@Toxic effect of unsp noxious sub eaten as food, acc, init
T62.91XD@Toxic effect of unsp noxious sub eaten as food, acc, subs
T62.91XS@Toxic effect of unsp noxious sub eaten as food, acc, sqla
T62.92XA@Toxic eff of unsp noxious sub eaten as food, slf-hrm, init
T62.92XD@Toxic eff of unsp noxious sub eaten as food, slf-hrm, subs
T62.92XS@Toxic eff of unsp noxious sub eaten as food, slf-hrm, sqla
T62.93XA@Toxic effect of unsp noxious sub eaten as food, asslt, init
T62.93XD@Toxic effect of unsp noxious sub eaten as food, asslt, subs
T62.93XS@Toxic effect of unsp noxious sub eaten as food, asslt, sqla
T62.94XA@Toxic effect of unsp noxious sub eaten as food, undet, init
T62.94XD@Toxic effect of unsp noxious sub eaten as food, undet, subs
T62.94XS@Toxic effect of unsp noxious sub eaten as food, undet, sqla
T63.001A@Toxic effect of unsp snake venom, accidental, init
T63.001D@Toxic effect of unsp snake venom, accidental, subs
T63.001S@Toxic effect of unsp snake venom, accidental, sequela
T63.002A@Toxic effect of unsp snake venom, self-harm, init
T63.002D@Toxic effect of unsp snake venom, self-harm, subs
T63.002S@Toxic effect of unsp snake venom, self-harm, sequela
T63.003A@Toxic effect of unsp snake venom, assault, init encntr
T63.003D@Toxic effect of unsp snake venom, assault, subs encntr
T63.003S@Toxic effect of unspecified snake venom, assault, sequela
T63.004A@Toxic effect of unsp snake venom, undetermined, init encntr
T63.004D@Toxic effect of unsp snake venom, undetermined, subs encntr
T63.004S@Toxic effect of unsp snake venom, undetermined, sequela
T63.011A@Toxic effect of rattlesnake venom, accidental, init
T63.011D@Toxic effect of rattlesnake venom, accidental, subs
T63.011S@Toxic effect of rattlesnake venom, accidental, sequela
T63.012A@Toxic effect of rattlesnake venom, self-harm, init
T63.012D@Toxic effect of rattlesnake venom, self-harm, subs
T63.012S@Toxic effect of rattlesnake venom, self-harm, sequela
T63.013A@Toxic effect of rattlesnake venom, assault, init encntr
T63.013D@Toxic effect of rattlesnake venom, assault, subs encntr
T63.013S@Toxic effect of rattlesnake venom, assault, sequela
T63.014A@Toxic effect of rattlesnake venom, undetermined, init encntr
T63.014D@Toxic effect of rattlesnake venom, undetermined, subs encntr
T63.014S@Toxic effect of rattlesnake venom, undetermined, sequela
T63.021A@Toxic effect of coral snake venom, accidental, init
T63.021D@Toxic effect of coral snake venom, accidental, subs
T63.021S@Toxic effect of coral snake venom, accidental, sequela
T63.022A@Toxic effect of coral snake venom, self-harm, init
T63.022D@Toxic effect of coral snake venom, self-harm, subs
T63.022S@Toxic effect of coral snake venom, self-harm, sequela
T63.023A@Toxic effect of coral snake venom, assault, init encntr
T63.023D@Toxic effect of coral snake venom, assault, subs encntr
T63.023S@Toxic effect of coral snake venom, assault, sequela
T63.024A@Toxic effect of coral snake venom, undetermined, init encntr
T63.024D@Toxic effect of coral snake venom, undetermined, subs encntr
T63.024S@Toxic effect of coral snake venom, undetermined, sequela
T63.031A@Toxic effect of taipan venom, accidental, init
T63.031D@Toxic effect of taipan venom, accidental, subs
T63.031S@Toxic effect of taipan venom, accidental, sequela
T63.032A@Toxic effect of taipan venom, intentional self-harm, init
T63.032D@Toxic effect of taipan venom, intentional self-harm, subs
T63.032S@Toxic effect of taipan venom, intentional self-harm, sequela
T63.033A@Toxic effect of taipan venom, assault, initial encounter
T63.033D@Toxic effect of taipan venom, assault, subsequent encounter
T63.033S@Toxic effect of taipan venom, assault, sequela
T63.034A@Toxic effect of taipan venom, undetermined, init encntr
T63.034D@Toxic effect of taipan venom, undetermined, subs encntr
T63.034S@Toxic effect of taipan venom, undetermined, sequela
T63.041A@Toxic effect of cobra venom, accidental, init
T63.041D@Toxic effect of cobra venom, accidental, subs
T63.041S@Toxic effect of cobra venom, accidental, sequela
T63.042A@Toxic effect of cobra venom, intentional self-harm, init
T63.042D@Toxic effect of cobra venom, intentional self-harm, subs
T63.042S@Toxic effect of cobra venom, intentional self-harm, sequela
T63.043A@Toxic effect of cobra venom, assault, initial encounter
T63.043D@Toxic effect of cobra venom, assault, subsequent encounter
T63.043S@Toxic effect of cobra venom, assault, sequela
T63.044A@Toxic effect of cobra venom, undetermined, initial encounter
T63.044D@Toxic effect of cobra venom, undetermined, subs encntr
T63.044S@Toxic effect of cobra venom, undetermined, sequela
T63.061A@Toxic effect of venom of N & S American snake, acc, init
T63.061D@Toxic effect of venom of N & S American snake, acc, subs
T63.061S@Toxic effect of venom of N & S American snake, acc, sequela
T63.062A@Toxic effect of venom of N & S American snake, slf-hrm, init
T63.062D@Toxic effect of venom of N & S American snake, slf-hrm, subs
T63.062S@Toxic effect of venom of N & S American snake, slf-hrm, sqla
T63.063A@Toxic effect of venom of N & S American snake, assault, init
T63.063D@Toxic effect of venom of N & S American snake, assault, subs
T63.063S@Toxic effect of venom of N & S American snake, asslt, sqla
T63.064A@Toxic effect of venom of N & S American snake, undet, init
T63.064D@Toxic effect of venom of N & S American snake, undet, subs
T63.064S@Toxic effect of venom of N & S American snake, undet, sqla
T63.071A@Toxic effect of venom of Australian snake, accidental, init
T63.071D@Toxic effect of venom of Australian snake, accidental, subs
T63.071S@Toxic effect of venom of Australian snake, acc, sequela
T63.072A@Toxic effect of venom of Australian snake, self-harm, init
T63.072D@Toxic effect of venom of Australian snake, self-harm, subs
T63.072S@Toxic effect of venom of Australian snake, slf-hrm, sequela
T63.073A@Toxic effect of venom of oth Australian snake, assault, init
T63.073D@Toxic effect of venom of oth Australian snake, assault, subs
T63.073S@Toxic effect of venom of Australian snake, assault, sequela
T63.074A@Toxic effect of venom of Australian snake, undet, init
T63.074D@Toxic effect of venom of Australian snake, undet, subs
T63.074S@Toxic effect of venom of Australian snake, undet, sequela
T63.081A@Toxic effect of venom of African and Asian snake, acc, init
T63.081D@Toxic effect of venom of African and Asian snake, acc, subs
T63.081S@Toxic effect of venom of African and Asian snake, acc, sqla
T63.082A@Toxic eff of venom of African and Asian snake, slf-hrm, init
T63.082D@Toxic eff of venom of African and Asian snake, slf-hrm, subs
T63.082S@Toxic eff of venom of African and Asian snake, slf-hrm, sqla
T63.083A@Toxic eff of venom of African and Asian snake, asslt, init
T63.083D@Toxic eff of venom of African and Asian snake, asslt, subs
T63.083S@Toxic eff of venom of African and Asian snake, asslt, sqla
T63.084A@Toxic eff of venom of African and Asian snake, undet, init
T63.084D@Toxic eff of venom of African and Asian snake, undet, subs
T63.084S@Toxic eff of venom of African and Asian snake, undet, sqla
T63.091A@Toxic effect of venom of snake, accidental, init
T63.091D@Toxic effect of venom of snake, accidental, subs
T63.091S@Toxic effect of venom of snake, accidental, sequela
T63.092A@Toxic effect of venom of snake, intentional self-harm, init
T63.092D@Toxic effect of venom of snake, intentional self-harm, subs
T63.092S@Toxic effect of venom of snake, self-harm, sequela
T63.093A@Toxic effect of venom of other snake, assault, init encntr
T63.093D@Toxic effect of venom of other snake, assault, subs encntr
T63.093S@Toxic effect of venom of other snake, assault, sequela
T63.094A@Toxic effect of venom of oth snake, undetermined, init
T63.094D@Toxic effect of venom of oth snake, undetermined, subs
T63.094S@Toxic effect of venom of other snake, undetermined, sequela
T63.111A@Toxic effect of venom of gila monster, accidental, init
T63.111D@Toxic effect of venom of gila monster, accidental, subs
T63.111S@Toxic effect of venom of gila monster, accidental, sequela
T63.112A@Toxic effect of venom of gila monster, self-harm, init
T63.112D@Toxic effect of venom of gila monster, self-harm, subs
T63.112S@Toxic effect of venom of gila monster, self-harm, sequela
T63.113A@Toxic effect of venom of gila monster, assault, init encntr
T63.113D@Toxic effect of venom of gila monster, assault, subs encntr
T63.113S@Toxic effect of venom of gila monster, assault, sequela
T63.114A@Toxic effect of venom of gila monster, undetermined, init
T63.114D@Toxic effect of venom of gila monster, undetermined, subs
T63.114S@Toxic effect of venom of gila monster, undetermined, sequela
T63.121A@Toxic effect of venom of venomous lizard, accidental, init
T63.121D@Toxic effect of venom of venomous lizard, accidental, subs
T63.121S@Toxic effect of venom of venomous lizard, acc, sequela
T63.122A@Toxic effect of venom of venomous lizard, self-harm, init
T63.122D@Toxic effect of venom of venomous lizard, self-harm, subs
T63.122S@Toxic effect of venom of venomous lizard, self-harm, sequela
T63.123A@Toxic effect of venom of oth venomous lizard, assault, init
T63.123D@Toxic effect of venom of oth venomous lizard, assault, subs
T63.123S@Toxic effect of venom of venomous lizard, assault, sequela
T63.124A@Toxic effect of venom of venomous lizard, undetermined, init
T63.124D@Toxic effect of venom of venomous lizard, undetermined, subs
T63.124S@Toxic effect of venom of venomous lizard, undet, sequela
T63.191A@Toxic effect of venom of reptiles, accidental, init
T63.191D@Toxic effect of venom of reptiles, accidental, subs
T63.191S@Toxic effect of venom of reptiles, accidental, sequela
T63.192A@Toxic effect of venom of reptiles, self-harm, init
T63.192D@Toxic effect of venom of reptiles, self-harm, subs
T63.192S@Toxic effect of venom of reptiles, self-harm, sequela
T63.193A@Toxic effect of venom of oth reptiles, assault, init encntr
T63.193D@Toxic effect of venom of oth reptiles, assault, subs encntr
T63.193S@Toxic effect of venom of other reptiles, assault, sequela
T63.194A@Toxic effect of venom of oth reptiles, undetermined, init
T63.194D@Toxic effect of venom of oth reptiles, undetermined, subs
T63.194S@Toxic effect of venom of oth reptiles, undetermined, sequela
T63.2X1A@Toxic effect of venom of scorpion, accidental, init
T63.2X1D@Toxic effect of venom of scorpion, accidental, subs
T63.2X1S@Toxic effect of venom of scorpion, accidental, sequela
T63.2X2A@Toxic effect of venom of scorpion, self-harm, init
T63.2X2D@Toxic effect of venom of scorpion, self-harm, subs
T63.2X2S@Toxic effect of venom of scorpion, self-harm, sequela
T63.2X3A@Toxic effect of venom of scorpion, assault, init encntr
T63.2X3D@Toxic effect of venom of scorpion, assault, subs encntr
T63.2X3S@Toxic effect of venom of scorpion, assault, sequela
T63.2X4A@Toxic effect of venom of scorpion, undetermined, init encntr
T63.2X4D@Toxic effect of venom of scorpion, undetermined, subs encntr
T63.2X4S@Toxic effect of venom of scorpion, undetermined, sequela
T63.301A@Toxic effect of unsp spider venom, accidental, init
T63.301D@Toxic effect of unsp spider venom, accidental, subs
T63.301S@Toxic effect of unsp spider venom, accidental, sequela
T63.302A@Toxic effect of unsp spider venom, self-harm, init
T63.302D@Toxic effect of unsp spider venom, self-harm, subs
T63.302S@Toxic effect of unsp spider venom, self-harm, sequela
T63.303A@Toxic effect of unsp spider venom, assault, init encntr
T63.303D@Toxic effect of unsp spider venom, assault, subs encntr
T63.303S@Toxic effect of unspecified spider venom, assault, sequela
T63.304A@Toxic effect of unsp spider venom, undetermined, init encntr
T63.304D@Toxic effect of unsp spider venom, undetermined, subs encntr
T63.304S@Toxic effect of unsp spider venom, undetermined, sequela
T63.311A@Toxic effect of venom of black widow spider, acc, init
T63.311D@Toxic effect of venom of black widow spider, acc, subs
T63.311S@Toxic effect of venom of black widow spider, acc, sequela
T63.312A@Toxic effect of venom of black widow spider, self-harm, init
T63.312D@Toxic effect of venom of black widow spider, self-harm, subs
T63.312S@Toxic effect of venom of black widow spider, slf-hrm, sqla
T63.313A@Toxic effect of venom of black widow spider, assault, init
T63.313D@Toxic effect of venom of black widow spider, assault, subs
T63.313S@Toxic effect of venom of black widow spider, asslt, sequela
T63.314A@Toxic effect of venom of black widow spider, undet, init
T63.314D@Toxic effect of venom of black widow spider, undet, subs
T63.314S@Toxic effect of venom of black widow spider, undet, sequela
T63.321A@Toxic effect of venom of tarantula, accidental, init
T63.321D@Toxic effect of venom of tarantula, accidental, subs
T63.321S@Toxic effect of venom of tarantula, accidental, sequela
T63.322A@Toxic effect of venom of tarantula, self-harm, init
T63.322D@Toxic effect of venom of tarantula, self-harm, subs
T63.322S@Toxic effect of venom of tarantula, self-harm, sequela
T63.323A@Toxic effect of venom of tarantula, assault, init encntr
T63.323D@Toxic effect of venom of tarantula, assault, subs encntr
T63.323S@Toxic effect of venom of tarantula, assault, sequela
T63.324A@Toxic effect of venom of tarantula, undetermined, init
T63.324D@Toxic effect of venom of tarantula, undetermined, subs
T63.324S@Toxic effect of venom of tarantula, undetermined, sequela
T63.331A@Toxic effect of venom of brown recluse spider, acc, init
T63.331D@Toxic effect of venom of brown recluse spider, acc, subs
T63.331S@Toxic effect of venom of brown recluse spider, acc, sequela
T63.332A@Toxic effect of venom of brown recluse spider, slf-hrm, init
T63.332D@Toxic effect of venom of brown recluse spider, slf-hrm, subs
T63.332S@Toxic effect of venom of brown recluse spider, slf-hrm, sqla
T63.333A@Toxic effect of venom of brown recluse spider, assault, init
T63.333D@Toxic effect of venom of brown recluse spider, assault, subs
T63.333S@Toxic effect of venom of brown recluse spider, asslt, sqla
T63.334A@Toxic effect of venom of brown recluse spider, undet, init
T63.334D@Toxic effect of venom of brown recluse spider, undet, subs
T63.334S@Toxic effect of venom of brown recluse spider, undet, sqla
T63.391A@Toxic effect of venom of spider, accidental, init
T63.391D@Toxic effect of venom of spider, accidental, subs
T63.391S@Toxic effect of venom of spider, accidental, sequela
T63.392A@Toxic effect of venom of spider, intentional self-harm, init
T63.392D@Toxic effect of venom of spider, intentional self-harm, subs
T63.392S@Toxic effect of venom of spider, self-harm, sequela
T63.393A@Toxic effect of venom of other spider, assault, init encntr
T63.393D@Toxic effect of venom of other spider, assault, subs encntr
T63.393S@Toxic effect of venom of other spider, assault, sequela
T63.394A@Toxic effect of venom of oth spider, undetermined, init
T63.394D@Toxic effect of venom of oth spider, undetermined, subs
T63.394S@Toxic effect of venom of other spider, undetermined, sequela
T63.411A@Toxic effect of venom of centipede/millipede, acc, init
T63.411D@Toxic effect of venom of centipede/millipede, acc, subs
T63.411S@Toxic effect of venom of centipede/millipede, acc, sequela
T63.412A@Toxic effect of venom of centipede/millipede, slf-hrm, init
T63.412D@Toxic effect of venom of centipede/millipede, slf-hrm, subs
T63.412S@Toxic effect of venom of centipede/millipede, slf-hrm, sqla
T63.413A@Toxic effect of venom of centipede/millipede, assault, init
T63.413D@Toxic effect of venom of centipede/millipede, assault, subs
T63.413S@Toxic effect of venom of centipede/millipede, asslt, sequela
T63.414A@Toxic effect of venom of centipede/millipede, undet, init
T63.414D@Toxic effect of venom of centipede/millipede, undet, subs
T63.414S@Toxic effect of venom of centipede/millipede, undet, sequela
T63.421A@Toxic effect of venom of ants, accidental, init
T63.421D@Toxic effect of venom of ants, accidental, subs
T63.421S@Toxic effect of venom of ants, accidental, sequela
T63.422A@Toxic effect of venom of ants, intentional self-harm, init
T63.422D@Toxic effect of venom of ants, intentional self-harm, subs
T63.422S@Toxic effect of venom of ants, self-harm, sequela
T63.423A@Toxic effect of venom of ants, assault, initial encounter
T63.423D@Toxic effect of venom of ants, assault, subsequent encounter
T63.423S@Toxic effect of venom of ants, assault, sequela
T63.424A@Toxic effect of venom of ants, undetermined, init encntr
T63.424D@Toxic effect of venom of ants, undetermined, subs encntr
T63.424S@Toxic effect of venom of ants, undetermined, sequela
T63.431A@Toxic effect of venom of caterpillars, accidental, init
T63.431D@Toxic effect of venom of caterpillars, accidental, subs
T63.431S@Toxic effect of venom of caterpillars, accidental, sequela
T63.432A@Toxic effect of venom of caterpillars, self-harm, init
T63.432D@Toxic effect of venom of caterpillars, self-harm, subs
T63.432S@Toxic effect of venom of caterpillars, self-harm, sequela
T63.433A@Toxic effect of venom of caterpillars, assault, init encntr
T63.433D@Toxic effect of venom of caterpillars, assault, subs encntr
T63.433S@Toxic effect of venom of caterpillars, assault, sequela
T63.434A@Toxic effect of venom of caterpillars, undetermined, init
T63.434D@Toxic effect of venom of caterpillars, undetermined, subs
T63.434S@Toxic effect of venom of caterpillars, undetermined, sequela
T63.441A@Toxic effect of venom of bees, accidental, init
T63.441D@Toxic effect of venom of bees, accidental, subs
T63.441S@Toxic effect of venom of bees, accidental, sequela
T63.442A@Toxic effect of venom of bees, intentional self-harm, init
T63.442D@Toxic effect of venom of bees, intentional self-harm, subs
T63.442S@Toxic effect of venom of bees, self-harm, sequela
T63.443A@Toxic effect of venom of bees, assault, initial encounter
T63.443D@Toxic effect of venom of bees, assault, subsequent encounter
T63.443S@Toxic effect of venom of bees, assault, sequela
T63.444A@Toxic effect of venom of bees, undetermined, init encntr
T63.444D@Toxic effect of venom of bees, undetermined, subs encntr
T63.444S@Toxic effect of venom of bees, undetermined, sequela
T63.451A@Toxic effect of venom of hornets, accidental, init
T63.451D@Toxic effect of venom of hornets, accidental, subs
T63.451S@Toxic effect of venom of hornets, accidental, sequela
T63.452A@Toxic effect of venom of hornets, self-harm, init
T63.452D@Toxic effect of venom of hornets, self-harm, subs
T63.452S@Toxic effect of venom of hornets, self-harm, sequela
T63.453A@Toxic effect of venom of hornets, assault, initial encounter
T63.453D@Toxic effect of venom of hornets, assault, subs encntr
T63.453S@Toxic effect of venom of hornets, assault, sequela
T63.454A@Toxic effect of venom of hornets, undetermined, init encntr
T63.454D@Toxic effect of venom of hornets, undetermined, subs encntr
T63.454S@Toxic effect of venom of hornets, undetermined, sequela
T63.461A@Toxic effect of venom of wasps, accidental, init
T63.461D@Toxic effect of venom of wasps, accidental, subs
T63.461S@Toxic effect of venom of wasps, accidental, sequela
T63.462A@Toxic effect of venom of wasps, intentional self-harm, init
T63.462D@Toxic effect of venom of wasps, intentional self-harm, subs
T63.462S@Toxic effect of venom of wasps, self-harm, sequela
T63.463A@Toxic effect of venom of wasps, assault, initial encounter
T63.463D@Toxic effect of venom of wasps, assault, subs encntr
T63.463S@Toxic effect of venom of wasps, assault, sequela
T63.464A@Toxic effect of venom of wasps, undetermined, init encntr
T63.464D@Toxic effect of venom of wasps, undetermined, subs encntr
T63.464S@Toxic effect of venom of wasps, undetermined, sequela
T63.481A@Toxic effect of venom of arthropod, accidental, init
T63.481D@Toxic effect of venom of arthropod, accidental, subs
T63.481S@Toxic effect of venom of arthropod, accidental, sequela
T63.482A@Toxic effect of venom of arthropod, self-harm, init
T63.482D@Toxic effect of venom of arthropod, self-harm, subs
T63.482S@Toxic effect of venom of arthropod, self-harm, sequela
T63.483A@Toxic effect of venom of oth arthropod, assault, init encntr
T63.483D@Toxic effect of venom of oth arthropod, assault, subs encntr
T63.483S@Toxic effect of venom of other arthropod, assault, sequela
T63.484A@Toxic effect of venom of oth arthropod, undetermined, init
T63.484D@Toxic effect of venom of oth arthropod, undetermined, subs
T63.484S@Toxic effect of venom of arthropod, undetermined, sequela
T63.511A@Toxic effect of contact w stingray, accidental, init
T63.511D@Toxic effect of contact w stingray, accidental, subs
T63.511S@Toxic effect of contact w stingray, accidental, sequela
T63.512A@Toxic effect of contact w stingray, self-harm, init
T63.512D@Toxic effect of contact w stingray, self-harm, subs
T63.512S@Toxic effect of contact w stingray, self-harm, sequela
T63.513A@Toxic effect of contact with stingray, assault, init encntr
T63.513D@Toxic effect of contact with stingray, assault, subs encntr
T63.513S@Toxic effect of contact with stingray, assault, sequela
T63.514A@Toxic effect of contact w stingray, undetermined, init
T63.514D@Toxic effect of contact w stingray, undetermined, subs
T63.514S@Toxic effect of contact with stingray, undetermined, sequela
T63.591A@Toxic effect of contact w oth venomous fish, acc, init
T63.591D@Toxic effect of contact w oth venomous fish, acc, subs
T63.591S@Toxic effect of contact w oth venomous fish, acc, sequela
T63.592A@Toxic effect of contact w oth venomous fish, self-harm, init
T63.592D@Toxic effect of contact w oth venomous fish, self-harm, subs
T63.592S@Toxic effect of contact w oth venom fish, slf-hrm, sequela
T63.593A@Toxic effect of contact w oth venomous fish, assault, init
T63.593D@Toxic effect of contact w oth venomous fish, assault, subs
T63.593S@Toxic effect of contact w oth venom fish, assault, sequela
T63.594A@Toxic effect of contact w oth venomous fish, undet, init
T63.594D@Toxic effect of contact w oth venomous fish, undet, subs
T63.594S@Toxic effect of contact w oth venomous fish, undet, sequela
T63.611A@Toxic effect of contact w Portugese Man-o-war, acc, init
T63.611D@Toxic effect of contact w Portugese Man-o-war, acc, subs
T63.611S@Toxic effect of contact w Portugese Man-o-war, acc, sequela
T63.612A@Toxic effect of contact w Portugese Man-o-war, slf-hrm, init
T63.612D@Toxic effect of contact w Portugese Man-o-war, slf-hrm, subs
T63.612S@Toxic effect of cntct w Portugese Man-o-war, slf-hrm, sqla
T63.613A@Toxic effect of contact w Portugese Man-o-war, assault, init
T63.613D@Toxic effect of contact w Portugese Man-o-war, assault, subs
T63.613S@Toxic effect of cntct w Portugese Man-o-war, asslt, sequela
T63.614A@Toxic effect of contact w Portugese Man-o-war, undet, init
T63.614D@Toxic effect of contact w Portugese Man-o-war, undet, subs
T63.614S@Toxic effect of cntct w Portugese Man-o-war, undet, sequela
T63.621A@Toxic effect of contact w oth jellyfish, accidental, init
T63.621D@Toxic effect of contact w oth jellyfish, accidental, subs
T63.621S@Toxic effect of contact w oth jellyfish, acc, sequela
T63.622A@Toxic effect of contact w oth jellyfish, self-harm, init
T63.622D@Toxic effect of contact w oth jellyfish, self-harm, subs
T63.622S@Toxic effect of contact w oth jellyfish, self-harm, sequela
T63.623A@Toxic effect of contact w oth jellyfish, assault, init
T63.623D@Toxic effect of contact w oth jellyfish, assault, subs
T63.623S@Toxic effect of contact with oth jellyfish, assault, sequela
T63.624A@Toxic effect of contact w oth jellyfish, undetermined, init
T63.624D@Toxic effect of contact w oth jellyfish, undetermined, subs
T63.624S@Toxic effect of contact w oth jellyfish, undet, sequela
T63.631A@Toxic effect of contact w sea anemone, accidental, init
T63.631D@Toxic effect of contact w sea anemone, accidental, subs
T63.631S@Toxic effect of contact w sea anemone, accidental, sequela
T63.632A@Toxic effect of contact w sea anemone, self-harm, init
T63.632D@Toxic effect of contact w sea anemone, self-harm, subs
T63.632S@Toxic effect of contact w sea anemone, self-harm, sequela
T63.633A@Toxic effect of contact w sea anemone, assault, init encntr
T63.633D@Toxic effect of contact w sea anemone, assault, subs encntr
T63.633S@Toxic effect of contact with sea anemone, assault, sequela
T63.634A@Toxic effect of contact w sea anemone, undetermined, init
T63.634D@Toxic effect of contact w sea anemone, undetermined, subs
T63.634S@Toxic effect of contact w sea anemone, undetermined, sequela
T63.691A@Toxic effect of cntct w oth venom marine animals, acc, init
T63.691D@Toxic effect of cntct w oth venom marine animals, acc, subs
T63.691S@Toxic effect of cntct w oth venom marine animals, acc, sqla
T63.692A@Toxic eff of cntct w oth venom marine animals, slf-hrm, init
T63.692D@Toxic eff of cntct w oth venom marine animals, slf-hrm, subs
T63.692S@Toxic eff of cntct w oth venom marine animals, slf-hrm, sqla
T63.693A@Toxic eff of cntct w oth venom marine animals, asslt, init
T63.693D@Toxic eff of cntct w oth venom marine animals, asslt, subs
T63.693S@Toxic eff of cntct w oth venom marine animals, asslt, sqla
T63.694A@Toxic eff of cntct w oth venom marine animals, undet, init
T63.694D@Toxic eff of cntct w oth venom marine animals, undet, subs
T63.694S@Toxic eff of cntct w oth venom marine animals, undet, sqla
T63.711A@Toxic effect of contact w venomous marine plant, acc, init
T63.711D@Toxic effect of contact w venomous marine plant, acc, subs
T63.711S@Toxic effect of contact w venom marine plant, acc, sequela
T63.712A@Toxic effect of contact w venom marine plant, slf-hrm, init
T63.712D@Toxic effect of contact w venom marine plant, slf-hrm, subs
T63.712S@Toxic effect of cntct w venom marine plant, slf-hrm, sequela
