T51.0X1A@Toxic effect of ethanol, accidental (unintentional), init
T51.92XA@Toxic effect of unsp alcohol, intentional self-harm, init
T51.92XD@Toxic effect of unsp alcohol, intentional self-harm, subs
T51.92XS@Toxic effect of unsp alcohol, intentional self-harm, sequela
T51.93XA@Toxic effect of unspecified alcohol, assault, init encntr
T51.93XD@Toxic effect of unspecified alcohol, assault, subs encntr
T51.93XS@Toxic effect of unspecified alcohol, assault, sequela
T51.94XA@Toxic effect of unsp alcohol, undetermined, init encntr
T51.94XD@Toxic effect of unsp alcohol, undetermined, subs encntr
T51.94XS@Toxic effect of unspecified alcohol, undetermined, sequela
T52.0X1A@Toxic effect of petroleum products, accidental, init
T52.0X1D@Toxic effect of petroleum products, accidental, subs
T52.0X1S@Toxic effect of petroleum products, accidental, sequela
T52.0X2A@Toxic effect of petroleum products, self-harm, init
T52.0X2D@Toxic effect of petroleum products, self-harm, subs
T52.0X2S@Toxic effect of petroleum products, self-harm, sequela
T52.0X3A@Toxic effect of petroleum products, assault, init encntr
T52.0X3D@Toxic effect of petroleum products, assault, subs encntr
T52.0X3S@Toxic effect of petroleum products, assault, sequela
T52.0X4A@Toxic effect of petroleum products, undetermined, init
T52.0X4D@Toxic effect of petroleum products, undetermined, subs
T52.0X4S@Toxic effect of petroleum products, undetermined, sequela
T52.1X1A@Toxic effect of benzene, accidental (unintentional), init
T52.1X1D@Toxic effect of benzene, accidental (unintentional), subs
T52.1X1S@Toxic effect of benzene, accidental (unintentional), sequela
T52.1X2A@Toxic effect of benzene, intentional self-harm, init encntr
T52.1X2D@Toxic effect of benzene, intentional self-harm, subs encntr
T52.1X2S@Toxic effect of benzene, intentional self-harm, sequela
T52.1X3A@Toxic effect of benzene, assault, initial encounter
T52.1X3D@Toxic effect of benzene, assault, subsequent encounter
T52.1X3S@Toxic effect of benzene, assault, sequela
T52.1X4A@Toxic effect of benzene, undetermined, initial encounter
T52.1X4D@Toxic effect of benzene, undetermined, subsequent encounter
T52.1X4S@Toxic effect of benzene, undetermined, sequela
T52.2X1A@Toxic effect of homologues of benzene, accidental, init
T52.2X1D@Toxic effect of homologues of benzene, accidental, subs
T52.2X1S@Toxic effect of homologues of benzene, accidental, sequela
T52.2X2A@Toxic effect of homologues of benzene, self-harm, init
T52.2X2D@Toxic effect of homologues of benzene, self-harm, subs
T52.2X2S@Toxic effect of homologues of benzene, self-harm, sequela
T52.2X3A@Toxic effect of homologues of benzene, assault, init encntr
T52.2X3D@Toxic effect of homologues of benzene, assault, subs encntr
T52.2X3S@Toxic effect of homologues of benzene, assault, sequela
T52.2X4A@Toxic effect of homologues of benzene, undetermined, init
T52.2X4D@Toxic effect of homologues of benzene, undetermined, subs
T52.2X4S@Toxic effect of homologues of benzene, undetermined, sequela
T52.3X1A@Toxic effect of glycols, accidental (unintentional), init
T52.3X1D@Toxic effect of glycols, accidental (unintentional), subs
T52.3X1S@Toxic effect of glycols, accidental (unintentional), sequela
T52.3X2A@Toxic effect of glycols, intentional self-harm, init encntr
T52.3X2D@Toxic effect of glycols, intentional self-harm, subs encntr
T52.3X2S@Toxic effect of glycols, intentional self-harm, sequela
T52.3X3A@Toxic effect of glycols, assault, initial encounter
T52.3X3D@Toxic effect of glycols, assault, subsequent encounter
T52.3X3S@Toxic effect of glycols, assault, sequela
T52.3X4A@Toxic effect of glycols, undetermined, initial encounter
T52.3X4D@Toxic effect of glycols, undetermined, subsequent encounter
T52.3X4S@Toxic effect of glycols, undetermined, sequela
T52.4X1A@Toxic effect of ketones, accidental (unintentional), init
T52.4X1D@Toxic effect of ketones, accidental (unintentional), subs
T52.4X1S@Toxic effect of ketones, accidental (unintentional), sequela
T52.4X2A@Toxic effect of ketones, intentional self-harm, init encntr
T52.4X2D@Toxic effect of ketones, intentional self-harm, subs encntr
T52.4X2S@Toxic effect of ketones, intentional self-harm, sequela
T52.4X3A@Toxic effect of ketones, assault, initial encounter
T52.4X3D@Toxic effect of ketones, assault, subsequent encounter
T52.4X3S@Toxic effect of ketones, assault, sequela
T52.4X4A@Toxic effect of ketones, undetermined, initial encounter
T52.4X4D@Toxic effect of ketones, undetermined, subsequent encounter
T52.4X4S@Toxic effect of ketones, undetermined, sequela
T52.8X1A@Toxic effect of organic solvents, accidental, init
T52.8X1D@Toxic effect of organic solvents, accidental, subs
T52.8X1S@Toxic effect of organic solvents, accidental, sequela
T52.8X2A@Toxic effect of organic solvents, self-harm, init
T52.8X2D@Toxic effect of organic solvents, self-harm, subs
T52.8X2S@Toxic effect of organic solvents, self-harm, sequela
T52.8X3A@Toxic effect of other organic solvents, assault, init encntr
T52.8X3D@Toxic effect of other organic solvents, assault, subs encntr
T52.8X3S@Toxic effect of other organic solvents, assault, sequela
T52.8X4A@Toxic effect of oth organic solvents, undetermined, init
T52.8X4D@Toxic effect of oth organic solvents, undetermined, subs
T52.8X4S@Toxic effect of oth organic solvents, undetermined, sequela
T52.91XA@Toxic effect of unsp organic solvent, accidental, init
T52.91XD@Toxic effect of unsp organic solvent, accidental, subs
T52.91XS@Toxic effect of unsp organic solvent, accidental, sequela
T52.92XA@Toxic effect of unsp organic solvent, self-harm, init
T52.92XD@Toxic effect of unsp organic solvent, self-harm, subs
T52.92XS@Toxic effect of unsp organic solvent, self-harm, sequela
T52.93XA@Toxic effect of unsp organic solvent, assault, init encntr
T52.93XD@Toxic effect of unsp organic solvent, assault, subs encntr
T52.93XS@Toxic effect of unsp organic solvent, assault, sequela
T52.94XA@Toxic effect of unsp organic solvent, undetermined, init
T52.94XD@Toxic effect of unsp organic solvent, undetermined, subs
T52.94XS@Toxic effect of unsp organic solvent, undetermined, sequela
T53.0X1A@Toxic effect of carbon tetrachloride, accidental, init
T53.0X1D@Toxic effect of carbon tetrachloride, accidental, subs
T53.0X1S@Toxic effect of carbon tetrachloride, accidental, sequela
T53.0X2A@Toxic effect of carbon tetrachloride, self-harm, init
T53.0X2D@Toxic effect of carbon tetrachloride, self-harm, subs
T53.0X2S@Toxic effect of carbon tetrachloride, self-harm, sequela
T53.0X3A@Toxic effect of carbon tetrachloride, assault, init encntr
T53.0X3D@Toxic effect of carbon tetrachloride, assault, subs encntr
T53.0X3S@Toxic effect of carbon tetrachloride, assault, sequela
T53.0X4A@Toxic effect of carbon tetrachloride, undetermined, init
T53.0X4D@Toxic effect of carbon tetrachloride, undetermined, subs
T53.0X4S@Toxic effect of carbon tetrachloride, undetermined, sequela
T53.1X1A@Toxic effect of chloroform, accidental (unintentional), init
T53.1X1D@Toxic effect of chloroform, accidental (unintentional), subs
T53.1X1S@Toxic effect of chloroform, accidental, sequela
T53.1X2A@Toxic effect of chloroform, intentional self-harm, init
T53.1X2D@Toxic effect of chloroform, intentional self-harm, subs
T53.1X2S@Toxic effect of chloroform, intentional self-harm, sequela
T53.1X3A@Toxic effect of chloroform, assault, initial encounter
T53.1X3D@Toxic effect of chloroform, assault, subsequent encounter
T53.1X3S@Toxic effect of chloroform, assault, sequela
T53.1X4A@Toxic effect of chloroform, undetermined, initial encounter
T53.1X4D@Toxic effect of chloroform, undetermined, subs encntr
T53.1X4S@Toxic effect of chloroform, undetermined, sequela
T53.2X1A@Toxic effect of trichloroethylene, accidental, init
T53.2X1D@Toxic effect of trichloroethylene, accidental, subs
T53.2X1S@Toxic effect of trichloroethylene, accidental, sequela
T53.2X2A@Toxic effect of trichloroethylene, self-harm, init
T53.2X2D@Toxic effect of trichloroethylene, self-harm, subs
T53.2X2S@Toxic effect of trichloroethylene, self-harm, sequela
T53.2X3A@Toxic effect of trichloroethylene, assault, init encntr
T53.2X3D@Toxic effect of trichloroethylene, assault, subs encntr
T53.2X3S@Toxic effect of trichloroethylene, assault, sequela
T53.2X4A@Toxic effect of trichloroethylene, undetermined, init encntr
T53.2X4D@Toxic effect of trichloroethylene, undetermined, subs encntr
T53.2X4S@Toxic effect of trichloroethylene, undetermined, sequela
T53.3X1A@Toxic effect of tetrachloroethylene, accidental, init
T53.3X1D@Toxic effect of tetrachloroethylene, accidental, subs
T53.3X1S@Toxic effect of tetrachloroethylene, accidental, sequela
T53.3X2A@Toxic effect of tetrachloroethylene, self-harm, init
T53.3X2D@Toxic effect of tetrachloroethylene, self-harm, subs
T53.3X2S@Toxic effect of tetrachloroethylene, self-harm, sequela
T53.3X3A@Toxic effect of tetrachloroethylene, assault, init encntr
T53.3X3D@Toxic effect of tetrachloroethylene, assault, subs encntr
T53.3X3S@Toxic effect of tetrachloroethylene, assault, sequela
T53.3X4A@Toxic effect of tetrachloroethylene, undetermined, init
T53.3X4D@Toxic effect of tetrachloroethylene, undetermined, subs
T53.3X4S@Toxic effect of tetrachloroethylene, undetermined, sequela
T53.4X1A@Toxic effect of dichloromethane, accidental, init
T53.4X1D@Toxic effect of dichloromethane, accidental, subs
T53.4X1S@Toxic effect of dichloromethane, accidental, sequela
T53.4X2A@Toxic effect of dichloromethane, intentional self-harm, init
T53.4X2D@Toxic effect of dichloromethane, intentional self-harm, subs
T53.4X2S@Toxic effect of dichloromethane, self-harm, sequela
T53.4X3A@Toxic effect of dichloromethane, assault, initial encounter
T53.4X3D@Toxic effect of dichloromethane, assault, subs encntr
T53.4X3S@Toxic effect of dichloromethane, assault, sequela
T53.4X4A@Toxic effect of dichloromethane, undetermined, init encntr
T53.4X4D@Toxic effect of dichloromethane, undetermined, subs encntr
T53.4X4S@Toxic effect of dichloromethane, undetermined, sequela
T53.5X1A@Toxic effect of chlorofluorocarbons, accidental, init
T53.5X1D@Toxic effect of chlorofluorocarbons, accidental, subs
T53.5X1S@Toxic effect of chlorofluorocarbons, accidental, sequela
T53.5X2A@Toxic effect of chlorofluorocarbons, self-harm, init
T53.5X2D@Toxic effect of chlorofluorocarbons, self-harm, subs
T53.5X2S@Toxic effect of chlorofluorocarbons, self-harm, sequela
T53.5X3A@Toxic effect of chlorofluorocarbons, assault, init encntr
T53.5X3D@Toxic effect of chlorofluorocarbons, assault, subs encntr
T53.5X3S@Toxic effect of chlorofluorocarbons, assault, sequela
T53.5X4A@Toxic effect of chlorofluorocarbons, undetermined, init
T53.5X4D@Toxic effect of chlorofluorocarbons, undetermined, subs
T53.5X4S@Toxic effect of chlorofluorocarbons, undetermined, sequela
T53.6X1A@Toxic eff of halgn deriv of aliphatic hydrocrb, acc, init
T53.6X1D@Toxic eff of halgn deriv of aliphatic hydrocrb, acc, subs
T53.6X1S@Toxic eff of halgn deriv of aliphatic hydrocrb, acc, sqla
T53.6X2A@Tox eff of halgn deriv of aliphatic hydrocrb, slf-hrm, init
T53.6X2D@Tox eff of halgn deriv of aliphatic hydrocrb, slf-hrm, subs
T53.6X2S@Tox eff of halgn deriv of aliphatic hydrocrb, slf-hrm, sqla
T53.6X3A@Toxic eff of halgn deriv of aliphatic hydrocrb, asslt, init
T53.6X3D@Toxic eff of halgn deriv of aliphatic hydrocrb, asslt, subs
T53.6X3S@Toxic eff of halgn deriv of aliphatic hydrocrb, asslt, sqla
T53.6X4A@Toxic eff of halgn deriv of aliphatic hydrocrb, undet, init
T53.6X4D@Toxic eff of halgn deriv of aliphatic hydrocrb, undet, subs
T53.6X4S@Toxic eff of halgn deriv of aliphatic hydrocrb, undet, sqla
T53.7X1A@Toxic effect of halgn deriv of aromatic hydrocrb, acc, init
T53.7X1D@Toxic effect of halgn deriv of aromatic hydrocrb, acc, subs
T53.7X1S@Toxic effect of halgn deriv of aromatic hydrocrb, acc, sqla
T53.7X2A@Toxic eff of halgn deriv of aromatic hydrocrb, slf-hrm, init
T53.7X2D@Toxic eff of halgn deriv of aromatic hydrocrb, slf-hrm, subs
T53.7X2S@Toxic eff of halgn deriv of aromatic hydrocrb, slf-hrm, sqla
T53.7X3A@Toxic eff of halgn deriv of aromatic hydrocrb, asslt, init
T53.7X3D@Toxic eff of halgn deriv of aromatic hydrocrb, asslt, subs
T53.7X3S@Toxic eff of halgn deriv of aromatic hydrocrb, asslt, sqla
T53.7X4A@Toxic eff of halgn deriv of aromatic hydrocrb, undet, init
T53.7X4D@Toxic eff of halgn deriv of aromatic hydrocrb, undet, subs
T53.7X4S@Toxic eff of halgn deriv of aromatic hydrocrb, undet, sqla
T53.91XA@Toxic eff of unsp halgn deriv of aromat hydrocrb, acc, init
T53.91XD@Toxic eff of unsp halgn deriv of aromat hydrocrb, acc, subs
T53.91XS@Toxic eff of unsp halgn deriv of aromat hydrocrb, acc, sqla
T53.92XA@Tox eff of unsp halgn deriv of aromat hydrocrb,slf-hrm, init
T53.92XD@Tox eff of unsp halgn deriv of aromat hydrocrb,slf-hrm, subs
T53.92XS@Tox eff of unsp halgn deriv of aromat hydrocrb,slf-hrm, sqla
T53.93XA@Tox eff of unsp halgn deriv of aromat hydrocrb, asslt, init
T53.93XD@Tox eff of unsp halgn deriv of aromat hydrocrb, asslt, subs
T53.93XS@Tox eff of unsp halgn deriv of aromat hydrocrb, asslt, sqla
T53.94XA@Tox eff of unsp halgn deriv of aromat hydrocrb, undet, init
T53.94XD@Tox eff of unsp halgn deriv of aromat hydrocrb, undet, subs
T53.94XS@Tox eff of unsp halgn deriv of aromat hydrocrb, undet, sqla
T54.0X1A@Toxic effect of phenol and phenol homologues, acc, init
T54.0X1D@Toxic effect of phenol and phenol homologues, acc, subs
T54.0X1S@Toxic effect of phenol and phenol homologues, acc, sequela
T54.0X2A@Toxic effect of phenol and phenol homolog, self-harm, init
T54.0X2D@Toxic effect of phenol and phenol homolog, self-harm, subs
T54.0X2S@Toxic effect of phenol and phenol homolog, slf-hrm, sequela
T54.0X3A@Toxic effect of phenol and phenol homologues, assault, init
T54.0X3D@Toxic effect of phenol and phenol homologues, assault, subs
T54.0X3S@Toxic effect of phenol and phenol homolog, assault, sequela
T54.0X4A@Toxic effect of phenol and phenol homologues, undet, init
T54.0X4D@Toxic effect of phenol and phenol homologues, undet, subs
T54.0X4S@Toxic effect of phenol and phenol homologues, undet, sequela
T54.1X1A@Toxic effect of corrosive organic compounds, acc, init
T54.1X1D@Toxic effect of corrosive organic compounds, acc, subs
T54.1X1S@Toxic effect of corrosive organic compounds, acc, sequela
T54.1X2A@Toxic effect of corrosive organic compounds, self-harm, init
T54.1X2D@Toxic effect of corrosive organic compounds, self-harm, subs
T54.1X2S@Toxic effect of corrosive organic compnd, self-harm, sequela
T54.1X3A@Toxic effect of corrosive organic compounds, assault, init
T54.1X3D@Toxic effect of corrosive organic compounds, assault, subs
T54.1X3S@Toxic effect of corrosive organic compnd, assault, sequela
T54.1X4A@Toxic effect of corrosive organic compounds, undet, init
T54.1X4D@Toxic effect of corrosive organic compounds, undet, subs
T54.1X4S@Toxic effect of corrosive organic compounds, undet, sequela
T54.2X1A@Toxic eff of corrosv acids and acid-like substnc, acc, init
T54.2X1D@Toxic eff of corrosv acids and acid-like substnc, acc, subs
T54.2X1S@Toxic eff of corrosv acids and acid-like substnc, acc, sqla
T54.2X2A@Tox eff of corrosv acids & acid-like substnc, slf-hrm, init
T54.2X2D@Tox eff of corrosv acids & acid-like substnc, slf-hrm, subs
T54.2X2S@Tox eff of corrosv acids & acid-like substnc, slf-hrm, sqla
T54.2X3A@Tox eff of corrosv acids and acid-like substnc, asslt, init
T54.2X3D@Tox eff of corrosv acids and acid-like substnc, asslt, subs
T54.2X3S@Tox eff of corrosv acids and acid-like substnc, asslt, sqla
T54.2X4A@Tox eff of corrosv acids and acid-like substnc, undet, init
T54.2X4D@Tox eff of corrosv acids and acid-like substnc, undet, subs
T54.2X4S@Tox eff of corrosv acids and acid-like substnc, undet, sqla
T54.3X1A@Tox eff of corrosv alkalis and alk-like substnc, acc, init
T54.3X1D@Tox eff of corrosv alkalis and alk-like substnc, acc, subs
T54.3X1S@Tox eff of corrosv alkalis and alk-like substnc, acc, sqla
T54.3X2A@Tox eff of corrosv alkalis & alk-like substnc, slf-hrm, init
T54.3X2D@Tox eff of corrosv alkalis & alk-like substnc, slf-hrm, subs
T54.3X2S@Tox eff of corrosv alkalis & alk-like substnc, slf-hrm, sqla
T54.3X3A@Tox eff of corrosv alkalis and alk-like substnc, asslt, init
T54.3X3D@Tox eff of corrosv alkalis and alk-like substnc, asslt, subs
T54.3X3S@Tox eff of corrosv alkalis and alk-like substnc, asslt, sqla
T54.3X4A@Tox eff of corrosv alkalis and alk-like substnc, undet, init
T54.3X4D@Tox eff of corrosv alkalis and alk-like substnc, undet, subs
T54.3X4S@Tox eff of corrosv alkalis and alk-like substnc, undet, sqla
T54.91XA@Toxic effect of unsp corrosive substance, accidental, init
T54.91XD@Toxic effect of unsp corrosive substance, accidental, subs
T54.91XS@Toxic effect of unsp corrosive substance, acc, sequela
T54.92XA@Toxic effect of unsp corrosive substance, self-harm, init
T54.92XD@Toxic effect of unsp corrosive substance, self-harm, subs
T54.92XS@Toxic effect of unsp corrosive substance, self-harm, sequela
T54.93XA@Toxic effect of unsp corrosive substance, assault, init
T54.93XD@Toxic effect of unsp corrosive substance, assault, subs
T54.93XS@Toxic effect of unsp corrosive substance, assault, sequela
T54.94XA@Toxic effect of unsp corrosive substance, undetermined, init
T54.94XD@Toxic effect of unsp corrosive substance, undetermined, subs
T54.94XS@Toxic effect of unsp corrosive substance, undet, sequela
T55.0X1A@Toxic effect of soaps, accidental (unintentional), init
T55.0X1D@Toxic effect of soaps, accidental (unintentional), subs
T55.0X1S@Toxic effect of soaps, accidental (unintentional), sequela
T55.0X2A@Toxic effect of soaps, intentional self-harm, init encntr
T55.0X2D@Toxic effect of soaps, intentional self-harm, subs encntr
T55.0X2S@Toxic effect of soaps, intentional self-harm, sequela
T55.0X3A@Toxic effect of soaps, assault, initial encounter
T55.0X3D@Toxic effect of soaps, assault, subsequent encounter
T55.0X3S@Toxic effect of soaps, assault, sequela
T55.0X4A@Toxic effect of soaps, undetermined, initial encounter
T55.0X4D@Toxic effect of soaps, undetermined, subsequent encounter
T55.0X4S@Toxic effect of soaps, undetermined, sequela
T55.1X1A@Toxic effect of detergents, accidental (unintentional), init
T55.1X1D@Toxic effect of detergents, accidental (unintentional), subs
T55.1X1S@Toxic effect of detergents, accidental, sequela
T55.1X2A@Toxic effect of detergents, intentional self-harm, init
T55.1X2D@Toxic effect of detergents, intentional self-harm, subs
T55.1X2S@Toxic effect of detergents, intentional self-harm, sequela
T55.1X3A@Toxic effect of detergents, assault, initial encounter
T55.1X3D@Toxic effect of detergents, assault, subsequent encounter
T55.1X3S@Toxic effect of detergents, assault, sequela
T55.1X4A@Toxic effect of detergents, undetermined, initial encounter
T55.1X4D@Toxic effect of detergents, undetermined, subs encntr
T55.1X4S@Toxic effect of detergents, undetermined, sequela
T56.0X1A@Toxic effect of lead and its compounds, accidental, init
T56.0X1D@Toxic effect of lead and its compounds, accidental, subs
T56.0X1S@Toxic effect of lead and its compounds, accidental, sequela
T56.0X2A@Toxic effect of lead and its compounds, self-harm, init
T56.0X2D@Toxic effect of lead and its compounds, self-harm, subs
T56.0X2S@Toxic effect of lead and its compounds, self-harm, sequela
T56.0X3A@Toxic effect of lead and its compounds, assault, init encntr
T56.0X3D@Toxic effect of lead and its compounds, assault, subs encntr
T56.0X3S@Toxic effect of lead and its compounds, assault, sequela
T56.0X4A@Toxic effect of lead and its compounds, undetermined, init
T56.0X4D@Toxic effect of lead and its compounds, undetermined, subs
T56.0X4S@Toxic effect of lead and its compounds, undet, sequela
T56.1X1A@Toxic effect of mercury and its compounds, accidental, init
T56.1X1D@Toxic effect of mercury and its compounds, accidental, subs
T56.1X1S@Toxic effect of mercury and its compounds, acc, sequela
T56.1X2A@Toxic effect of mercury and its compounds, self-harm, init
T56.1X2D@Toxic effect of mercury and its compounds, self-harm, subs
T56.1X2S@Toxic effect of mercury and its compnd, self-harm, sequela
T56.1X3A@Toxic effect of mercury and its compounds, assault, init
T56.1X3D@Toxic effect of mercury and its compounds, assault, subs
T56.1X3S@Toxic effect of mercury and its compounds, assault, sequela
T56.1X4A@Toxic effect of mercury and its compounds, undet, init
T56.1X4D@Toxic effect of mercury and its compounds, undet, subs
T56.1X4S@Toxic effect of mercury and its compounds, undet, sequela
T56.2X1A@Toxic effect of chromium and its compounds, acc, init
T56.2X1D@Toxic effect of chromium and its compounds, acc, subs
T56.2X1S@Toxic effect of chromium and its compounds, acc, sequela
T56.2X2A@Toxic effect of chromium and its compounds, self-harm, init
T56.2X2D@Toxic effect of chromium and its compounds, self-harm, subs
T56.2X2S@Toxic effect of chromium and its compnd, self-harm, sequela
T56.2X3A@Toxic effect of chromium and its compounds, assault, init
T56.2X3D@Toxic effect of chromium and its compounds, assault, subs
T56.2X3S@Toxic effect of chromium and its compounds, assault, sequela
T56.2X4A@Toxic effect of chromium and its compounds, undet, init
T56.2X4D@Toxic effect of chromium and its compounds, undet, subs
T56.2X4S@Toxic effect of chromium and its compounds, undet, sequela
T56.3X1A@Toxic effect of cadmium and its compounds, accidental, init
T56.3X1D@Toxic effect of cadmium and its compounds, accidental, subs
T56.3X1S@Toxic effect of cadmium and its compounds, acc, sequela
T56.3X2A@Toxic effect of cadmium and its compounds, self-harm, init
T56.3X2D@Toxic effect of cadmium and its compounds, self-harm, subs
T56.3X2S@Toxic effect of cadmium and its compnd, self-harm, sequela
T56.3X3A@Toxic effect of cadmium and its compounds, assault, init
T56.3X3D@Toxic effect of cadmium and its compounds, assault, subs
T56.3X3S@Toxic effect of cadmium and its compounds, assault, sequela
T56.3X4A@Toxic effect of cadmium and its compounds, undet, init
T56.3X4D@Toxic effect of cadmium and its compounds, undet, subs
T56.3X4S@Toxic effect of cadmium and its compounds, undet, sequela
T56.4X1A@Toxic effect of copper and its compounds, accidental, init
T56.4X1D@Toxic effect of copper and its compounds, accidental, subs
T56.4X1S@Toxic effect of copper and its compounds, acc, sequela
T56.4X2A@Toxic effect of copper and its compounds, self-harm, init
T56.4X2D@Toxic effect of copper and its compounds, self-harm, subs
T56.4X2S@Toxic effect of copper and its compounds, self-harm, sequela
T56.4X3A@Toxic effect of copper and its compounds, assault, init
T56.4X3D@Toxic effect of copper and its compounds, assault, subs
T56.4X3S@Toxic effect of copper and its compounds, assault, sequela
T56.4X4A@Toxic effect of copper and its compounds, undetermined, init
T56.4X4D@Toxic effect of copper and its compounds, undetermined, subs
T56.4X4S@Toxic effect of copper and its compounds, undet, sequela
T56.5X1A@Toxic effect of zinc and its compounds, accidental, init
T56.5X1D@Toxic effect of zinc and its compounds, accidental, subs
T56.5X1S@Toxic effect of zinc and its compounds, accidental, sequela
T56.5X2A@Toxic effect of zinc and its compounds, self-harm, init
T56.5X2D@Toxic effect of zinc and its compounds, self-harm, subs
T56.5X2S@Toxic effect of zinc and its compounds, self-harm, sequela
T56.5X3A@Toxic effect of zinc and its compounds, assault, init encntr
T56.5X3D@Toxic effect of zinc and its compounds, assault, subs encntr
T56.5X3S@Toxic effect of zinc and its compounds, assault, sequela
T56.5X4A@Toxic effect of zinc and its compounds, undetermined, init
T56.5X4D@Toxic effect of zinc and its compounds, undetermined, subs
T56.5X4S@Toxic effect of zinc and its compounds, undet, sequela
T56.6X1A@Toxic effect of tin and its compounds, accidental, init
T56.6X1D@Toxic effect of tin and its compounds, accidental, subs
T56.6X1S@Toxic effect of tin and its compounds, accidental, sequela
T56.6X2A@Toxic effect of tin and its compounds, self-harm, init
T56.6X2D@Toxic effect of tin and its compounds, self-harm, subs
T56.6X2S@Toxic effect of tin and its compounds, self-harm, sequela
T56.6X3A@Toxic effect of tin and its compounds, assault, init encntr
T56.6X3D@Toxic effect of tin and its compounds, assault, subs encntr
T56.6X3S@Toxic effect of tin and its compounds, assault, sequela
T56.6X4A@Toxic effect of tin and its compounds, undetermined, init
T56.6X4D@Toxic effect of tin and its compounds, undetermined, subs
T56.6X4S@Toxic effect of tin and its compounds, undetermined, sequela
T56.7X1A@Toxic effect of beryllium and its compounds, acc, init
T56.7X1D@Toxic effect of beryllium and its compounds, acc, subs
