T33.011A@Superficial frostbite of right ear, initial encounter
T34.511S@Frostbite with tissue necrosis of right wrist, sequela
T34.512A@Frostbite with tissue necrosis of left wrist, init encntr
T34.512D@Frostbite with tissue necrosis of left wrist, subs encntr
T34.512S@Frostbite with tissue necrosis of left wrist, sequela
T34.519A@Frostbite with tissue necrosis of unsp wrist, init encntr
T34.519D@Frostbite with tissue necrosis of unsp wrist, subs encntr
T34.519S@Frostbite with tissue necrosis of unspecified wrist, sequela
T34.521A@Frostbite with tissue necrosis of right hand, init encntr
T34.521D@Frostbite with tissue necrosis of right hand, subs encntr
T34.521S@Frostbite with tissue necrosis of right hand, sequela
T34.522A@Frostbite with tissue necrosis of left hand, init encntr
T34.522D@Frostbite with tissue necrosis of left hand, subs encntr
T34.522S@Frostbite with tissue necrosis of left hand, sequela
T34.529A@Frostbite with tissue necrosis of unsp hand, init encntr
T34.529D@Frostbite with tissue necrosis of unsp hand, subs encntr
T34.529S@Frostbite with tissue necrosis of unspecified hand, sequela
T34.531A@Frostbite w tissue necrosis of right finger(s), init encntr
T34.531D@Frostbite w tissue necrosis of right finger(s), subs encntr
T34.531S@Frostbite with tissue necrosis of right finger(s), sequela
T34.532A@Frostbite w tissue necrosis of left finger(s), init encntr
T34.532D@Frostbite w tissue necrosis of left finger(s), subs encntr
T34.532S@Frostbite with tissue necrosis of left finger(s), sequela
T34.539A@Frostbite w tissue necrosis of unsp finger(s), init encntr
T34.539D@Frostbite w tissue necrosis of unsp finger(s), subs encntr
T34.539S@Frostbite with tissue necrosis of unsp finger(s), sequela
T34.60XA@Frostbite w tissue necrosis of unsp hip and thigh, init
T34.60XD@Frostbite w tissue necrosis of unsp hip and thigh, subs
T34.60XS@Frostbite w tissue necrosis of unsp hip and thigh, sequela
T34.61XA@Frostbite w tissue necrosis of right hip and thigh, init
T34.61XD@Frostbite w tissue necrosis of right hip and thigh, subs
T34.61XS@Frostbite w tissue necrosis of right hip and thigh, sequela
T34.62XA@Frostbite w tissue necrosis of left hip and thigh, init
T34.62XD@Frostbite w tissue necrosis of left hip and thigh, subs
T34.62XS@Frostbite w tissue necrosis of left hip and thigh, sequela
T34.70XA@Frostbite w tissue necrosis of unsp knee and lower leg, init
T34.70XD@Frostbite w tissue necrosis of unsp knee and lower leg, subs
T34.70XS@Frostbite w tissue necros unsp knee and lower leg, sequela
T34.71XA@Frostbite w tissue necros right knee and lower leg, init
T34.71XD@Frostbite w tissue necros right knee and lower leg, subs
T34.71XS@Frostbite w tissue necros right knee and lower leg, sequela
T34.72XA@Frostbite w tissue necrosis of left knee and lower leg, init
T34.72XD@Frostbite w tissue necrosis of left knee and lower leg, subs
T34.72XS@Frostbite w tissue necros left knee and lower leg, sequela
T34.811A@Frostbite with tissue necrosis of right ankle, init encntr
T34.811D@Frostbite with tissue necrosis of right ankle, subs encntr
T34.811S@Frostbite with tissue necrosis of right ankle, sequela
T34.812A@Frostbite with tissue necrosis of left ankle, init encntr
T34.812D@Frostbite with tissue necrosis of left ankle, subs encntr
T34.812S@Frostbite with tissue necrosis of left ankle, sequela
T34.819A@Frostbite with tissue necrosis of unsp ankle, init encntr
T34.819D@Frostbite with tissue necrosis of unsp ankle, subs encntr
T34.819S@Frostbite with tissue necrosis of unspecified ankle, sequela
T34.821A@Frostbite with tissue necrosis of right foot, init encntr
T34.821D@Frostbite with tissue necrosis of right foot, subs encntr
T34.821S@Frostbite with tissue necrosis of right foot, sequela
T34.822A@Frostbite with tissue necrosis of left foot, init encntr
T34.822D@Frostbite with tissue necrosis of left foot, subs encntr
T34.822S@Frostbite with tissue necrosis of left foot, sequela
T34.829A@Frostbite with tissue necrosis of unsp foot, init encntr
T34.829D@Frostbite with tissue necrosis of unsp foot, subs encntr
T34.829S@Frostbite with tissue necrosis of unspecified foot, sequela
T34.831A@Frostbite with tissue necrosis of right toe(s), init encntr
T34.831D@Frostbite with tissue necrosis of right toe(s), subs encntr
T34.831S@Frostbite with tissue necrosis of right toe(s), sequela
T34.832A@Frostbite with tissue necrosis of left toe(s), init encntr
T34.832D@Frostbite with tissue necrosis of left toe(s), subs encntr
T34.832S@Frostbite with tissue necrosis of left toe(s), sequela
T34.839A@Frostbite with tissue necrosis of unsp toe(s), init encntr
T34.839D@Frostbite with tissue necrosis of unsp toe(s), subs encntr
T34.839S@Frostbite with tissue necrosis of unsp toe(s), sequela
T34.90XA@Frostbite with tissue necrosis of unsp sites, init encntr
T34.90XD@Frostbite with tissue necrosis of unsp sites, subs encntr
T34.90XS@Frostbite with tissue necrosis of unspecified sites, sequela
T34.99XA@Frostbite with tissue necrosis of other sites, init encntr
T34.99XD@Frostbite with tissue necrosis of other sites, subs encntr
T34.99XS@Frostbite with tissue necrosis of other sites, sequela
