S00.00XA@Unspecified superficial injury of scalp, initial encounter
S00.33XD@Contusion of nose, subsequent encounter
S00.33XS@Contusion of nose, sequela
S00.34XA@External constriction of nose, initial encounter
S00.34XD@External constriction of nose, subsequent encounter
S00.34XS@External constriction of nose, sequela
S00.35XA@Superficial foreign body of nose, initial encounter
S00.35XD@Superficial foreign body of nose, subsequent encounter
S00.35XS@Superficial foreign body of nose, sequela
S00.36XA@Insect bite (nonvenomous) of nose, initial encounter
S00.36XD@Insect bite (nonvenomous) of nose, subsequent encounter
S00.36XS@Insect bite (nonvenomous) of nose, sequela
S00.37XA@Other superficial bite of nose, initial encounter
S00.37XD@Other superficial bite of nose, subsequent encounter
S00.37XS@Other superficial bite of nose, sequela
S00.401A@Unspecified superficial injury of right ear, init encntr
S00.401D@Unspecified superficial injury of right ear, subs encntr
S00.401S@Unspecified superficial injury of right ear, sequela
S00.402A@Unspecified superficial injury of left ear, init encntr
S00.402D@Unspecified superficial injury of left ear, subs encntr
S00.402S@Unspecified superficial injury of left ear, sequela
S00.409A@Unsp superficial injury of unspecified ear, init encntr
S00.409D@Unsp superficial injury of unspecified ear, subs encntr
S00.409S@Unspecified superficial injury of unspecified ear, sequela
S00.411A@Abrasion of right ear, initial encounter
S00.411D@Abrasion of right ear, subsequent encounter
S00.411S@Abrasion of right ear, sequela
S00.412A@Abrasion of left ear, initial encounter
S00.412D@Abrasion of left ear, subsequent encounter
S00.412S@Abrasion of left ear, sequela
S00.419A@Abrasion of unspecified ear, initial encounter
S00.419D@Abrasion of unspecified ear, subsequent encounter
S00.419S@Abrasion of unspecified ear, sequela
S00.421A@Blister (nonthermal) of right ear, initial encounter
S00.421D@Blister (nonthermal) of right ear, subsequent encounter
S00.421S@Blister (nonthermal) of right ear, sequela
S00.422A@Blister (nonthermal) of left ear, initial encounter
S00.422D@Blister (nonthermal) of left ear, subsequent encounter
S00.422S@Blister (nonthermal) of left ear, sequela
S00.429A@Blister (nonthermal) of unspecified ear, initial encounter
S00.429D@Blister (nonthermal) of unspecified ear, subs encntr
S00.429S@Blister (nonthermal) of unspecified ear, sequela
S00.431A@Contusion of right ear, initial encounter
S00.431D@Contusion of right ear, subsequent encounter
S00.431S@Contusion of right ear, sequela
S00.432A@Contusion of left ear, initial encounter
S00.432D@Contusion of left ear, subsequent encounter
S00.432S@Contusion of left ear, sequela
S00.439A@Contusion of unspecified ear, initial encounter
S00.439D@Contusion of unspecified ear, subsequent encounter
S00.439S@Contusion of unspecified ear, sequela
S00.441A@External constriction of right ear, initial encounter
S00.441D@External constriction of right ear, subsequent encounter
S00.441S@External constriction of right ear, sequela
S00.442A@External constriction of left ear, initial encounter
S00.442D@External constriction of left ear, subsequent encounter
S00.442S@External constriction of left ear, sequela
S00.449A@External constriction of unspecified ear, initial encounter
S00.449D@External constriction of unspecified ear, subs encntr
S00.449S@External constriction of unspecified ear, sequela
S00.451A@Superficial foreign body of right ear, initial encounter
S00.451D@Superficial foreign body of right ear, subsequent encounter
S00.451S@Superficial foreign body of right ear, sequela
S00.452A@Superficial foreign body of left ear, initial encounter
S00.452D@Superficial foreign body of left ear, subsequent encounter
S00.452S@Superficial foreign body of left ear, sequela
S00.459A@Superficial foreign body of unspecified ear, init encntr
S00.459D@Superficial foreign body of unspecified ear, subs encntr
S00.459S@Superficial foreign body of unspecified ear, sequela
S00.461A@Insect bite (nonvenomous) of right ear, initial encounter
S00.461D@Insect bite (nonvenomous) of right ear, subsequent encounter
S00.461S@Insect bite (nonvenomous) of right ear, sequela
S00.462A@Insect bite (nonvenomous) of left ear, initial encounter
S00.462D@Insect bite (nonvenomous) of left ear, subsequent encounter
S00.462S@Insect bite (nonvenomous) of left ear, sequela
S00.469A@Insect bite (nonvenomous) of unspecified ear, init encntr
S00.469D@Insect bite (nonvenomous) of unspecified ear, subs encntr
S00.469S@Insect bite (nonvenomous) of unspecified ear, sequela
S00.471A@Other superficial bite of right ear, initial encounter
S00.471D@Other superficial bite of right ear, subsequent encounter
S00.471S@Other superficial bite of right ear, sequela
S00.472A@Other superficial bite of left ear, initial encounter
S00.472D@Other superficial bite of left ear, subsequent encounter
S00.472S@Other superficial bite of left ear, sequela
S00.479A@Other superficial bite of unspecified ear, initial encounter
S00.479D@Other superficial bite of unspecified ear, subs encntr
S00.479S@Other superficial bite of unspecified ear, sequela
S00.501A@Unspecified superficial injury of lip, initial encounter
S00.501D@Unspecified superficial injury of lip, subsequent encounter
S00.501S@Unspecified superficial injury of lip, sequela
S00.502A@Unspecified superficial injury of oral cavity, init encntr
S00.502D@Unspecified superficial injury of oral cavity, subs encntr
S00.502S@Unspecified superficial injury of oral cavity, sequela
S00.511A@Abrasion of lip, initial encounter
S00.511D@Abrasion of lip, subsequent encounter
S00.511S@Abrasion of lip, sequela
S00.512A@Abrasion of oral cavity, initial encounter
S00.512D@Abrasion of oral cavity, subsequent encounter
S00.512S@Abrasion of oral cavity, sequela
S00.521A@Blister (nonthermal) of lip, initial encounter
S00.521D@Blister (nonthermal) of lip, subsequent encounter
S00.521S@Blister (nonthermal) of lip, sequela
S00.522A@Blister (nonthermal) of oral cavity, initial encounter
S00.522D@Blister (nonthermal) of oral cavity, subsequent encounter
S00.522S@Blister (nonthermal) of oral cavity, sequela
S00.531A@Contusion of lip, initial encounter
S00.531D@Contusion of lip, subsequent encounter
S00.531S@Contusion of lip, sequela
S00.532A@Contusion of oral cavity, initial encounter
S00.532D@Contusion of oral cavity, subsequent encounter
S00.532S@Contusion of oral cavity, sequela
S00.541A@External constriction of lip, initial encounter
S00.541D@External constriction of lip, subsequent encounter
S00.541S@External constriction of lip, sequela
S00.542A@External constriction of oral cavity, initial encounter
S00.542D@External constriction of oral cavity, subsequent encounter
S00.542S@External constriction of oral cavity, sequela
S00.551A@Superficial foreign body of lip, initial encounter
S00.551D@Superficial foreign body of lip, subsequent encounter
S00.551S@Superficial foreign body of lip, sequela
S00.552A@Superficial foreign body of oral cavity, initial encounter
S00.552D@Superficial foreign body of oral cavity, subs encntr
S00.552S@Superficial foreign body of oral cavity, sequela
S00.561A@Insect bite (nonvenomous) of lip, initial encounter
S00.561D@Insect bite (nonvenomous) of lip, subsequent encounter
S00.561S@Insect bite (nonvenomous) of lip, sequela
S00.562A@Insect bite (nonvenomous) of oral cavity, initial encounter
S00.562D@Insect bite (nonvenomous) of oral cavity, subs encntr
S00.562S@Insect bite (nonvenomous) of oral cavity, sequela
S00.571A@Other superficial bite of lip, initial encounter
S00.571D@Other superficial bite of lip, subsequent encounter
S00.571S@Other superficial bite of lip, sequela
S00.572A@Other superficial bite of oral cavity, initial encounter
S00.572D@Other superficial bite of oral cavity, subsequent encounter
S00.572S@Other superficial bite of oral cavity, sequela
S00.80XA@Unsp superficial injury of other part of head, init encntr
S00.80XD@Unsp superficial injury of other part of head, subs encntr
S00.80XS@Unsp superficial injury of other part of head, sequela
S00.81XA@Abrasion of other part of head, initial encounter
S00.81XD@Abrasion of other part of head, subsequent encounter
S00.81XS@Abrasion of other part of head, sequela
S00.82XA@Blister (nonthermal) of other part of head, init encntr
S00.82XD@Blister (nonthermal) of other part of head, subs encntr
S00.82XS@Blister (nonthermal) of other part of head, sequela
S00.83XA@Contusion of other part of head, initial encounter
S00.83XD@Contusion of other part of head, subsequent encounter
S00.83XS@Contusion of other part of head, sequela
S00.84XA@External constriction of other part of head, init encntr
S00.84XD@External constriction of other part of head, subs encntr
S00.84XS@External constriction of other part of head, sequela
S00.85XA@Superficial foreign body of other part of head, init encntr
S00.85XD@Superficial foreign body of other part of head, subs encntr
S00.85XS@Superficial foreign body of other part of head, sequela
S00.86XA@Insect bite (nonvenomous) of other part of head, init encntr
S00.86XD@Insect bite (nonvenomous) of other part of head, subs encntr
S00.86XS@Insect bite (nonvenomous) of other part of head, sequela
S00.87XA@Other superficial bite of other part of head, init encntr
S00.87XD@Other superficial bite of other part of head, subs encntr
S00.87XS@Other superficial bite of other part of head, sequela
S00.90XA@Unsp superficial injury of unsp part of head, init encntr
S00.90XD@Unsp superficial injury of unsp part of head, subs encntr
S00.90XS@Unsp superficial injury of unspecified part of head, sequela
S00.91XA@Abrasion of unspecified part of head, initial encounter
S00.91XD@Abrasion of unspecified part of head, subsequent encounter
S00.91XS@Abrasion of unspecified part of head, sequela
S00.92XA@Blister (nonthermal) of unsp part of head, init encntr
S00.92XD@Blister (nonthermal) of unsp part of head, subs encntr
S00.92XS@Blister (nonthermal) of unspecified part of head, sequela
S00.93XA@Contusion of unspecified part of head, initial encounter
S00.93XD@Contusion of unspecified part of head, subsequent encounter
S00.93XS@Contusion of unspecified part of head, sequela
S00.94XA@External constriction of unsp part of head, init encntr
S00.94XD@External constriction of unsp part of head, subs encntr
S00.94XS@External constriction of unspecified part of head, sequela
S00.95XA@Superficial foreign body of unsp part of head, init encntr
S00.95XD@Superficial foreign body of unsp part of head, subs encntr
S00.95XS@Superficial foreign body of unsp part of head, sequela
S00.96XA@Insect bite (nonvenomous) of unsp part of head, init encntr
S00.96XD@Insect bite (nonvenomous) of unsp part of head, subs encntr
S00.96XS@Insect bite (nonvenomous) of unsp part of head, sequela
S00.97XA@Other superficial bite of unsp part of head, init encntr
S00.97XD@Other superficial bite of unsp part of head, subs encntr
S00.97XS@Other superficial bite of unspecified part of head, sequela
#
S01.00XA@Unspecified open wound of scalp, initial encounter
S01.00XD@Unspecified open wound of scalp, subsequent encounter
S01.00XS@Unspecified open wound of scalp, sequela
S01.01XA@Laceration without foreign body of scalp, initial encounter
S01.01XD@Laceration without foreign body of scalp, subs encntr
S01.01XS@Laceration without foreign body of scalp, sequela
S01.02XA@Laceration with foreign body of scalp, initial encounter
S01.02XD@Laceration with foreign body of scalp, subsequent encounter
S01.02XS@Laceration with foreign body of scalp, sequela
S01.03XA@Puncture wound without foreign body of scalp, init encntr
S01.03XD@Puncture wound without foreign body of scalp, subs encntr
S01.03XS@Puncture wound without foreign body of scalp, sequela
S01.04XA@Puncture wound with foreign body of scalp, initial encounter
S01.04XD@Puncture wound with foreign body of scalp, subs encntr
S01.04XS@Puncture wound with foreign body of scalp, sequela
S01.05XA@Open bite of scalp, initial encounter
S01.05XD@Open bite of scalp, subsequent encounter
S01.05XS@Open bite of scalp, sequela
S01.101A@Unsp open wound of right eyelid and periocular area, init
S01.101D@Unsp open wound of right eyelid and periocular area, subs
S01.101S@Unsp open wound of right eyelid and periocular area, sequela
S01.102A@Unsp open wound of left eyelid and periocular area, init
S01.102D@Unsp open wound of left eyelid and periocular area, subs
S01.102S@Unsp open wound of left eyelid and periocular area, sequela
S01.109A@Unsp open wound of unsp eyelid and periocular area, init
S01.109D@Unsp open wound of unsp eyelid and periocular area, subs
S01.109S@Unsp open wound of unsp eyelid and periocular area, sequela
S01.111A@Laceration w/o fb of right eyelid and periocular area, init
S01.111D@Laceration w/o fb of right eyelid and periocular area, subs
S01.111S@Lac w/o fb of right eyelid and periocular area, sequela
S01.112A@Laceration w/o fb of left eyelid and periocular area, init
S01.112D@Laceration w/o fb of left eyelid and periocular area, subs
S01.112S@Lac w/o fb of left eyelid and periocular area, sequela
S01.119A@Laceration w/o fb of unsp eyelid and periocular area, init
S01.119D@Laceration w/o fb of unsp eyelid and periocular area, subs
S01.119S@Lac w/o fb of unsp eyelid and periocular area, sequela
S01.121A@Laceration w fb of right eyelid and periocular area, init
S01.121D@Laceration w fb of right eyelid and periocular area, subs
S01.121S@Laceration w fb of right eyelid and periocular area, sequela
S01.122A@Laceration w fb of left eyelid and periocular area, init
S01.122D@Laceration w fb of left eyelid and periocular area, subs
S01.122S@Laceration w fb of left eyelid and periocular area, sequela
S01.129A@Laceration w fb of unsp eyelid and periocular area, init
S01.129D@Laceration w fb of unsp eyelid and periocular area, subs
S01.129S@Laceration w fb of unsp eyelid and periocular area, sequela
S01.131A@Pnctr w/o fb of right eyelid and periocular area, init
S01.131D@Pnctr w/o fb of right eyelid and periocular area, subs
S01.131S@Pnctr w/o fb of right eyelid and periocular area, sequela
S01.132A@Pnctr w/o fb of left eyelid and periocular area, init
S01.132D@Pnctr w/o fb of left eyelid and periocular area, subs
S01.132S@Pnctr w/o fb of left eyelid and periocular area, sequela
S01.139A@Pnctr w/o fb of unsp eyelid and periocular area, init
S01.139D@Pnctr w/o fb of unsp eyelid and periocular area, subs
S01.139S@Pnctr w/o fb of unsp eyelid and periocular area, sequela
S01.141A@Pnctr w fb of right eyelid and periocular area, init
S01.141D@Pnctr w fb of right eyelid and periocular area, subs
S01.141S@Pnctr w fb of right eyelid and periocular area, sequela
S01.142A@Pnctr w fb of left eyelid and periocular area, init
S01.142D@Pnctr w fb of left eyelid and periocular area, subs
S01.142S@Pnctr w fb of left eyelid and periocular area, sequela
S01.149A@Pnctr w fb of unsp eyelid and periocular area, init
S01.149D@Pnctr w fb of unsp eyelid and periocular area, subs
S01.149S@Pnctr w fb of unsp eyelid and periocular area, sequela
S01.151A@Open bite of right eyelid and periocular area, init encntr
S01.151D@Open bite of right eyelid and periocular area, subs encntr
S01.151S@Open bite of right eyelid and periocular area, sequela
S01.152A@Open bite of left eyelid and periocular area, init encntr
S01.152D@Open bite of left eyelid and periocular area, subs encntr
S01.152S@Open bite of left eyelid and periocular area, sequela
S01.159A@Open bite of unsp eyelid and periocular area, init encntr
S01.159D@Open bite of unsp eyelid and periocular area, subs encntr
S01.159S@Open bite of unspecified eyelid and periocular area, sequela
S01.20XA@Unspecified open wound of nose, initial encounter
S01.20XD@Unspecified open wound of nose, subsequent encounter
S01.20XS@Unspecified open wound of nose, sequela
S01.21XA@Laceration without foreign body of nose, initial encounter
S01.21XD@Laceration without foreign body of nose, subs encntr
S01.21XS@Laceration without foreign body of nose, sequela
S01.22XA@Laceration with foreign body of nose, initial encounter
S01.22XD@Laceration with foreign body of nose, subsequent encounter
S01.22XS@Laceration with foreign body of nose, sequela
S01.23XA@Puncture wound without foreign body of nose, init encntr
S01.23XD@Puncture wound without foreign body of nose, subs encntr
S01.23XS@Puncture wound without foreign body of nose, sequela
S01.24XA@Puncture wound with foreign body of nose, initial encounter
S01.24XD@Puncture wound with foreign body of nose, subs encntr
S01.24XS@Puncture wound with foreign body of nose, sequela
S01.25XA@Open bite of nose, initial encounter
S01.25XD@Open bite of nose, subsequent encounter
S01.25XS@Open bite of nose, sequela
S01.301A@Unspecified open wound of right ear, initial encounter
S01.301D@Unspecified open wound of right ear, subsequent encounter
S01.301S@Unspecified open wound of right ear, sequela
S01.302A@Unspecified open wound of left ear, initial encounter
S01.302D@Unspecified open wound of left ear, subsequent encounter
S01.302S@Unspecified open wound of left ear, sequela
S01.309A@Unspecified open wound of unspecified ear, initial encounter
S01.309D@Unspecified open wound of unspecified ear, subs encntr
S01.309S@Unspecified open wound of unspecified ear, sequela
S01.311A@Laceration without foreign body of right ear, init encntr
S01.311D@Laceration without foreign body of right ear, subs encntr
S01.311S@Laceration without foreign body of right ear, sequela
S01.312A@Laceration without foreign body of left ear, init encntr
S01.312D@Laceration without foreign body of left ear, subs encntr
S01.312S@Laceration without foreign body of left ear, sequela
S01.319A@Laceration without foreign body of unsp ear, init encntr
S01.319D@Laceration without foreign body of unsp ear, subs encntr
S01.319S@Laceration without foreign body of unspecified ear, sequela
S01.321A@Laceration with foreign body of right ear, initial encounter
S01.321D@Laceration with foreign body of right ear, subs encntr
S01.321S@Laceration with foreign body of right ear, sequela
S01.322A@Laceration with foreign body of left ear, initial encounter
S01.322D@Laceration with foreign body of left ear, subs encntr
S01.322S@Laceration with foreign body of left ear, sequela
S01.329A@Laceration with foreign body of unspecified ear, init encntr
S01.329D@Laceration with foreign body of unspecified ear, subs encntr
S01.329S@Laceration with foreign body of unspecified ear, sequela
S01.331A@Puncture wound w/o foreign body of right ear, init encntr
S01.331D@Puncture wound w/o foreign body of right ear, subs encntr
S01.331S@Puncture wound without foreign body of right ear, sequela
S01.332A@Puncture wound without foreign body of left ear, init encntr
S01.332D@Puncture wound without foreign body of left ear, subs encntr
S01.332S@Puncture wound without foreign body of left ear, sequela
S01.339A@Puncture wound without foreign body of unsp ear, init encntr
S01.339D@Puncture wound without foreign body of unsp ear, subs encntr
S01.339S@Puncture wound without foreign body of unsp ear, sequela
S01.341A@Puncture wound with foreign body of right ear, init encntr
S01.341D@Puncture wound with foreign body of right ear, subs encntr
S01.341S@Puncture wound with foreign body of right ear, sequela
S01.342A@Puncture wound with foreign body of left ear, init encntr
S01.342D@Puncture wound with foreign body of left ear, subs encntr
S01.342S@Puncture wound with foreign body of left ear, sequela
S01.349A@Puncture wound with foreign body of unsp ear, init encntr
S01.349D@Puncture wound with foreign body of unsp ear, subs encntr
S01.349S@Puncture wound with foreign body of unspecified ear, sequela
S01.351A@Open bite of right ear, initial encounter
S01.351D@Open bite of right ear, subsequent encounter
S01.351S@Open bite of right ear, sequela
S01.352A@Open bite of left ear, initial encounter
S01.352D@Open bite of left ear, subsequent encounter
S01.352S@Open bite of left ear, sequela
S01.359A@Open bite of unspecified ear, initial encounter
S01.359D@Open bite of unspecified ear, subsequent encounter
S01.359S@Open bite of unspecified ear, sequela
S01.401A@Unsp open wound of right cheek and TMJ area, init
S01.401D@Unsp open wound of right cheek and TMJ area, subs
S01.401S@Unsp open wound of right cheek and TMJ area, sequela
S01.402A@Unsp open wound of left cheek and TMJ area, init
S01.402D@Unsp open wound of left cheek and TMJ area, subs
S01.402S@Unsp open wound of left cheek and TMJ area, sequela
S01.409A@Unsp open wound of unsp cheek and TMJ area, init
S01.409D@Unsp open wound of unsp cheek and TMJ area, subs
S01.409S@Unsp open wound of unsp cheek and TMJ area, sequela
S01.411A@Laceration w/o fb of right cheek and TMJ area, init
S01.411D@Laceration w/o fb of right cheek and TMJ area, subs
S01.411S@Laceration w/o fb of right cheek and TMJ area, sequela
S01.412A@Laceration w/o foreign body of left cheek and TMJ area, init
S01.412D@Laceration w/o foreign body of left cheek and TMJ area, subs
S01.412S@Laceration w/o fb of left cheek and TMJ area, sequela
S01.419A@Laceration w/o foreign body of unsp cheek and TMJ area, init
S01.419D@Laceration w/o foreign body of unsp cheek and TMJ area, subs
S01.419S@Laceration w/o fb of unsp cheek and TMJ area, sequela
S01.421A@Laceration w foreign body of right cheek and TMJ area, init
S01.421D@Laceration w foreign body of right cheek and TMJ area, subs
S01.421S@Laceration w fb of right cheek and TMJ area, sequela
S01.422A@Laceration w foreign body of left cheek and TMJ area, init
S01.422D@Laceration w foreign body of left cheek and TMJ area, subs
S01.422S@Laceration w fb of left cheek and TMJ area, sequela
S01.429A@Laceration w foreign body of unsp cheek and TMJ area, init
S01.429D@Laceration w foreign body of unsp cheek and TMJ area, subs
S01.429S@Laceration w fb of unsp cheek and TMJ area, sequela
S01.431A@Pnctr w/o foreign body of right cheek and TMJ area, init
S01.431D@Pnctr w/o foreign body of right cheek and TMJ area, subs
S01.431S@Pnctr w/o foreign body of right cheek and TMJ area, sequela
S01.432A@Pnctr w/o foreign body of left cheek and TMJ area, init
S01.432D@Pnctr w/o foreign body of left cheek and TMJ area, subs
S01.432S@Pnctr w/o foreign body of left cheek and TMJ area, sequela
S01.439A@Pnctr w/o foreign body of unsp cheek and TMJ area, init
S01.439D@Pnctr w/o foreign body of unsp cheek and TMJ area, subs
S01.439S@Pnctr w/o foreign body of unsp cheek and TMJ area, sequela
S01.441A@Pnctr w foreign body of right cheek and TMJ area, init
S01.441D@Pnctr w foreign body of right cheek and TMJ area, subs
S01.441S@Pnctr w foreign body of right cheek and TMJ area, sequela
S01.442A@Pnctr w foreign body of left cheek and TMJ area, init
S01.442D@Pnctr w foreign body of left cheek and TMJ area, subs
S01.442S@Pnctr w foreign body of left cheek and TMJ area, sequela
S01.449A@Pnctr w foreign body of unsp cheek and TMJ area, init
S01.449D@Pnctr w foreign body of unsp cheek and TMJ area, subs
S01.449S@Pnctr w foreign body of unsp cheek and TMJ area, sequela
S01.451A@Open bite of right cheek and temporomandibular area, init
S01.451D@Open bite of right cheek and temporomandibular area, subs
S01.451S@Open bite of right cheek and temporomandibular area, sequela
S01.452A@Open bite of left cheek and temporomandibular area, init
S01.452D@Open bite of left cheek and temporomandibular area, subs
S01.452S@Open bite of left cheek and temporomandibular area, sequela
S01.459A@Open bite of unsp cheek and temporomandibular area, init
S01.459D@Open bite of unsp cheek and temporomandibular area, subs
S01.459S@Open bite of unsp cheek and temporomandibular area, sequela
S01.501A@Unspecified open wound of lip, initial encounter
S01.501D@Unspecified open wound of lip, subsequent encounter
S01.501S@Unspecified open wound of lip, sequela
S01.502A@Unspecified open wound of oral cavity, initial encounter
S01.502D@Unspecified open wound of oral cavity, subsequent encounter
S01.502S@Unspecified open wound of oral cavity, sequela
S01.511A@Laceration without foreign body of lip, initial encounter
S01.511D@Laceration without foreign body of lip, subsequent encounter
S01.511S@Laceration without foreign body of lip, sequela
S01.512A@Laceration without foreign body of oral cavity, init encntr
S01.512D@Laceration without foreign body of oral cavity, subs encntr
S01.512S@Laceration without foreign body of oral cavity, sequela
S01.521A@Laceration with foreign body of lip, initial encounter
S01.521D@Laceration with foreign body of lip, subsequent encounter
S01.521S@Laceration with foreign body of lip, sequela
S01.522A@Laceration with foreign body of oral cavity, init encntr
S01.522D@Laceration with foreign body of oral cavity, subs encntr
S01.522S@Laceration with foreign body of oral cavity, sequela
S01.531A@Puncture wound without foreign body of lip, init encntr
S01.531D@Puncture wound without foreign body of lip, subs encntr
S01.531S@Puncture wound without foreign body of lip, sequela
S01.532A@Puncture wound w/o foreign body of oral cavity, init encntr
S01.532D@Puncture wound w/o foreign body of oral cavity, subs encntr
S01.532S@Puncture wound without foreign body of oral cavity, sequela
S01.541A@Puncture wound with foreign body of lip, initial encounter
S01.541D@Puncture wound with foreign body of lip, subs encntr
S01.541S@Puncture wound with foreign body of lip, sequela
S01.542A@Puncture wound with foreign body of oral cavity, init encntr
S01.542D@Puncture wound with foreign body of oral cavity, subs encntr
S01.542S@Puncture wound with foreign body of oral cavity, sequela
S01.551A@Open bite of lip, initial encounter
S01.551D@Open bite of lip, subsequent encounter
