V00.01XA@Ped on foot injured in collision w roller-skater, init
V02.19XD@Ped w convey injured in collision w 2/3-whl mv in traf, subs
V02.19XS@Ped w convey injured in clsn w 2/3-whl mv in traf, sequela
V02.90XA@Ped on foot injured in collision w 2/3-whl mv, unsp, init
V02.90XD@Ped on foot injured in collision w 2/3-whl mv, unsp, subs
V02.90XS@Ped on foot injured in collision w 2/3-whl mv, unsp, sequela
V02.91XA@Ped on rolr-skt injured in clsn w 2/3-whl mv, unsp, init
V02.91XD@Ped on rolr-skt injured in clsn w 2/3-whl mv, unsp, subs
V02.91XS@Ped on rolr-skt injured in clsn w 2/3-whl mv, unsp, sequela
V02.92XA@Ped on sktbrd injured in collision w 2/3-whl mv, unsp, init
V02.92XD@Ped on sktbrd injured in collision w 2/3-whl mv, unsp, subs
V02.92XS@Ped on sktbrd injured in clsn w 2/3-whl mv, unsp, sequela
V02.99XA@Ped w convey injured in collision w 2/3-whl mv, unsp, init
V02.99XD@Ped w convey injured in collision w 2/3-whl mv, unsp, subs
V02.99XS@Ped w convey injured in clsn w 2/3-whl mv, unsp, sequela
#
V03.00XA@Ped on foot injured pick-up truck, pk-up/van nontraf, init
V03.00XD@Ped on foot injured pick-up truck, pk-up/van nontraf, subs
V03.00XS@Ped on foot inj pick-up truck, pk-up/van nontraf, sequela
V03.01XA@Ped on rolr-skt inj pick-up truck, pk-up/van nontraf, init
V03.01XD@Ped on rolr-skt inj pick-up truck, pk-up/van nontraf, subs
V03.01XS@Ped on rolr-skt inj pk-up truck, pk-up/van nontraf, sequela
V03.02XA@Ped on sktbrd injured pick-up truck, pk-up/van nontraf, init
V03.02XD@Ped on sktbrd injured pick-up truck, pk-up/van nontraf, subs
V03.02XS@Ped on sktbrd inj pick-up truck, pk-up/van nontraf, sequela
V03.09XA@Ped w convey injured pick-up truck, pk-up/van nontraf, init
V03.09XD@Ped w convey injured pick-up truck, pk-up/van nontraf, subs
V03.09XS@Ped w convey inj pick-up truck, pk-up/van nontraf, sequela
V03.10XA@Ped on foot injured pick-up truck, pk-up/van in traf, init
V03.10XD@Ped on foot injured pick-up truck, pk-up/van in traf, subs
V03.10XS@Ped on foot inj pick-up truck, pk-up/van in traf, sequela
V03.11XA@Ped on rolr-skt inj pick-up truck, pk-up/van in traf, init
V03.11XD@Ped on rolr-skt inj pick-up truck, pk-up/van in traf, subs
V03.11XS@Ped on rolr-skt inj pk-up truck, pk-up/van in traf, sequela
V03.12XA@Ped on sktbrd injured pick-up truck, pk-up/van in traf, init
V03.12XD@Ped on sktbrd injured pick-up truck, pk-up/van in traf, subs
V03.12XS@Ped on sktbrd inj pick-up truck, pk-up/van in traf, sequela
V03.19XA@Ped w convey injured pick-up truck, pk-up/van in traf, init
V03.19XD@Ped w convey injured pick-up truck, pk-up/van in traf, subs
V03.19XS@Ped w convey inj pick-up truck, pk-up/van in traf, sequela
V03.90XA@Ped on foot injured pick-up truck, pk-up/van, unsp, init
V03.90XD@Ped on foot injured pick-up truck, pk-up/van, unsp, subs
V03.90XS@Ped on foot injured pick-up truck, pk-up/van, unsp, sequela
V03.91XA@Ped on rolr-skt injured pick-up truck, pk-up/van, unsp, init
V03.91XD@Ped on rolr-skt injured pick-up truck, pk-up/van, unsp, subs
V03.91XS@Ped on rolr-skt inj pick-up truck, pk-up/van, unsp, sequela
V03.92XA@Ped on sktbrd injured pick-up truck, pk-up/van, unsp, init
V03.92XD@Ped on sktbrd injured pick-up truck, pk-up/van, unsp, subs
V03.92XS@Ped on sktbrd inj pick-up truck, pk-up/van, unsp, sequela
V03.99XA@Ped w convey injured pick-up truck, pk-up/van, unsp, init
V03.99XD@Ped w convey injured pick-up truck, pk-up/van, unsp, subs
V03.99XS@Ped w convey injured pick-up truck, pk-up/van, unsp, sequela
#
V04.00XA@Ped on foot injured in collision w hv veh nontraf, init
V04.00XD@Ped on foot injured in collision w hv veh nontraf, subs
V04.00XS@Ped on foot injured in collision w hv veh nontraf, sequela
V04.01XA@Ped on rolr-skt injured in collision w hv veh nontraf, init
V04.01XD@Ped on rolr-skt injured in collision w hv veh nontraf, subs
V04.01XS@Ped on rolr-skt injured in clsn w hv veh nontraf, sequela
V04.02XA@Ped on sktbrd injured in collision w hv veh nontraf, init
V04.02XD@Ped on sktbrd injured in collision w hv veh nontraf, subs
V04.02XS@Ped on sktbrd injured in collision w hv veh nontraf, sequela
V04.09XA@Ped w convey injured in collision w hv veh nontraf, init
V04.09XD@Ped w convey injured in collision w hv veh nontraf, subs
V04.09XS@Ped w convey injured in collision w hv veh nontraf, sequela
V04.10XA@Ped on foot injured in collision w hv veh in traf, init
V04.10XD@Ped on foot injured in collision w hv veh in traf, subs
V04.10XS@Ped on foot injured in collision w hv veh in traf, sequela
V04.11XA@Ped on rolr-skt injured in collision w hv veh in traf, init
V04.11XD@Ped on rolr-skt injured in collision w hv veh in traf, subs
V04.11XS@Ped on rolr-skt injured in clsn w hv veh in traf, sequela
V04.12XA@Ped on sktbrd injured in collision w hv veh in traf, init
V04.12XD@Ped on sktbrd injured in collision w hv veh in traf, subs
V04.12XS@Ped on sktbrd injured in collision w hv veh in traf, sequela
V04.19XA@Ped w convey injured in collision w hv veh in traf, init
V04.19XD@Ped w convey injured in collision w hv veh in traf, subs
V04.19XS@Ped w convey injured in collision w hv veh in traf, sequela
V04.90XA@Pedestrian on foot injured in collision w hv veh, unsp, init
V04.90XD@Pedestrian on foot injured in collision w hv veh, unsp, subs
V04.90XS@Ped on foot injured in collision w hv veh, unsp, sequela
V04.91XA@Ped on rolr-skt injured in collision w hv veh, unsp, init
V04.91XD@Ped on rolr-skt injured in collision w hv veh, unsp, subs
V04.91XS@Ped on rolr-skt injured in collision w hv veh, unsp, sequela
V04.92XA@Ped on skateboard injured in collision w hv veh, unsp, init
V04.92XD@Ped on skateboard injured in collision w hv veh, unsp, subs
V04.92XS@Ped on sktbrd injured in collision w hv veh, unsp, sequela
V04.99XA@Ped w convey injured in collision w hv veh, unsp, init
V04.99XD@Ped w convey injured in collision w hv veh, unsp, subs
V04.99XS@Ped w convey injured in collision w hv veh, unsp, sequela
#
V05.00XA@Ped on foot injured in clsn w rail trn/veh nontraf, init
V05.00XD@Ped on foot injured in clsn w rail trn/veh nontraf, subs
V05.00XS@Ped on foot injured in clsn w rail trn/veh nontraf, sequela
V05.01XA@Ped on rolr-skt injured in clsn w rail trn/veh nontraf, init
V05.01XD@Ped on rolr-skt injured in clsn w rail trn/veh nontraf, subs
V05.01XS@Ped on rolr-skt inj in clsn w rail trn/veh nontraf, sequela
V05.02XA@Ped on sktbrd injured in clsn w rail trn/veh nontraf, init
V05.02XD@Ped on sktbrd injured in clsn w rail trn/veh nontraf, subs
V05.02XS@Ped on sktbrd inj in clsn w rail trn/veh nontraf, sequela
V05.09XA@Ped w convey injured in clsn w rail trn/veh nontraf, init
V05.09XD@Ped w convey injured in clsn w rail trn/veh nontraf, subs
V05.09XS@Ped w convey injured in clsn w rail trn/veh nontraf, sequela
V05.10XA@Ped on foot injured in clsn w rail trn/veh in traf, init
V05.10XD@Ped on foot injured in clsn w rail trn/veh in traf, subs
V05.10XS@Ped on foot injured in clsn w rail trn/veh in traf, sequela
V05.11XA@Ped on rolr-skt injured in clsn w rail trn/veh in traf, init
V05.11XD@Ped on rolr-skt injured in clsn w rail trn/veh in traf, subs
V05.11XS@Ped on rolr-skt inj in clsn w rail trn/veh in traf, sequela
V05.12XA@Ped on sktbrd injured in clsn w rail trn/veh in traf, init
V05.12XD@Ped on sktbrd injured in clsn w rail trn/veh in traf, subs
V05.12XS@Ped on sktbrd inj in clsn w rail trn/veh in traf, sequela
V05.19XA@Ped w convey injured in clsn w rail trn/veh in traf, init
V05.19XD@Ped w convey injured in clsn w rail trn/veh in traf, subs
V05.19XS@Ped w convey injured in clsn w rail trn/veh in traf, sequela
V05.90XA@Ped on foot injured in collision w rail trn/veh, unsp, init
V05.90XD@Ped on foot injured in collision w rail trn/veh, unsp, subs
V05.90XS@Ped on foot injured in clsn w rail trn/veh, unsp, sequela
V05.91XA@Ped on rolr-skt injured in clsn w rail trn/veh, unsp, init
V05.91XD@Ped on rolr-skt injured in clsn w rail trn/veh, unsp, subs
V05.91XS@Ped on rolr-skt inj in clsn w rail trn/veh, unsp, sequela
V05.92XA@Ped on sktbrd injured in clsn w rail trn/veh, unsp, init
V05.92XD@Ped on sktbrd injured in clsn w rail trn/veh, unsp, subs
V05.92XS@Ped on sktbrd injured in clsn w rail trn/veh, unsp, sequela
V05.99XA@Ped w convey injured in collision w rail trn/veh, unsp, init
V05.99XD@Ped w convey injured in collision w rail trn/veh, unsp, subs
V05.99XS@Ped w convey injured in clsn w rail trn/veh, unsp, sequela
#
V06.00XA@Ped on foot injured in clsn w nonmtr vehicle nontraf, init
V06.00XD@Ped on foot injured in clsn w nonmtr vehicle nontraf, subs
V06.00XS@Ped on foot inj in clsn w nonmtr vehicle nontraf, sequela
V06.01XA@Ped on rolr-skt inj in clsn w nonmtr vehicle nontraf, init
V06.01XD@Ped on rolr-skt inj in clsn w nonmtr vehicle nontraf, subs
V06.01XS@Ped on rolr-skt inj in clsn w nonmtr vehicle nontraf, sqla
V06.02XA@Ped on sktbrd injured in clsn w nonmtr vehicle nontraf, init
V06.02XD@Ped on sktbrd injured in clsn w nonmtr vehicle nontraf, subs
V06.02XS@Ped on sktbrd inj in clsn w nonmtr vehicle nontraf, sequela
V06.09XA@Ped w convey injured in clsn w nonmtr vehicle nontraf, init
V06.09XD@Ped w convey injured in clsn w nonmtr vehicle nontraf, subs
V06.09XS@Ped w convey inj in clsn w nonmtr vehicle nontraf, sequela
V06.10XA@Ped on foot injured in clsn w nonmtr vehicle in traf, init
V06.10XD@Ped on foot injured in clsn w nonmtr vehicle in traf, subs
V06.10XS@Ped on foot inj in clsn w nonmtr vehicle in traf, sequela
V06.11XA@Ped on rolr-skt inj in clsn w nonmtr vehicle in traf, init
V06.11XD@Ped on rolr-skt inj in clsn w nonmtr vehicle in traf, subs
V06.11XS@Ped on rolr-skt inj in clsn w nonmtr vehicle in traf, sqla
V06.12XA@Ped on sktbrd injured in clsn w nonmtr vehicle in traf, init
V06.12XD@Ped on sktbrd injured in clsn w nonmtr vehicle in traf, subs
V06.12XS@Ped on sktbrd inj in clsn w nonmtr vehicle in traf, sequela
V06.19XA@Ped w convey injured in clsn w nonmtr vehicle in traf, init
V06.19XD@Ped w convey injured in clsn w nonmtr vehicle in traf, subs
V06.19XS@Ped w convey inj in clsn w nonmtr vehicle in traf, sequela
V06.90XA@Ped on foot injured in clsn w nonmtr vehicle, unsp, init
V06.90XD@Ped on foot injured in clsn w nonmtr vehicle, unsp, subs
V06.90XS@Ped on foot injured in clsn w nonmtr vehicle, unsp, sequela
V06.91XA@Ped on rolr-skt injured in clsn w nonmtr vehicle, unsp, init
V06.91XD@Ped on rolr-skt injured in clsn w nonmtr vehicle, unsp, subs
V06.91XS@Ped on rolr-skt inj in clsn w nonmtr vehicle, unsp, sequela
V06.92XA@Ped on sktbrd injured in clsn w nonmtr vehicle, unsp, init
V06.92XD@Ped on sktbrd injured in clsn w nonmtr vehicle, unsp, subs
V06.92XS@Ped on sktbrd inj in clsn w nonmtr vehicle, unsp, sequela
V06.99XA@Ped w convey injured in clsn w nonmtr vehicle, unsp, init
V06.99XD@Ped w convey injured in clsn w nonmtr vehicle, unsp, subs
V06.99XS@Ped w convey injured in clsn w nonmtr vehicle, unsp, sequela
#
V09.00XA@Pedestrian injured nontraf involving unsp mv, init
V09.00XD@Pedestrian injured nontraf involving unsp mv, subs
V09.00XS@Pedestrian injured nontraf involving unsp mv, sequela
V09.01XA@Pedestrian injured nontraf involving military vehicle, init
V09.01XD@Pedestrian injured nontraf involving military vehicle, subs
V09.01XS@Ped injured nontraf involving military vehicle, sequela
V09.09XA@Pedestrian injured nontraf involving oth mv, init
V09.09XD@Pedestrian injured nontraf involving oth mv, subs
V09.09XS@Pedestrian injured nontraf involving oth mv, sequela
V09.1XXA@Pedestrian injured in unsp nontraffic accident, init encntr
V09.1XXD@Pedestrian injured in unsp nontraffic accident, subs encntr
V09.1XXS@Pedestrian injured in unsp nontraffic accident, sequela
V09.20XA@Pedestrian injured in traf involving unsp mv, init
V09.20XD@Pedestrian injured in traf involving unsp mv, subs
V09.20XS@Pedestrian injured in traf involving unsp mv, sequela
V09.21XA@Pedestrian injured in traf involving military vehicle, init
V09.21XD@Pedestrian injured in traf involving military vehicle, subs
V09.21XS@Ped injured in traf involving military vehicle, sequela
V09.29XA@Pedestrian injured in traf involving oth mv, init
V09.29XD@Pedestrian injured in traf involving oth mv, subs
V09.29XS@Pedestrian injured in traf involving oth mv, sequela
V09.3XXA@Pedestrian injured in unsp traffic accident, init encntr
V09.3XXD@Pedestrian injured in unsp traffic accident, subs encntr
V09.3XXS@Pedestrian injured in unspecified traffic accident, sequela
V09.9XXA@Pedestrian injured in unsp transport accident, init encntr
V09.9XXD@Pedestrian injured in unsp transport accident, subs encntr
V09.9XXS@Pedestrian injured in unsp transport accident, sequela
#
V10.0XXA@Pedl cyc driver injured in clsn w ped/anml nontraf, init
V10.0XXD@Pedl cyc driver injured in clsn w ped/anml nontraf, subs
V10.0XXS@Pedl cyc driver injured in clsn w ped/anml nontraf, sequela
V10.1XXA@Pedl cyc passenger injured in clsn w ped/anml nontraf, init
V10.1XXD@Pedl cyc passenger injured in clsn w ped/anml nontraf, subs
V10.1XXS@Pedl cyc pasngr injured in clsn w ped/anml nontraf, sequela
V10.2XXA@Unsp pedl cyclst injured in clsn w ped/anml nontraf, init
V10.2XXD@Unsp pedl cyclst injured in clsn w ped/anml nontraf, subs
V10.2XXS@Unsp pedl cyclst injured in clsn w ped/anml nontraf, sequela
V10.3XXA@Prsn brd/alit pedl cyc injured in collision w ped/anml, init
V10.3XXD@Prsn brd/alit pedl cyc injured in collision w ped/anml, subs
V10.3XXS@Prsn brd/alit pedl cyc injured in clsn w ped/anml, sequela
V10.4XXA@Pedl cyc driver injured in clsn w ped/anml in traf, init
V10.4XXD@Pedl cyc driver injured in clsn w ped/anml in traf, subs
V10.4XXS@Pedl cyc driver injured in clsn w ped/anml in traf, sequela
V10.5XXA@Pedl cyc passenger injured in clsn w ped/anml in traf, init
V10.5XXD@Pedl cyc passenger injured in clsn w ped/anml in traf, subs
V10.5XXS@Pedl cyc pasngr injured in clsn w ped/anml in traf, sequela
V10.9XXA@Unsp pedl cyclst injured in clsn w ped/anml in traf, init
V10.9XXD@Unsp pedl cyclst injured in clsn w ped/anml in traf, subs
V10.9XXS@Unsp pedl cyclst injured in clsn w ped/anml in traf, sequela
#
V11.0XXA@Pedl cyc driver injured in clsn w oth pedl cyc nontraf, init
V11.0XXD@Pedl cyc driver injured in clsn w oth pedl cyc nontraf, subs
V11.0XXS@Pedl cyc driver inj in clsn w oth pedl cyc nontraf, sequela
V11.1XXA@Pedl cyc pasngr injured in clsn w oth pedl cyc nontraf, init
V11.1XXD@Pedl cyc pasngr injured in clsn w oth pedl cyc nontraf, subs
V11.1XXS@Pedl cyc pasngr inj in clsn w oth pedl cyc nontraf, sequela
V11.2XXA@Unsp pedl cyclst inj in clsn w oth pedl cyc nontraf, init
V11.2XXD@Unsp pedl cyclst inj in clsn w oth pedl cyc nontraf, subs
V11.2XXS@Unsp pedl cyclst inj in clsn w oth pedl cyc nontraf, sequela
V11.3XXA@Prsn brd/alit pedl cyc injured in clsn w oth pedl cyc, init
V11.3XXD@Prsn brd/alit pedl cyc injured in clsn w oth pedl cyc, subs
V11.3XXS@Prsn brd/alit pedl cyc inj in clsn w oth pedl cyc, sequela
V11.4XXA@Pedl cyc driver injured in clsn w oth pedl cyc in traf, init
